timestamps,open,high,low,close,volume,amount
2008-06-26 00:00:00,200.0,200.0,200.0,200.0,0.0,0.0
2008-06-27 00:00:00,280.0,300.0,280.0,300.0,35.0,10500.0
2008-06-30 00:00:00,340.0,340.0,340.0,340.0,2.0,680.0
2008-07-01 00:00:00,350.0,350.0,340.0,340.0,73.0,24820.0
2008-07-04 00:00:00,300.0,300.0,300.0,300.0,11.0,3300.0
2008-07-07 00:00:00,280.0,280.0,250.0,250.0,39.0,9750.0
2008-07-08 00:00:00,250.0,250.0,230.0,230.0,18.0,4140.0
2008-07-09 00:00:00,220.0,220.0,200.0,200.0,19.0,3800.0
2008-07-10 00:00:00,200.0,200.0,200.0,200.0,6.0,1200.0
2008-07-14 00:00:00,180.0,180.0,180.0,180.0,9.0,1620.0
2008-07-15 00:00:00,180.0,180.0,180.0,180.0,50.0,9000.0
2008-07-16 00:00:00,180.0,180.0,180.0,180.0,6.0,1080.0
2008-08-11 00:00:00,180.0,180.0,180.0,180.0,15.0,2700.0
2008-08-12 00:00:00,180.0,180.0,180.0,180.0,13.0,2340.0
2008-08-13 00:00:00,150.0,150.0,150.0,150.0,20.0,3000.0
2008-08-27 00:00:00,150.0,150.0,150.0,150.0,5.0,750.0
2008-08-28 00:00:00,150.0,150.0,150.0,150.0,7.0,1050.0
2008-10-24 00:00:00,100.0,100.0,100.0,100.0,6.0,600.0
2008-11-14 00:00:00,70.0,70.0,70.0,70.0,20.0,1400.0
2008-11-17 00:00:00,70.0,70.0,70.0,70.0,10.0,700.0
2008-11-21 00:00:00,70.0,70.0,70.0,70.0,160.0,11200.0
2008-12-31 00:00:00,150.0,150.0,150.0,150.0,5.0,750.0
2009-01-08 00:00:00,150.0,150.0,150.0,150.0,8.0,1200.0
2009-03-09 00:00:00,140.0,140.0,140.0,140.0,10.0,1400.0
2009-04-07 00:00:00,150.0,150.0,150.0,150.0,3.0,450.0
2009-05-08 00:00:00,150.0,150.0,150.0,150.0,61.0,9150.0
2009-05-28 00:00:00,150.0,150.0,150.0,150.0,100.0,15000.0
2009-06-19 00:00:00,135.0,135.0,135.0,135.0,20.0,2700.0
2009-06-30 00:00:00,150.0,150.0,150.0,150.0,6.0,900.0
2009-07-06 00:00:00,155.0,155.0,155.0,155.0,3.0,465.0
2009-07-15 00:00:00,150.0,150.0,150.0,150.0,19.0,2850.0
2009-07-22 00:00:00,150.0,150.0,150.0,150.0,11.0,1650.0
2009-08-04 00:00:00,150.0,150.0,150.0,150.0,30.0,4500.0
2009-08-10 00:00:00,150.0,150.0,150.0,150.0,40.0,6000.0
2009-08-13 00:00:00,150.0,150.0,150.0,150.0,34.0,5100.0
2009-09-01 00:00:00,140.0,140.0,140.0,140.0,14.0,1960.0
2009-09-11 00:00:00,150.0,150.0,150.0,150.0,20.0,3000.0
2009-09-14 00:00:00,235.0,330.0,210.0,310.0,559.0,173290.0
2009-09-15 00:00:00,280.0,280.0,260.0,270.0,207.0,55890.0
2009-09-16 00:00:00,270.0,340.0,270.0,330.0,135.0,44550.0
2009-09-17 00:00:00,340.0,400.0,340.0,400.0,123.0,49200.0
2009-09-18 00:00:00,390.0,390.0,350.0,350.0,128.0,44800.0
2009-09-21 00:00:00,355.0,355.0,290.0,290.0,68.0,19720.0
2009-09-22 00:00:00,290.0,290.0,265.0,270.0,37.0,9990.0
2009-09-23 00:00:00,275.0,275.0,275.0,275.0,2.0,550.0
2009-09-25 00:00:00,270.0,270.0,270.0,270.0,31.0,8370.0
2009-09-28 00:00:00,270.0,270.0,270.0,270.0,11.0,2970.0
2009-09-29 00:00:00,270.0,270.0,270.0,270.0,2.0,540.0
2009-09-30 00:00:00,260.0,260.0,260.0,260.0,17.0,4420.0
2009-10-01 00:00:00,260.0,275.0,260.0,275.0,54.0,14850.0
2009-10-02 00:00:00,290.0,300.0,280.0,280.0,22.0,6160.0
2009-10-06 00:00:00,350.0,350.0,350.0,350.0,2.0,700.0
2009-10-08 00:00:00,300.0,300.0,300.0,300.0,3.0,900.0
2009-10-09 00:00:00,285.0,285.0,280.0,280.0,140.0,39200.0
2009-10-13 00:00:00,300.0,340.0,300.0,340.0,83.0,28220.0
2009-10-14 00:00:00,330.0,340.0,310.0,310.0,21.0,6510.0
2009-10-19 00:00:00,315.0,315.0,315.0,315.0,29.0,9135.0
2009-10-21 00:00:00,330.0,330.0,310.0,310.0,6.0,1860.0
2009-10-22 00:00:00,300.0,300.0,290.0,290.0,12.0,3480.0
2009-10-26 00:00:00,280.0,280.0,280.0,280.0,2.0,560.0
2009-10-27 00:00:00,270.0,270.0,270.0,270.0,11.0,2970.0
2009-10-28 00:00:00,270.0,270.0,270.0,270.0,20.0,5400.0
2009-10-29 00:00:00,270.0,270.0,270.0,270.0,6.0,1620.0
2009-10-30 00:00:00,270.0,270.0,250.0,260.0,23.0,5980.0
2009-11-02 00:00:00,260.0,260.0,260.0,260.0,193.0,50180.0
2009-11-06 00:00:00,270.0,270.0,270.0,270.0,8.0,2160.0
2009-11-09 00:00:00,270.0,270.0,270.0,270.0,2.0,540.0
2009-11-11 00:00:00,270.0,270.0,270.0,270.0,9.0,2430.0
2009-11-12 00:00:00,270.0,340.0,270.0,300.0,119.0,35700.0
2009-11-16 00:00:00,310.0,310.0,310.0,310.0,8.0,2480.0
2009-11-17 00:00:00,310.0,310.0,280.0,300.0,23.0,6900.0
