timestamps,open,high,low,close,volume,amount
2018-01-31 00:00:00,0.31,0.32,0.285,0.285,716320.0,204151.19999999998
2018-02-01 00:00:00,0.285,0.285,0.275,0.28,262049.0,73373.72
2018-02-02 00:00:00,0.285,0.34,0.285,0.32,287408.0,91970.56
2018-02-05 00:00:00,0.33,0.33,0.28,0.32,146771.0,46966.72
2018-02-06 00:00:00,0.3,0.33,0.3,0.31,147897.0,45848.07
2018-02-07 00:00:00,0.325,0.38,0.325,0.37,631830.0,233777.1
2018-02-08 00:00:00,0.37,0.375,0.35,0.36,296200.0,106632.0
2018-02-09 00:00:00,0.35,0.36,0.33,0.33,186151.0,61429.83
2018-02-12 00:00:00,0.345,0.345,0.345,0.345,10000.0,3449.9999999999995
2018-02-13 00:00:00,0.345,0.345,0.33,0.33,157855.0,52092.15
2018-02-14 00:00:00,0.33,0.33,0.325,0.33,161500.0,53295.0
2018-02-15 00:00:00,0.335,0.355,0.33,0.33,145029.0,47859.57
2018-02-16 00:00:00,0.335,0.335,0.33,0.33,50000.0,16500.0
2018-02-19 00:00:00,0.345,0.36,0.345,0.36,42116.0,15161.76
2018-02-20 00:00:00,0.36,0.37,0.36,0.37,15405.0,5699.85
2018-02-21 00:00:00,0.36,0.38,0.35,0.38,324384.0,123265.92
2018-02-22 00:00:00,0.37,0.37,0.36,0.36,85000.0,30600.0
2018-02-23 00:00:00,0.37,0.4,0.37,0.38,112686.0,42820.68
2018-02-26 00:00:00,0.38,0.38,0.37,0.38,14350.0,5453.0
2018-02-27 00:00:00,0.38,0.38,0.34,0.34,157756.0,53637.04
2018-02-28 00:00:00,0.35,0.375,0.35,0.375,15861.0,5947.875
2018-03-01 00:00:00,0.37,0.37,0.365,0.365,5230.0,1908.95
2018-03-02 00:00:00,0.35,0.35,0.35,0.35,9333.0,3266.5499999999997
2018-03-05 00:00:00,0.365,0.37,0.365,0.37,10122.0,3745.14
2018-03-06 00:00:00,0.37,0.39,0.37,0.375,178287.0,66857.625
2018-03-07 00:00:00,0.375,0.375,0.36,0.36,42985.0,15474.599999999999
2018-03-08 00:00:00,0.375,0.4,0.375,0.38,288000.0,109440.0
2018-03-09 00:00:00,0.38,0.39,0.38,0.38,93088.0,35373.44
2018-03-12 00:00:00,0.38,0.38,0.355,0.355,33563.0,11914.865
2018-03-13 00:00:00,0.365,0.38,0.36,0.38,213379.0,81084.02
2018-03-14 00:00:00,0.38,0.39,0.375,0.375,181778.0,68166.75
2018-03-15 00:00:00,0.37,0.37,0.365,0.365,74995.0,27373.175
2018-03-16 00:00:00,0.37,0.375,0.36,0.36,99384.0,35778.24
2018-03-19 00:00:00,0.36,0.36,0.345,0.35,170114.0,59539.899999999994
2018-03-20 00:00:00,0.345,0.36,0.34,0.36,193188.0,69547.68
2018-03-21 00:00:00,0.37,0.37,0.355,0.355,115912.0,41148.759999999995
2018-03-22 00:00:00,0.365,0.37,0.355,0.36,96831.0,34859.159999999996
2018-03-23 00:00:00,0.355,0.36,0.34,0.34,161387.0,54871.58
2018-03-26 00:00:00,0.345,0.345,0.34,0.34,89701.0,30498.340000000004
2018-03-27 00:00:00,0.34,0.35,0.34,0.35,99788.0,34925.799999999996
2018-03-28 00:00:00,0.34,0.34,0.34,0.34,122211.0,41551.740000000005
2018-03-29 00:00:00,0.335,0.34,0.33,0.335,108500.0,36347.5
2018-04-03 00:00:00,0.33,0.33,0.31,0.31,399393.0,123811.83
2018-04-04 00:00:00,0.32,0.33,0.31,0.31,172475.0,53467.25
2018-04-05 00:00:00,0.32,0.32,0.315,0.315,26451.0,8332.065
2018-04-06 00:00:00,0.32,0.35,0.32,0.35,98049.0,34317.15
2018-04-09 00:00:00,0.345,0.345,0.34,0.34,39860.0,13552.400000000001
2018-04-10 00:00:00,0.335,0.345,0.335,0.335,129801.0,43483.335
2018-04-11 00:00:00,0.34,0.355,0.34,0.35,174705.0,61146.74999999999
2018-04-12 00:00:00,0.345,0.345,0.345,0.345,10000.0,3449.9999999999995
2018-04-13 00:00:00,0.35,0.35,0.35,0.35,93526.0,32734.1
2018-04-16 00:00:00,0.34,0.34,0.335,0.335,50000.0,16750.0
2018-04-17 00:00:00,0.34,0.34,0.335,0.335,92099.0,30853.165
2018-04-18 00:00:00,0.34,0.34,0.305,0.31,353534.0,109595.54
2018-04-19 00:00:00,0.32,0.32,0.3,0.3,125195.0,37558.5
2018-04-20 00:00:00,0.3,0.31,0.28,0.305,255792.0,78016.56
2018-04-23 00:00:00,0.3,0.3,0.285,0.285,35574.0,10138.589999999998
2018-04-24 00:00:00,0.295,0.3,0.29,0.3,94295.0,28288.5
2018-04-26 00:00:00,0.3,0.31,0.3,0.31,40000.0,12400.0
2018-04-27 00:00:00,0.31,0.31,0.31,0.31,36545.0,11328.95
2018-04-30 00:00:00,0.305,0.305,0.3,0.3,83200.0,24960.0
2018-05-01 00:00:00,0.295,0.295,0.295,0.295,50855.0,15002.224999999999
2018-05-02 00:00:00,0.295,0.3,0.29,0.3,298696.0,89608.8
2018-05-03 00:00:00,0.295,0.295,0.28,0.295,170775.0,50378.625
2018-05-04 00:00:00,0.295,0.3,0.28,0.285,75225.0,21439.124999999996
2018-05-07 00:00:00,0.28,0.28,0.28,0.28,77000.0,21560.000000000004
2018-05-08 00:00:00,0.29,0.3,0.29,0.295,112753.0,33262.134999999995
2018-05-09 00:00:00,0.285,0.285,0.285,0.285,35450.0,10103.25
2018-05-10 00:00:00,0.295,0.295,0.295,0.295,16000.0,4720.0
2018-05-11 00:00:00,0.29,0.29,0.28,0.28,85000.0,23800.000000000004
2018-05-14 00:00:00,0.28,0.28,0.28,0.28,19500.0,5460.000000000001
2018-05-15 00:00:00,0.28,0.28,0.275,0.28,111800.0,31304.000000000004
2018-05-16 00:00:00,0.28,0.285,0.25,0.285,416284.0,118640.93999999999
2018-05-17 00:00:00,0.295,0.3,0.27,0.285,160415.0,45718.274999999994
2018-05-18 00:00:00,0.285,0.285,0.275,0.275,73082.0,20097.550000000003
2018-05-21 00:00:00,0.285,0.285,0.275,0.275,107500.0,29562.500000000004
2018-05-22 00:00:00,0.295,0.295,0.285,0.285,86000.0,24509.999999999996
2018-05-23 00:00:00,0.3,0.32,0.3,0.3,337453.0,101235.9
2018-05-24 00:00:00,0.3,0.3,0.3,0.3,6442.0,1932.6
2018-05-25 00:00:00,0.3,0.3,0.3,0.3,153405.0,46021.5
2018-05-28 00:00:00,0.3,0.3,0.285,0.285,32402.0,9234.57
2018-05-29 00:00:00,0.295,0.295,0.295,0.295,2000.0,590.0
2018-05-30 00:00:00,0.3,0.3,0.3,0.3,6593.0,1977.8999999999999
2018-05-31 00:00:00,0.3,0.305,0.29,0.3,87000.0,26100.0
2018-06-01 00:00:00,0.3,0.3,0.3,0.3,16500.0,4950.0
2018-06-05 00:00:00,0.29,0.29,0.29,0.29,106500.0,30884.999999999996
2018-06-06 00:00:00,0.29,0.29,0.29,0.29,58500.0,16965.0
2018-06-07 00:00:00,0.285,0.285,0.275,0.275,191652.0,52704.3
2018-06-13 00:00:00,0.26,0.275,0.26,0.275,13800.0,3795.0000000000005
2018-06-14 00:00:00,0.27,0.27,0.27,0.27,3890.0,1050.3000000000002
2018-06-15 00:00:00,0.26,0.26,0.26,0.26,10000.0,2600.0
2018-06-18 00:00:00,0.26,0.26,0.26,0.26,50000.0,13000.0
2018-06-19 00:00:00,0.26,0.265,0.26,0.26,160700.0,41782.0
2018-06-20 00:00:00,0.26,0.26,0.26,0.26,691685.0,179838.1
2018-06-21 00:00:00,0.26,0.265,0.26,0.265,301702.0,79951.03
2018-06-22 00:00:00,0.26,0.26,0.25,0.255,175357.0,44716.035
2018-06-25 00:00:00,0.25,0.25,0.25,0.25,10553.0,2638.25
2018-06-26 00:00:00,0.25,0.25,0.25,0.25,57367.0,14341.75
2018-06-27 00:00:00,0.24,0.25,0.24,0.24,72133.0,17311.92
2018-06-28 00:00:00,0.25,0.25,0.245,0.25,124811.0,31202.75
2018-06-29 00:00:00,0.25,0.255,0.25,0.255,74946.0,19111.23
2018-07-03 00:00:00,0.26,0.26,0.25,0.25,104000.0,26000.0
2018-07-04 00:00:00,0.25,0.25,0.25,0.25,22951.0,5737.75
2018-07-05 00:00:00,0.255,0.255,0.255,0.255,2100.0,535.5
2018-07-06 00:00:00,0.245,0.245,0.23,0.23,33757.0,7764.110000000001
2018-07-09 00:00:00,0.23,0.23,0.23,0.23,29680.0,6826.400000000001
2018-07-11 00:00:00,0.23,0.24,0.22,0.24,128340.0,30801.6
2018-07-16 00:00:00,0.24,0.24,0.225,0.225,22750.0,5118.75
2018-07-17 00:00:00,0.225,0.25,0.22,0.25,39376.0,9844.0
2018-07-18 00:00:00,0.24,0.24,0.24,0.24,70000.0,16800.0
2018-07-23 00:00:00,0.24,0.24,0.24,0.24,40000.0,9600.0
2018-07-24 00:00:00,0.25,0.25,0.25,0.25,12500.0,3125.0
2018-07-25 00:00:00,0.24,0.24,0.24,0.24,30776.0,7386.24
2018-07-26 00:00:00,0.24,0.24,0.24,0.24,31900.0,7656.0
2018-07-27 00:00:00,0.24,0.24,0.24,0.24,21324.0,5117.76
2018-07-30 00:00:00,0.23,0.23,0.22,0.225,81576.0,18354.600000000002
2018-08-01 00:00:00,0.225,0.225,0.225,0.225,270.0,60.75
2018-08-02 00:00:00,0.23,0.23,0.23,0.23,10000.0,2300.0
2018-08-03 00:00:00,0.225,0.225,0.2,0.2,25000.0,5000.0
2018-08-06 00:00:00,0.22,0.22,0.22,0.22,2275.0,500.5
2018-08-07 00:00:00,0.2,0.205,0.19,0.195,105843.0,20639.385000000002
2018-08-09 00:00:00,0.195,0.195,0.175,0.175,103833.0,18170.774999999998
2018-08-10 00:00:00,0.19,0.19,0.19,0.19,62451.0,11865.69
2018-08-13 00:00:00,0.2,0.2,0.19,0.19,61000.0,11590.0
2018-08-15 00:00:00,0.185,0.185,0.17,0.17,143418.0,24381.06
2018-08-17 00:00:00,0.17,0.17,0.17,0.17,4095.0,696.1500000000001
2018-08-21 00:00:00,0.17,0.17,0.14,0.15,388436.0,58265.4
2018-08-22 00:00:00,0.145,0.145,0.145,0.145,11394.0,1652.1299999999999
2018-08-23 00:00:00,0.155,0.155,0.155,0.155,6400.0,992.0
2018-08-24 00:00:00,0.15,0.15,0.14,0.14,172350.0,24129.000000000004
2018-08-27 00:00:00,0.14,0.155,0.14,0.155,125463.0,19446.765
2018-08-28 00:00:00,0.155,0.165,0.155,0.165,206189.0,34021.185000000005
2018-08-29 00:00:00,0.175,0.175,0.1725,0.175,28500.0,4987.5
2018-08-30 00:00:00,0.175,0.175,0.175,0.175,14289.0,2500.575
2018-08-31 00:00:00,0.18,0.19,0.175,0.19,83657.0,15894.83
2018-09-03 00:00:00,0.21,0.225,0.21,0.22,109075.0,23996.5
2018-09-04 00:00:00,0.2,0.2,0.2,0.2,44500.0,8900.0
2018-09-05 00:00:00,0.2,0.2,0.2,0.2,3500.0,700.0
2018-09-13 00:00:00,0.19,0.2,0.19,0.2,212583.0,42516.600000000006
2018-09-14 00:00:00,0.2,0.2,0.2,0.2,7500.0,1500.0
2018-09-18 00:00:00,0.19,0.19,0.19,0.19,11000.0,2090.0
2018-09-19 00:00:00,0.19,0.19,0.18,0.18,17600.0,3168.0
2018-09-20 00:00:00,0.18,0.19,0.18,0.185,48092.0,8897.02
2018-09-21 00:00:00,0.18,0.19,0.18,0.19,63383.0,12042.77
2018-10-01 00:00:00,0.175,0.175,0.175,0.175,5250.0,918.7499999999999
2018-10-02 00:00:00,0.17,0.18,0.17,0.18,25200.0,4536.0
2018-10-04 00:00:00,0.17,0.17,0.17,0.17,15000.0,2550.0
2018-10-05 00:00:00,0.17,0.18,0.17,0.18,55433.0,9977.94
2018-10-08 00:00:00,0.2,0.21,0.2,0.21,13184.0,2768.64
2018-10-09 00:00:00,0.23,0.235,0.22,0.22,325354.0,71577.88
2018-10-10 00:00:00,0.23,0.23,0.21,0.22,120550.0,26521.0
2018-10-11 00:00:00,0.215,0.22,0.215,0.22,55000.0,12100.0
2018-10-12 00:00:00,0.22,0.22,0.21,0.22,77027.0,16945.94
2018-10-15 00:00:00,0.205,0.205,0.2,0.2,64244.0,12848.800000000001
2018-10-18 00:00:00,0.2,0.2,0.2,0.2,105000.0,21000.0
2018-10-19 00:00:00,0.2,0.2,0.2,0.2,10000.0,2000.0
2018-10-22 00:00:00,0.2,0.21,0.2,0.2,73300.0,14660.0
2018-10-23 00:00:00,0.2,0.2,0.2,0.2,31700.0,6340.0
2018-10-24 00:00:00,0.19,0.19,0.19,0.19,12225.0,2322.75
2018-10-25 00:00:00,0.19,0.195,0.19,0.195,51023.0,9949.485
2018-10-26 00:00:00,0.19,0.19,0.19,0.19,10000.0,1900.0
2018-10-29 00:00:00,0.2,0.2,0.185,0.185,13000.0,2405.0
2018-10-31 00:00:00,0.185,0.185,0.185,0.185,3000.0,555.0
2018-11-05 00:00:00,0.2,0.2,0.2,0.2,68300.0,13660.0
2018-11-06 00:00:00,0.19,0.2,0.19,0.2,70000.0,14000.0
2018-11-07 00:00:00,0.2,0.2,0.19,0.19,13305.0,2527.95
2018-11-08 00:00:00,0.19,0.19,0.19,0.19,11694.0,2221.86
2018-11-09 00:00:00,0.195,0.195,0.195,0.195,149999.0,29249.805
2018-11-13 00:00:00,0.19,0.19,0.185,0.185,18000.0,3330.0
2018-11-14 00:00:00,0.175,0.175,0.175,0.175,50000.0,8750.0
2018-11-15 00:00:00,0.175,0.185,0.175,0.185,110575.0,20456.375
2018-11-16 00:00:00,0.185,0.185,0.185,0.185,22501.0,4162.685
2018-11-19 00:00:00,0.185,0.185,0.185,0.185,40000.0,7400.0
2018-11-20 00:00:00,0.185,0.185,0.18,0.18,32123.0,5782.139999999999
2018-11-21 00:00:00,0.175,0.18,0.17,0.17,113522.0,19298.74
2018-11-23 00:00:00,0.17,0.17,0.155,0.16,116800.0,18688.0
2018-11-26 00:00:00,0.16,0.16,0.15,0.15,172522.0,25878.3
2018-11-27 00:00:00,0.16,0.16,0.16,0.16,3500.0,560.0
2018-11-28 00:00:00,0.155,0.155,0.155,0.155,25000.0,3875.0
2018-11-29 00:00:00,0.165,0.165,0.16,0.16,49698.0,7951.68
2018-11-30 00:00:00,0.155,0.155,0.155,0.155,47500.0,7362.5
2018-12-03 00:00:00,0.155,0.155,0.155,0.155,9000.0,1395.0
2018-12-04 00:00:00,0.155,0.155,0.155,0.155,13500.0,2092.5
2018-12-05 00:00:00,0.155,0.155,0.155,0.155,15000.0,2325.0
2018-12-06 00:00:00,0.15,0.155,0.145,0.145,96095.0,13933.775
2018-12-07 00:00:00,0.15,0.165,0.15,0.16,86100.0,13776.0
2018-12-10 00:00:00,0.15,0.15,0.15,0.15,74800.0,11220.0
2018-12-11 00:00:00,0.15,0.15,0.15,0.15,25000.0,3750.0
2018-12-12 00:00:00,0.16,0.16,0.135,0.135,45502.0,6142.77
2018-12-13 00:00:00,0.14,0.14,0.12,0.14,324176.0,45384.64000000001
2018-12-17 00:00:00,0.14,0.14,0.135,0.135,127171.0,17168.085000000003
2018-12-18 00:00:00,0.13,0.13,0.125,0.125,189955.0,23744.375
2018-12-19 00:00:00,0.135,0.14,0.135,0.14,55173.0,7724.220000000001
2018-12-20 00:00:00,0.135,0.135,0.135,0.135,128708.0,17375.58
2018-12-21 00:00:00,0.14,0.14,0.135,0.135,38757.0,5232.195000000001
2018-12-24 00:00:00,0.14,0.14,0.14,0.14,77165.0,10803.1
2018-12-27 00:00:00,0.145,0.15,0.145,0.145,42800.0,6206.0
2018-12-28 00:00:00,0.145,0.145,0.145,0.145,10015.0,1452.175
