timestamps,open,high,low,close,volume,amount
2018-07-20 00:00:00,0.65,0.72,0.62,0.63,2499947.0,1574966.61
2018-07-23 00:00:00,0.645,0.9,0.645,0.82,1376612.0,1128821.8399999999
2018-07-24 00:00:00,0.82,0.85,0.79,0.82,580411.0,475937.01999999996
2018-07-25 00:00:00,0.87,0.9,0.82,0.875,847183.0,741285.125
2018-07-26 00:00:00,0.88,0.995,0.87,0.94,893996.0,840356.24
2018-07-27 00:00:00,0.945,0.95,0.89,0.95,799933.0,759936.35
2018-07-30 00:00:00,0.94,0.94,0.9,0.92,216299.0,198995.08000000002
2018-07-31 00:00:00,0.92,0.92,0.88,0.88,142947.0,125793.36
2018-08-01 00:00:00,0.905,0.905,0.845,0.85,149205.0,126824.25
2018-08-02 00:00:00,0.86,0.86,0.85,0.86,65458.0,56293.88
2018-08-03 00:00:00,0.86,0.87,0.845,0.85,64082.0,54469.7
2018-08-06 00:00:00,0.85,0.86,0.82,0.82,93640.0,76784.79999999999
2018-08-07 00:00:00,0.84,0.895,0.84,0.895,163670.0,146484.65
2018-08-08 00:00:00,0.86,0.9,0.86,0.9,5652.0,5086.8
2018-08-09 00:00:00,0.89,0.905,0.86,0.89,29784.0,26507.760000000002
2018-08-10 00:00:00,0.89,0.905,0.865,0.885,52482.0,46446.57
2018-08-13 00:00:00,0.87,0.87,0.83,0.83,135132.0,112159.56
2018-08-14 00:00:00,0.845,0.85,0.83,0.84,55189.0,46358.759999999995
2018-08-15 00:00:00,0.845,0.86,0.84,0.84,51297.0,43089.479999999996
2018-08-16 00:00:00,0.85,0.85,0.835,0.84,33526.0,28161.84
2018-08-17 00:00:00,0.84,0.84,0.81,0.82,99548.0,81629.36
2018-08-20 00:00:00,0.82,0.835,0.82,0.835,35034.0,29253.39
2018-08-21 00:00:00,0.82,0.84,0.82,0.84,34360.0,28862.399999999998
2018-08-22 00:00:00,0.835,0.835,0.815,0.825,32021.0,26417.324999999997
2018-08-23 00:00:00,0.825,0.825,0.825,0.825,11001.0,9075.824999999999
2018-08-24 00:00:00,0.825,0.83,0.825,0.83,34120.0,28319.6
2018-08-27 00:00:00,0.84,0.87,0.825,0.86,286229.0,246156.94
2018-08-28 00:00:00,0.865,0.865,0.85,0.85,66463.0,56493.549999999996
2018-08-29 00:00:00,0.84,0.84,0.83,0.835,73309.0,61213.015
2018-08-30 00:00:00,0.835,0.85,0.835,0.85,55900.0,47515.0
2018-08-31 00:00:00,0.85,0.85,0.83,0.83,216130.0,179387.9
2018-09-03 00:00:00,0.835,0.935,0.835,0.935,240570.0,224932.95
2018-09-04 00:00:00,0.955,0.975,0.915,0.93,124756.0,116023.08
2018-09-05 00:00:00,0.915,0.93,0.89,0.9,154288.0,138859.2
2018-09-06 00:00:00,0.89,0.9,0.865,0.9,80617.0,72555.3
2018-09-07 00:00:00,0.87,0.9,0.85,0.9,94050.0,84645.0
2018-09-10 00:00:00,0.89,0.89,0.845,0.86,109670.0,94316.2
2018-09-11 00:00:00,0.86,0.86,0.81,0.81,346990.0,281061.9
2018-09-12 00:00:00,0.83,0.83,0.75,0.79,80536.0,63623.44
2018-09-13 00:00:00,0.76,0.775,0.7,0.73,81441.0,59451.93
2018-09-14 00:00:00,0.75,0.78,0.75,0.78,21528.0,16791.84
2018-09-17 00:00:00,0.79,0.83,0.79,0.83,32595.0,27053.85
2018-09-18 00:00:00,0.83,0.835,0.83,0.83,123204.0,102259.31999999999
2018-09-19 00:00:00,0.84,0.84,0.82,0.835,89563.0,74785.105
2018-09-20 00:00:00,0.81,0.81,0.77,0.78,63076.0,49199.28
2018-09-21 00:00:00,0.785,0.785,0.78,0.78,50000.0,39000.0
2018-09-24 00:00:00,0.78,0.78,0.745,0.745,81820.0,60955.9
2018-09-25 00:00:00,0.75,0.75,0.75,0.75,193111.0,144833.25
2018-09-26 00:00:00,0.74,0.75,0.735,0.735,35600.0,26166.0
2018-09-27 00:00:00,0.725,0.73,0.72,0.73,44350.0,32375.5
2018-09-28 00:00:00,0.72,0.745,0.72,0.745,12566.0,9361.67
2018-10-01 00:00:00,0.725,0.75,0.7,0.75,6828840.0,5121630.0
2018-10-02 00:00:00,0.75,0.75,0.75,0.75,2500.0,1875.0
2018-10-03 00:00:00,0.75,0.75,0.75,0.75,10002.0,7501.5
2018-10-04 00:00:00,0.8,0.8,0.79,0.795,60989.0,48486.255000000005
2018-10-05 00:00:00,0.755,0.755,0.75,0.75,17045.0,12783.75
2018-10-08 00:00:00,0.75,0.75,0.75,0.75,679.0,509.25
2018-10-09 00:00:00,0.75,0.79,0.75,0.78,31062.0,24228.36
2018-10-10 00:00:00,0.78,0.79,0.78,0.79,9600.0,7584.0
2018-10-11 00:00:00,0.8,0.8,0.765,0.765,48303.0,36951.795
2018-10-12 00:00:00,0.75,0.75,0.72,0.74,50918.0,37679.32
2018-10-15 00:00:00,0.75,0.75,0.725,0.725,166170.0,120473.25
2018-10-16 00:00:00,0.75,0.75,0.73,0.73,48151.0,35150.229999999996
2018-10-17 00:00:00,0.74,0.74,0.74,0.74,34500.0,25530.0
2018-10-18 00:00:00,0.74,0.74,0.73,0.73,9100.0,6643.0
2018-10-19 00:00:00,0.74,0.74,0.74,0.74,1005.0,743.7
2018-10-22 00:00:00,0.74,0.74,0.74,0.74,36320.0,26876.8
2018-10-23 00:00:00,0.74,0.74,0.73,0.73,5162.0,3768.2599999999998
2018-10-24 00:00:00,0.75,0.79,0.75,0.76,145726.0,110751.76
2018-10-25 00:00:00,0.75,0.755,0.75,0.75,323926.0,242944.5
2018-10-26 00:00:00,0.755,0.755,0.755,0.755,847.0,639.485
2018-10-29 00:00:00,0.735,0.735,0.735,0.735,100000.0,73500.0
2018-10-30 00:00:00,0.74,0.79,0.73,0.79,93588.0,73934.52
2018-10-31 00:00:00,0.79,0.79,0.79,0.79,10000.0,7900.0
2018-11-01 00:00:00,0.79,0.79,0.79,0.79,383743.0,303156.97000000003
2018-11-02 00:00:00,0.79,0.79,0.79,0.79,100000.0,79000.0
2018-11-06 00:00:00,0.8,0.8,0.8,0.8,6312.0,5049.6
2018-11-07 00:00:00,0.805,0.805,0.8,0.805,39480.0,31781.4
2018-11-08 00:00:00,0.8,0.805,0.8,0.805,129279.0,104069.595
2018-11-09 00:00:00,0.805,0.805,0.805,0.805,26100.0,21010.5
2018-11-12 00:00:00,0.81,0.81,0.8,0.8,30524.0,24419.2
2018-11-13 00:00:00,0.79,0.79,0.79,0.79,185000.0,146150.0
2018-11-14 00:00:00,0.805,0.805,0.805,0.805,3000.0,2415.0
2018-11-15 00:00:00,0.8,0.8,0.795,0.795,7574.0,6021.33
2018-11-16 00:00:00,0.805,0.805,0.805,0.805,2616.0,2105.88
2018-11-20 00:00:00,0.815,0.815,0.805,0.805,20569.0,16558.045000000002
2018-11-21 00:00:00,0.8,0.8,0.795,0.795,31587.0,25111.665
2018-11-22 00:00:00,0.8,0.8,0.755,0.77,40383.0,31094.91
2018-11-23 00:00:00,0.775,0.775,0.775,0.775,5475.0,4243.125
2018-11-26 00:00:00,0.78,0.78,0.78,0.78,12082.0,9423.960000000001
2018-11-27 00:00:00,0.79,0.8,0.79,0.8,19974.0,15979.2
2018-11-28 00:00:00,0.8,0.8,0.8,0.8,2526.0,2020.8000000000002
2018-11-29 00:00:00,0.795,0.795,0.795,0.795,1.0,0.795
2018-11-30 00:00:00,0.76,0.77,0.76,0.77,10000.0,7700.0
2018-12-03 00:00:00,0.77,0.77,0.77,0.77,16787.0,12925.99
2018-12-05 00:00:00,0.76,0.76,0.75,0.75,30758.0,23068.5
2018-12-06 00:00:00,0.75,0.75,0.73,0.74,23449.0,17352.26
2018-12-07 00:00:00,0.73,0.73,0.71,0.72,36213.0,26073.36
2018-12-10 00:00:00,0.72,0.72,0.71,0.71,20367.0,14460.57
2018-12-12 00:00:00,0.71,0.71,0.7,0.7,31913.0,22339.1
2018-12-13 00:00:00,0.7,0.7,0.69,0.7,8051.0,5635.7
2018-12-14 00:00:00,0.725,0.725,0.725,0.725,12883.0,9340.175
2018-12-17 00:00:00,0.725,0.725,0.725,0.725,9999.0,7249.275
2018-12-19 00:00:00,0.735,0.735,0.735,0.735,15000.0,11025.0
2018-12-20 00:00:00,0.795,0.795,0.795,0.795,25000.0,19875.0
2018-12-24 00:00:00,0.755,0.755,0.755,0.755,1000.0,755.0
2018-12-27 00:00:00,0.77,0.785,0.77,0.785,6871.0,5393.735000000001
2018-12-28 00:00:00,0.78,0.785,0.78,0.785,11171.0,8769.235
2018-12-31 00:00:00,0.785,0.795,0.785,0.795,46286.0,36797.37
2019-01-02 00:00:00,0.81,0.81,0.795,0.795,44887.0,35685.165
2019-01-03 00:00:00,0.785,0.79,0.785,0.79,24203.0,19120.370000000003
2019-01-07 00:00:00,0.77,0.77,0.76,0.76,25000.0,19000.0
2019-01-08 00:00:00,0.76,0.78,0.755,0.78,46366.0,36165.48
2019-01-09 00:00:00,0.77,0.77,0.745,0.745,22700.0,16911.5
2019-01-10 00:00:00,0.76,0.76,0.75,0.76,8600.0,6536.0
2019-01-11 00:00:00,0.74,0.78,0.74,0.78,24000.0,18720.0
2019-01-14 00:00:00,0.76,0.76,0.76,0.76,1500.0,1140.0
2019-01-15 00:00:00,0.76,0.76,0.76,0.76,7000.0,5320.0
2019-01-16 00:00:00,0.76,0.76,0.755,0.755,26136.0,19732.68
2019-01-17 00:00:00,0.755,0.755,0.74,0.74,78595.0,58160.3
2019-01-22 00:00:00,0.75,0.755,0.74,0.74,35000.0,25900.0
2019-01-23 00:00:00,0.745,0.745,0.74,0.74,10000.0,7400.0
2019-01-25 00:00:00,0.74,0.74,0.74,0.74,18447.0,13650.78
2019-01-29 00:00:00,0.73,0.73,0.73,0.73,201563.0,147140.99
2019-01-30 00:00:00,0.73,0.755,0.73,0.755,133744.0,100976.72
2019-01-31 00:00:00,0.745,0.755,0.73,0.755,19787.0,14939.185
2019-02-01 00:00:00,0.74,0.755,0.74,0.755,16814.0,12694.57
2019-02-04 00:00:00,0.78,0.78,0.78,0.78,8708.0,6792.24
2019-02-05 00:00:00,0.78,0.78,0.74,0.77,116140.0,89427.8
2019-02-06 00:00:00,0.77,0.81,0.77,0.81,72157.0,58447.170000000006
2019-02-08 00:00:00,0.8,0.8,0.8,0.8,7500.0,6000.0
2019-02-11 00:00:00,0.8,0.82,0.8,0.82,2000.0,1640.0
2019-02-12 00:00:00,0.805,0.805,0.805,0.805,12397.0,9979.585000000001
2019-02-13 00:00:00,0.8,0.8,0.8,0.8,5000.0,4000.0
2019-02-14 00:00:00,0.81,0.85,0.81,0.83,45431.0,37707.729999999996
2019-02-15 00:00:00,0.85,0.85,0.83,0.83,15256.0,12662.48
2019-02-20 00:00:00,0.83,0.83,0.78,0.78,30765.0,23996.7
2019-02-21 00:00:00,0.82,0.825,0.82,0.825,15777.0,13016.025
2019-02-22 00:00:00,0.825,0.825,0.825,0.825,16600.0,13695.0
2019-02-25 00:00:00,0.825,0.825,0.825,0.825,68.0,56.099999999999994
2019-02-26 00:00:00,0.83,0.84,0.83,0.835,126576.0,105690.95999999999
2019-02-27 00:00:00,0.835,0.835,0.82,0.82,70000.0,57400.0
2019-02-28 00:00:00,0.825,0.825,0.82,0.82,25000.0,20500.0
2019-03-01 00:00:00,0.83,0.835,0.83,0.835,3120.0,2605.2
2019-03-04 00:00:00,0.82,0.82,0.82,0.82,1315.0,1078.3
2019-03-05 00:00:00,0.83,0.835,0.83,0.835,12662.0,10572.77
2019-03-06 00:00:00,0.825,0.825,0.81,0.825,715077.0,589938.525
2019-03-07 00:00:00,0.805,0.805,0.8,0.8,96067.0,76853.6
2019-03-11 00:00:00,0.805,0.805,0.805,0.805,10510.0,8460.550000000001
2019-03-12 00:00:00,0.805,0.805,0.8,0.8,27290.0,21832.0
2019-03-13 00:00:00,0.8,0.8,0.8,0.8,493.0,394.40000000000003
2019-03-14 00:00:00,0.785,0.785,0.785,0.785,15266.0,11983.810000000001
2019-03-15 00:00:00,0.765,0.765,0.76,0.76,15500.0,11780.0
2019-03-18 00:00:00,0.77,0.77,0.75,0.75,24883.0,18662.25
2019-03-19 00:00:00,0.77,0.77,0.75,0.75,67190.0,50392.5
2019-03-20 00:00:00,0.75,0.76,0.75,0.75,27987.0,20990.25
2019-03-21 00:00:00,0.74,0.76,0.735,0.76,83988.0,63830.88
2019-03-22 00:00:00,0.76,0.76,0.76,0.76,426951.0,324482.76
2019-03-25 00:00:00,0.75,0.75,0.75,0.75,20000.0,15000.0
2019-03-26 00:00:00,0.75,0.75,0.74,0.74,11800.0,8732.0
2019-03-27 00:00:00,0.73,0.73,0.73,0.73,10000.0,7300.0
2019-03-28 00:00:00,0.73,0.73,0.69,0.715,44009.0,31466.434999999998
2019-03-29 00:00:00,0.75,0.75,0.75,0.75,66900.0,50175.0
2019-04-01 00:00:00,0.75,0.75,0.73,0.75,6296.0,4722.0
2019-04-03 00:00:00,0.74,0.75,0.72,0.72,58095.0,41828.4
2019-04-04 00:00:00,0.725,0.725,0.725,0.725,4500.0,3262.5
2019-04-05 00:00:00,0.725,0.725,0.725,0.725,1100.0,797.5
2019-04-08 00:00:00,0.73,0.73,0.725,0.725,12096.0,8769.6
2019-04-09 00:00:00,0.73,0.74,0.73,0.74,2047.0,1514.78
2019-04-10 00:00:00,0.73,0.73,0.725,0.725,23357.0,16933.825
2019-04-11 00:00:00,0.725,0.725,0.72,0.72,30000.0,21600.0
2019-04-12 00:00:00,0.72,0.72,0.71,0.715,11895.0,8504.925
2019-04-15 00:00:00,0.71,0.71,0.71,0.71,7001.0,4970.71
2019-04-16 00:00:00,0.715,0.715,0.715,0.715,600.0,429.0
2019-04-18 00:00:00,0.715,0.715,0.715,0.715,7595.0,5430.425
2019-04-23 00:00:00,0.725,0.725,0.725,0.725,1282.0,929.4499999999999
2019-04-24 00:00:00,0.75,0.75,0.71,0.71,77939.0,55336.689999999995
2019-04-26 00:00:00,0.715,0.715,0.7,0.71,56276.0,39955.96
2019-04-29 00:00:00,0.71,0.73,0.71,0.73,28982.0,21156.86
2019-04-30 00:00:00,0.725,0.725,0.725,0.725,1100.0,797.5
2019-05-01 00:00:00,0.73,0.735,0.73,0.735,30000.0,22050.0
2019-05-02 00:00:00,0.725,0.725,0.725,0.725,16865.0,12227.125
2019-05-03 00:00:00,0.72,0.72,0.71,0.72,106884.0,76956.48
2019-05-06 00:00:00,0.72,0.72,0.72,0.72,4665.0,3358.7999999999997
2019-05-07 00:00:00,0.72,0.72,0.715,0.715,10686.0,7640.49
2019-05-09 00:00:00,0.735,0.735,0.715,0.715,41000.0,29315.0
2019-05-14 00:00:00,0.7,0.715,0.7,0.71,47038.0,33396.979999999996
2019-05-16 00:00:00,0.735,0.74,0.735,0.74,8888.0,6577.12
2019-05-20 00:00:00,0.71,0.71,0.69,0.7,45035.0,31524.499999999996
2019-05-21 00:00:00,0.695,0.7,0.69,0.7,24717.0,17301.899999999998
2019-05-22 00:00:00,0.7,0.7,0.7,0.7,800.0,560.0
2019-05-23 00:00:00,0.715,0.715,0.7,0.7,7857.0,5499.9
2019-05-27 00:00:00,0.715,0.715,0.705,0.705,18939.0,13351.994999999999
2019-05-28 00:00:00,0.71,0.71,0.71,0.71,200.0,142.0
2019-05-29 00:00:00,0.705,0.705,0.69,0.69,21855.0,15079.949999999999
2019-05-30 00:00:00,0.685,0.685,0.685,0.685,147.0,100.69500000000001
2019-05-31 00:00:00,0.685,0.715,0.68,0.7,30180.0,21126.0
2019-06-04 00:00:00,0.69,0.69,0.685,0.685,5000.0,3425.0000000000005
2019-06-05 00:00:00,0.7,0.72,0.7,0.72,24783.0,17843.76
2019-06-06 00:00:00,0.71,0.71,0.68,0.71,6729.0,4777.59
2019-06-11 00:00:00,0.71,0.71,0.71,0.71,535.0,379.84999999999997
2019-06-12 00:00:00,0.69,0.69,0.69,0.69,20447.0,14108.429999999998
2019-06-13 00:00:00,0.69,0.69,0.68,0.68,8500.0,5780.0
2019-06-14 00:00:00,0.68,0.685,0.68,0.685,18637.0,12766.345000000001
2019-06-17 00:00:00,0.69,0.695,0.69,0.695,10000.0,6949.999999999999
2019-06-18 00:00:00,0.68,0.68,0.65,0.67,145000.0,97150.0
2019-06-20 00:00:00,0.65,0.65,0.65,0.65,96192.0,62524.8
2019-06-21 00:00:00,0.65,0.68,0.65,0.68,43000.0,29240.000000000004
2019-06-25 00:00:00,0.65,0.65,0.65,0.65,5000.0,3250.0
2019-06-26 00:00:00,0.68,0.68,0.68,0.68,4291.0,2917.88
2019-06-27 00:00:00,0.68,0.69,0.68,0.69,10888.0,7512.719999999999
2019-06-28 00:00:00,0.665,0.665,0.665,0.665,2005000.0,1333325.0
2019-07-01 00:00:00,0.67,0.67,0.67,0.67,29400.0,19698.0
2019-07-03 00:00:00,0.695,0.7,0.695,0.7,15000.0,10500.0
2019-07-04 00:00:00,0.69,0.71,0.69,0.71,39863.0,28302.73
2019-07-05 00:00:00,0.7,0.705,0.7,0.705,21453.0,15124.365
2019-07-08 00:00:00,0.705,0.71,0.705,0.71,38092.0,27045.32
2019-07-09 00:00:00,0.725,0.725,0.725,0.725,25294.0,18338.149999999998
2019-07-10 00:00:00,0.725,0.73,0.725,0.73,31015.0,22640.95
2019-07-11 00:00:00,0.73,0.73,0.73,0.73,20637.0,15065.01
2019-07-12 00:00:00,0.73,0.76,0.73,0.76,76374.0,58044.24
2019-07-15 00:00:00,0.76,0.76,0.76,0.76,2000.0,1520.0
2019-07-16 00:00:00,0.785,0.855,0.785,0.855,160168.0,136943.63999999998
