timestamps,open,high,low,close,volume,amount
2014-06-25 00:00:00,2.2509,2.3,2.241,2.2607,4564703.0,10319424.0721
2014-06-26 00:00:00,2.2803,2.3295,2.2803,2.3098,1985977.0,4587209.6746000005
2014-06-27 00:00:00,2.3295,2.3393,2.3295,2.3344,353260.0,824650.144
2014-06-30 00:00:00,2.3295,2.3393,2.3295,2.3295,132124.0,307782.858
2014-07-01 00:00:00,2.3393,2.4081,2.3393,2.3786,301562.0,717295.3732
2014-07-02 00:00:00,2.4081,2.4573,2.3786,2.4081,226354.0,545083.0674
2014-07-03 00:00:00,2.418,2.5064,2.418,2.418,618150.0,1494686.7000000002
2014-07-04 00:00:00,2.5064,2.5261,2.4573,2.4769,423811.0,1049737.4659
2014-07-07 00:00:00,2.4671,2.5064,2.4671,2.4671,34372.0,84799.16119999999
2014-07-08 00:00:00,2.4474,2.4474,2.3885,2.4376,92364.0,225146.48640000002
2014-07-11 00:00:00,2.3393,2.359,2.3393,2.359,27745.0,65450.455
2014-07-14 00:00:00,2.4081,2.4081,2.4081,2.4081,763.0,1837.3803
2014-07-15 00:00:00,2.3098,2.359,2.3098,2.3393,110400.0,258258.72000000003
2014-07-16 00:00:00,2.359,2.359,2.3393,2.3393,16509.0,38619.5037
2014-07-17 00:00:00,2.3393,2.3393,2.3393,2.3393,2157.0,5045.8701
2014-07-18 00:00:00,2.3197,2.3197,2.3098,2.3098,10438.0,24109.6924
2014-07-22 00:00:00,2.2951,2.2951,2.2803,2.2803,76423.0,174267.3669
2014-07-23 00:00:00,2.2902,2.2902,2.2902,2.2902,6989.0,16006.2078
2014-07-24 00:00:00,2.2607,2.2607,2.2607,2.2607,48191.0,108945.3937
2014-07-28 00:00:00,2.2705,2.3098,2.2705,2.3098,60003.0,138594.9294
2014-07-29 00:00:00,2.3098,2.3098,2.3098,2.3098,1017.0,2349.0666
2014-07-30 00:00:00,2.3,2.3098,2.3,2.3098,22194.0,51263.7012
2014-07-31 00:00:00,2.3098,2.3098,2.3098,2.3098,33574.0,77549.2252
2014-08-01 00:00:00,2.0445,2.0445,1.9756,2.015,392042.0,789964.63
2014-08-04 00:00:00,1.9953,1.9953,1.9855,1.9855,16090.0,31946.695
2014-08-05 00:00:00,1.9855,1.9855,1.9167,1.9167,43748.0,83851.7916
2014-08-06 00:00:00,1.843,1.843,1.8184,1.8184,841.0,1529.2744
2014-08-07 00:00:00,1.9855,1.9855,1.9658,1.9658,20668.0,40629.1544
2014-08-08 00:00:00,1.9658,2.0346,1.9658,1.9953,1279160.0,2552307.9480000003
2014-08-11 00:00:00,1.9658,1.9658,1.9658,1.9658,1017.0,1999.2186
2014-08-12 00:00:00,1.9216,1.9216,1.9216,1.9216,1017.0,1954.2672
2014-08-13 00:00:00,1.9216,1.9216,1.9216,1.9216,51378.0,98727.9648
2014-08-14 00:00:00,1.9068,1.9167,1.9068,1.9167,20348.0,39001.0116
2014-08-18 00:00:00,1.9265,1.9265,1.9265,1.9265,1190344.0,2293197.716
2014-08-19 00:00:00,1.9658,1.9658,1.9019,1.9019,16858.0,32062.230199999998
2014-08-21 00:00:00,1.9511,1.9511,1.9462,1.9462,16589.0,32285.5118
2014-08-22 00:00:00,1.9511,1.9511,1.9412,1.9462,48576.0,94538.6112
2014-08-25 00:00:00,1.9511,1.956,1.9363,1.9363,37361.0,72342.10429999999
2014-08-26 00:00:00,1.9363,1.9658,1.9265,1.9658,286267.0,562743.6686
2014-08-29 00:00:00,1.9756,1.9756,1.9658,1.9658,66015.0,129772.287
2014-09-01 00:00:00,2.0051,2.0346,1.9953,2.0346,20177.0,41052.124200000006
2014-09-02 00:00:00,2.0641,2.0838,2.0641,2.0641,76334.0,157561.00939999998
2014-09-04 00:00:00,2.0346,2.0346,2.0346,2.0346,9689.0,19713.239400000002
2014-09-16 00:00:00,1.9658,1.9658,1.9363,1.9363,11193.0,21673.0059
2014-09-17 00:00:00,1.9462,1.9462,1.9363,1.9363,22703.0,43959.8189
2014-09-18 00:00:00,1.9314,1.9314,1.9314,1.9314,1225.0,2365.965
2014-09-19 00:00:00,1.9363,1.9363,1.9314,1.9363,28279.0,54756.6277
2014-09-22 00:00:00,1.9363,1.9658,1.9363,1.956,109085.0,213370.26
2014-09-23 00:00:00,1.9462,1.9658,1.9265,1.9658,21382.0,42032.7356
2014-09-24 00:00:00,1.9658,1.9658,1.9265,1.9462,26126.0,50846.4212
2014-09-25 00:00:00,1.9462,1.9462,1.9265,1.9265,41.0,78.9865
2014-09-26 00:00:00,2.015,2.015,2.015,2.015,25.0,50.375
2014-09-29 00:00:00,1.9265,1.9265,1.8921,1.8921,16899.0,31974.597899999997
2014-10-01 00:00:00,1.8921,1.8921,1.8921,1.8921,25.0,47.302499999999995
2014-10-02 00:00:00,1.8921,1.8921,1.8921,1.8921,124.0,234.6204
2014-10-03 00:00:00,1.8184,1.8184,1.8184,1.8184,45241.0,82266.2344
2014-10-06 00:00:00,1.8184,1.8184,1.8184,1.8184,20392.0,37080.8128
2014-10-07 00:00:00,1.838,1.8626,1.838,1.8577,23957.0,44504.9189
2014-10-08 00:00:00,1.838,1.8675,1.838,1.8626,45394.0,84550.8644
2014-10-09 00:00:00,1.8184,1.8184,1.8184,1.8184,26.0,47.2784
2014-10-10 00:00:00,1.8479,1.9314,1.8479,1.8675,15408.0,28774.44
2014-10-13 00:00:00,1.956,1.956,1.956,1.956,26.0,50.856
2014-10-14 00:00:00,1.9265,1.9265,1.9265,1.9265,25.0,48.1625
2014-10-15 00:00:00,1.9462,1.9462,1.9462,1.9462,25.0,48.655
2014-10-16 00:00:00,1.8872,1.8872,1.8872,1.8872,25.0,47.18
2014-10-17 00:00:00,1.8872,1.8872,1.8872,1.8872,27.0,50.9544
2014-10-20 00:00:00,1.8872,1.8872,1.8872,1.8872,478.0,902.0816
2014-10-21 00:00:00,1.8872,1.9068,1.8872,1.9068,203520.0,388071.936
2014-10-23 00:00:00,1.838,1.838,1.838,1.838,2560.0,4705.280000000001
2014-10-24 00:00:00,1.8675,1.9068,1.8675,1.9068,10217.0,19481.7756
2014-10-27 00:00:00,1.8774,1.8774,1.8774,1.8774,25.0,46.935
2014-10-28 00:00:00,1.8675,1.8675,1.8675,1.8675,26.0,48.555
2014-10-29 00:00:00,1.8675,1.8675,1.8675,1.8675,26.0,48.555
