timestamps,open,high,low,close,volume,amount
2007-12-18 00:00:00,0.1243,0.1243,0.1243,0.1243,0.0,0.0
2007-12-19 00:00:00,0.1306,0.1368,0.1243,0.1368,490609.0,67115.3112
2007-12-20 00:00:00,0.1368,0.1368,0.1274,0.1274,84449.0,10758.8026
2007-12-21 00:00:00,0.1274,0.1274,0.1274,0.1274,16086.0,2049.3564
2007-12-28 00:00:00,0.1243,0.1243,0.1243,0.1243,72385.0,8997.4555
2007-12-31 00:00:00,0.1243,0.1243,0.1243,0.1243,96513.0,11996.5659
2008-01-02 00:00:00,0.1243,0.1243,0.1243,0.1243,32171.0,3998.8552999999997
2008-01-04 00:00:00,0.1243,0.1243,0.1243,0.1243,40214.0,4998.6002
2008-01-08 00:00:00,0.1243,0.1243,0.1243,0.1243,4021.0,499.8103
2008-01-11 00:00:00,0.1243,0.1243,0.1243,0.1243,4021.0,499.8103
2008-01-15 00:00:00,0.1243,0.1243,0.1181,0.1181,225197.0,26595.7657
2008-01-16 00:00:00,0.1181,0.1181,0.1181,0.1181,99730.0,11778.113
2008-01-17 00:00:00,0.1119,0.1119,0.1119,0.1119,160855.0,17999.6745
2008-01-21 00:00:00,0.0995,0.0995,0.0995,0.0995,160855.0,16005.0725
2008-01-22 00:00:00,0.0995,0.0995,0.0995,0.0995,12868.0,1280.366
2008-01-25 00:00:00,0.0995,0.0995,0.0995,0.0995,40214.0,4001.293
2008-01-29 00:00:00,0.0995,0.0995,0.0995,0.0995,15281.0,1520.4595000000002
2008-01-30 00:00:00,0.0995,0.0995,0.0995,0.0995,197852.0,19686.274
2008-01-31 00:00:00,0.0995,0.0995,0.0995,0.0995,16086.0,1600.557
2008-02-01 00:00:00,0.1243,0.1243,0.1243,0.1243,16086.0,1999.4897999999998
2008-02-25 00:00:00,0.0684,0.0684,0.0684,0.0684,16086.0,1100.2824
2008-03-17 00:00:00,0.0622,0.0622,0.0622,0.0622,32171.0,2001.0362
2008-03-19 00:00:00,0.0684,0.0684,0.0622,0.0622,80428.0,5002.6215999999995
2008-04-01 00:00:00,0.0622,0.0746,0.0622,0.0746,136426.0,10177.3796
2008-04-03 00:00:00,0.0684,0.0684,0.0684,0.0684,80428.0,5501.2752
2008-04-08 00:00:00,0.0497,0.0497,0.0497,0.0497,16086.0,799.4742
2008-04-11 00:00:00,0.0497,0.0497,0.0497,0.0497,160855.0,7994.4935000000005
2008-04-15 00:00:00,0.0504,0.0504,0.0504,0.0504,40214.0,2026.7856
