timestamps,open,high,low,close,volume,amount
2009-10-30 00:00:00,3.5837,3.5837,3.5837,3.5837,0.0,0.0
2009-11-02 00:00:00,3.3914,3.4351,3.234,3.2777,138949624.0,455435182.5848
2009-11-03 00:00:00,3.3302,3.3739,3.304,3.3302,31987969.0,106526334.3638
2009-11-04 00:00:00,3.3477,3.4001,3.3389,3.3564,23183261.0,77812297.22039999
2009-11-05 00:00:00,3.3739,3.4176,3.2865,3.2865,21310182.0,70035913.143
2009-11-06 00:00:00,3.3389,3.3564,3.2777,3.2952,8357514.0,27539680.132799998
2009-11-09 00:00:00,3.2952,3.3302,3.2777,3.2865,7487635.0,24608112.427500002
2009-11-10 00:00:00,3.304,3.3477,3.2952,3.3389,9045843.0,30203165.192700002
2009-11-11 00:00:00,3.3477,3.3826,3.3215,3.3652,8840847.0,29751218.3244
2009-11-12 00:00:00,3.3826,3.4613,3.3739,3.4263,16242159.0,55650509.3817
2009-11-13 00:00:00,3.4263,3.4351,3.4176,3.4176,8532763.0,29161570.8288
2009-11-16 00:00:00,3.4176,3.4788,3.3914,3.4263,6926598.0,23732602.7274
2009-11-17 00:00:00,3.4438,3.4526,3.3652,3.3652,4847817.0,16313873.7684
2009-11-18 00:00:00,3.3739,3.4351,3.3739,3.4351,4405590.0,15133642.208999999
2009-11-19 00:00:00,3.4351,3.4526,3.4176,3.4263,3932006.0,13472232.1578
2009-11-20 00:00:00,3.4089,3.4351,3.3652,3.3739,2724897.0,9193529.9883
2009-11-23 00:00:00,3.3739,3.4089,3.3739,3.3914,2133688.0,7236189.4832
2009-11-24 00:00:00,3.4089,3.4263,3.3477,3.3739,5218542.0,17606838.8538
2009-11-25 00:00:00,3.3739,3.3826,3.2952,3.3215,1828408.0,6073057.172
2009-11-26 00:00:00,3.3302,3.3302,3.269,3.269,2979804.0,9740979.276
2009-11-27 00:00:00,3.234,3.234,3.1466,3.1729,7979341.0,25317651.0589
2009-11-30 00:00:00,3.1903,3.2777,3.1903,3.234,5931529.0,19182564.786
2009-12-01 00:00:00,3.2952,3.3215,3.2428,3.2952,5645548.0,18603209.7696
2009-12-02 00:00:00,3.3477,3.3477,3.234,3.269,3377720.0,11041766.68
2009-12-03 00:00:00,3.2777,3.3389,3.2428,3.3389,4685250.0,15643581.225000001
2009-12-04 00:00:00,3.2952,3.3389,3.2952,3.3302,2671765.0,8897511.803
2009-12-07 00:00:00,3.3302,3.3302,3.2777,3.2952,1747542.0,5758500.3984
2009-12-08 00:00:00,3.2865,3.2952,3.2253,3.2777,2298532.0,7533898.336399999
2009-12-09 00:00:00,3.2777,3.3215,3.2603,3.2777,4641362.0,15212992.2274
2009-12-10 00:00:00,3.3215,3.3652,3.2865,3.3215,5065942.0,16826526.353
2009-12-11 00:00:00,3.3389,3.3739,3.3302,3.3477,3728774.0,12482816.719800001
2009-12-14 00:00:00,3.3564,3.3739,3.2865,3.3127,3323051.0,11008271.047699999
