timestamps,open,high,low,close,volume,amount
2017-11-20 00:00:00,4.8488,5.3158,4.8388,5.286,20005188.0,105747423.76799999
2017-11-21 00:00:00,5.276,5.3456,5.1767,5.3158,4588736.0,24392802.8288
2017-11-22 00:00:00,5.3356,5.4151,5.2562,5.3356,1466057.0,7822293.729200001
2017-11-23 00:00:00,5.3853,5.4549,5.2661,5.3853,852620.0,4591614.486
2017-11-24 00:00:00,5.4648,5.6337,5.3655,5.3655,762941.0,4093559.9355
2017-11-27 00:00:00,5.4052,5.4946,5.2164,5.2164,742560.0,3873489.984
2017-11-28 00:00:00,5.2562,5.3058,5.1568,5.2363,401382.0,2101756.5666
2017-11-29 00:00:00,5.2661,5.3158,5.2065,5.2661,449639.0,2367843.9379
2017-11-30 00:00:00,5.286,5.3456,5.2661,5.2959,1208267.0,6398861.2053
2017-12-01 00:00:00,5.3058,5.3356,5.1767,5.2959,585501.0,3100754.7459
2017-12-04 00:00:00,5.2959,5.4946,5.276,5.3555,410953.0,2200858.7915000003
2017-12-05 00:00:00,5.3158,5.4052,5.3158,5.3555,314942.0,1686671.881
2017-12-06 00:00:00,5.3555,5.4648,5.3356,5.4549,558846.0,3048449.0454
2017-12-07 00:00:00,5.4847,5.6635,5.435,5.6635,167162.0,946721.987
2017-12-08 00:00:00,5.6039,5.6635,5.4897,5.5344,119278.0,660132.1632
2017-12-11 00:00:00,5.5145,5.5741,5.4648,5.5443,257396.0,1427080.6428
2017-12-12 00:00:00,5.5642,5.7132,5.4648,5.6536,520724.0,2943965.2064
2017-12-13 00:00:00,5.6139,5.9119,5.6139,5.8126,284312.0,1652591.9312
2017-12-14 00:00:00,5.8623,6.051,5.8126,5.9914,1179808.0,7068701.651199999
2017-12-15 00:00:00,6.051,6.2299,5.9815,6.1603,434628.0,2677438.8684
2017-12-18 00:00:00,6.3491,6.5081,6.1603,6.1703,397796.0,2454520.6588
2017-12-19 00:00:00,6.21,6.369,6.21,6.3094,42778.0,269903.5132
2017-12-20 00:00:00,6.2895,6.3591,6.2597,6.3591,301284.0,1915895.0843999998
2017-12-21 00:00:00,6.2796,6.3988,6.2696,6.3988,171728.0,1098853.1264
2017-12-22 00:00:00,6.3789,6.8956,6.3789,6.6273,100878.0,668548.7694
2017-12-27 00:00:00,6.8658,7.0546,6.8062,7.0546,115090.0,811913.914
2017-12-28 00:00:00,7.1738,7.3527,7.1639,7.303,462155.0,3375117.965
2017-12-29 00:00:00,7.303,7.3825,7.2036,7.2334,107538.0,777865.3692
2018-01-02 00:00:00,7.2732,7.2831,6.4584,6.8459,164081.0,1123282.1179
2018-01-03 00:00:00,6.8459,6.8459,6.5081,6.5578,183178.0,1201244.6884
2018-01-04 00:00:00,6.5081,6.5081,6.2398,6.2895,237655.0,1494731.1225
2018-01-05 00:00:00,6.2796,6.2796,5.9815,5.9815,197085.0,1178863.9275
2018-01-08 00:00:00,6.1007,6.1007,5.8573,5.9119,351119.0,2075780.4161
2018-01-09 00:00:00,5.9119,6.2199,5.8623,6.1504,114414.0,703691.8656
2018-01-10 00:00:00,6.1703,6.3789,6.1703,6.2597,215485.0,1348871.4545
2018-01-11 00:00:00,6.2597,6.3491,6.1305,6.2001,756524.0,4690524.4524
2018-01-12 00:00:00,6.3491,6.4087,6.2001,6.2597,40471.0,253336.31869999997
2018-01-15 00:00:00,6.2597,6.2597,6.0312,6.1206,59699.0,365393.6994
2018-01-16 00:00:00,6.1107,6.2597,6.0312,6.1603,132595.0,816824.9785000001
2018-01-17 00:00:00,6.1603,6.1603,6.0411,6.0709,134602.0,817155.2818
2018-01-18 00:00:00,6.1206,6.5081,6.1206,6.4584,1845753.0,11920611.1752
2018-01-19 00:00:00,6.4584,6.4882,6.2001,6.3789,119548.0,762584.7372
2018-01-22 00:00:00,6.4187,6.5975,6.3094,6.4584,700750.0,4525723.8
2018-01-23 00:00:00,6.4385,6.518,6.3094,6.4584,156384.0,1009990.4256000001
2018-01-24 00:00:00,6.4584,6.5677,6.4584,6.4882,145254.0,942437.0028
2018-01-25 00:00:00,6.4485,6.4485,6.2696,6.3591,243738.0,1549954.3158
2018-01-29 00:00:00,6.3591,6.3591,6.051,6.1603,98575.0,607251.5725
2018-01-30 00:00:00,6.1603,6.2299,6.1107,6.1703,97198.0,599740.8194
2018-01-31 00:00:00,5.7629,6.1603,5.5741,6.1603,883310.0,5441454.593
2018-02-01 00:00:00,6.1703,6.4783,6.1603,6.2994,309429.0,1949217.0426
2018-02-02 00:00:00,6.2597,6.3591,6.1703,6.2498,811619.0,5072456.4262
2018-02-05 00:00:00,5.9616,6.3292,5.9616,6.051,353802.0,2140855.9020000002
2018-02-06 00:00:00,5.8424,6.051,5.6238,5.8623,424066.0,2486002.1118
2018-02-07 00:00:00,5.9715,6.1802,5.9517,6.0113,389436.0,2341016.6268
2018-02-08 00:00:00,6.061,6.1305,5.9318,5.9616,117981.0,703355.5296
2018-02-09 00:00:00,5.7828,5.9318,5.7728,5.8623,147176.0,862789.8648000001
2018-02-12 00:00:00,5.8424,5.902,5.7728,5.8623,124799.0,731609.1777
2018-02-13 00:00:00,5.8623,6.056,5.8623,5.9616,109910.0,655239.456
2018-02-14 00:00:00,5.9616,6.0113,5.9219,5.9517,80027.0,476296.6959
2018-02-15 00:00:00,5.9616,6.061,5.9417,6.0411,96835.0,584989.9185
2018-02-16 00:00:00,6.0411,6.2994,5.9914,6.1504,174725.0,1074628.6400000001
2018-02-19 00:00:00,6.061,6.1504,5.9417,6.0014,177992.0,1068201.1888000001
2018-02-20 00:00:00,6.061,6.2001,6.061,6.1206,126377.0,773503.0662
2018-02-21 00:00:00,6.1206,6.3491,6.1206,6.21,103221.0,641002.41
