timestamps,open,high,low,close,volume,amount
2015-11-18 00:00:00,2.5031,2.9302,2.4931,2.8805,9721312.0,28002239.216000002
2015-11-19 00:00:00,2.7712,2.7712,2.6024,2.6123,2346104.0,6128727.4792
2015-11-20 00:00:00,2.5924,2.5924,2.5329,2.5825,1291020.0,3334059.15
2015-11-23 00:00:00,2.5726,2.7216,2.5726,2.652,335740.0,890382.4800000001
2015-11-24 00:00:00,2.6719,2.7017,2.6322,2.6818,313992.0,842063.7456
2015-11-25 00:00:00,2.6818,2.7414,2.652,2.6818,425170.0,1140220.906
2015-11-26 00:00:00,2.7017,2.7812,2.7017,2.7613,221790.0,612428.727
2015-11-27 00:00:00,2.7315,2.7514,2.652,2.6918,338862.0,912148.7316
2015-11-30 00:00:00,2.7116,2.7216,2.6222,2.652,293270.0,777752.04
2015-12-01 00:00:00,2.652,2.7216,2.652,2.7216,144765.0,393992.424
2015-12-02 00:00:00,2.7216,2.8408,2.7216,2.801,303836.0,851044.636
2015-12-03 00:00:00,2.7812,2.7911,2.7514,2.7812,283031.0,787165.8172
2015-12-04 00:00:00,2.7613,2.7712,2.662,2.6818,159211.0,426972.0598
2015-12-07 00:00:00,2.7017,2.7017,2.6222,2.6322,223737.0,588920.5314
2015-12-08 00:00:00,2.6421,2.6818,2.6123,2.6421,189940.0,501840.47400000005
2015-12-09 00:00:00,2.662,2.6918,2.6322,2.6818,1882037.0,5047246.8266
2015-12-10 00:00:00,2.6818,2.6818,2.5825,2.5825,98803.0,255158.7475
2015-12-11 00:00:00,2.6024,2.6322,2.5626,2.6222,1007327.0,2641412.8594
2015-12-14 00:00:00,2.5825,2.5825,2.5478,2.5527,89404.0,228221.5908
2015-12-15 00:00:00,2.5527,2.5527,2.4931,2.4931,115163.0,287112.8753
2015-12-16 00:00:00,2.4832,2.5726,2.3839,2.5626,443667.0,1136941.0542000001
2015-12-17 00:00:00,2.5825,2.652,2.5329,2.6222,315525.0,827369.6549999999
2015-12-18 00:00:00,2.5825,2.6719,2.5825,2.6719,202255.0,540405.1345
2015-12-21 00:00:00,2.662,2.8308,2.6322,2.8308,331504.0,938421.5231999999
2015-12-22 00:00:00,2.8308,2.9103,2.7911,2.9103,450228.0,1310298.5484
2015-12-23 00:00:00,2.9004,3.0792,2.9004,3.0196,410178.0,1238573.4888
2015-12-24 00:00:00,2.9798,3.0494,2.9798,2.9798,285683.0,851278.2034
2015-12-29 00:00:00,3.0494,3.0792,2.9798,3.0593,85312.0,260995.0016
2015-12-30 00:00:00,3.0792,3.0792,3.0096,3.0295,57163.0,173175.3085
2015-12-31 00:00:00,2.9898,3.0494,2.9798,3.0394,53437.0,162416.4178
2016-01-04 00:00:00,3.0196,3.0792,2.9699,3.0593,216306.0,661744.9458
2016-01-05 00:00:00,2.9898,3.0295,2.96,2.9798,137499.0,409719.5202
2016-01-06 00:00:00,2.9798,2.9898,2.9401,2.9798,44164.0,131599.8872
2016-01-07 00:00:00,2.9798,2.9898,2.8507,2.8606,115096.0,329243.6176
2016-01-08 00:00:00,2.7812,2.9401,2.7812,2.9004,106633.0,309278.3532
2016-01-11 00:00:00,2.8308,2.9004,2.7216,2.9004,104241.0,302340.5964
2016-01-12 00:00:00,2.8805,2.8805,2.7315,2.7812,188315.0,523741.678
2016-01-13 00:00:00,2.7812,2.8507,2.7315,2.8209,127370.0,359298.033
2016-01-14 00:00:00,2.8408,2.8408,2.6322,2.652,44144.0,117069.888
2016-01-15 00:00:00,2.6818,2.8308,2.6818,2.7812,418031.0,1162627.8172000002
2016-01-18 00:00:00,2.7613,2.8805,2.7613,2.8805,145107.0,417980.7135
2016-01-19 00:00:00,2.8507,2.8805,2.7712,2.8805,121388.0,349658.134
2016-01-20 00:00:00,2.8408,2.8706,2.7613,2.7613,75839.0,209414.2307
2016-01-21 00:00:00,2.7613,2.7712,2.7017,2.7712,158604.0,439523.40479999996
2016-01-22 00:00:00,2.7216,2.9202,2.6918,2.7812,152266.0,423482.19920000003
2016-01-25 00:00:00,2.8209,2.8308,2.6918,2.801,62584.0,175297.784
2016-01-27 00:00:00,2.8308,2.9103,2.7514,2.7812,117558.0,326952.30960000004
2016-01-28 00:00:00,2.811,2.9103,2.811,2.8904,115790.0,334679.416
2016-01-29 00:00:00,2.8904,2.9202,2.801,2.8706,98007.0,281338.8942
2016-02-01 00:00:00,2.8805,2.8805,2.7812,2.801,50590.0,141702.59
2016-02-02 00:00:00,2.811,2.8308,2.7613,2.7911,364897.0,1018464.0167
2016-02-03 00:00:00,2.7712,2.801,2.7514,2.7812,92712.0,257850.61440000002
2016-02-04 00:00:00,2.7514,2.7712,2.7315,2.7414,208790.0,572376.906
2016-02-05 00:00:00,2.7216,2.7514,2.5825,2.5825,193107.0,498698.8275
2016-02-08 00:00:00,2.5726,2.5825,2.4733,2.5329,125592.0,318111.9768
2016-02-09 00:00:00,2.4832,2.5329,2.4335,2.4832,161558.0,401180.82560000004
2016-02-10 00:00:00,2.5329,2.5626,2.3938,2.4633,126050.0,310498.96499999997
2016-02-11 00:00:00,2.4633,2.4633,2.2845,2.3342,318523.0,743496.3866
2016-02-12 00:00:00,2.2845,2.3342,2.2051,2.2051,493167.0,1087482.5517
2016-02-15 00:00:00,2.2448,2.3739,2.2349,2.3342,308272.0,719568.5024
2016-02-16 00:00:00,2.3839,2.4435,2.364,2.4335,137783.0,335294.9305
2016-02-17 00:00:00,2.4633,2.5726,2.4633,2.513,80231.0,201620.503
2016-02-18 00:00:00,2.513,2.5825,2.513,2.5329,46483.0,117736.79070000001
2016-02-19 00:00:00,2.5329,2.5527,2.5329,2.5428,158535.0,403122.798
2016-02-22 00:00:00,2.5229,2.652,2.5229,2.6322,183081.0,481905.8082
2016-02-23 00:00:00,2.6024,2.662,2.5428,2.5924,309417.0,802132.6308
2016-02-24 00:00:00,2.662,2.662,2.5329,2.5626,148377.0,380230.90020000003
2016-02-25 00:00:00,2.5626,2.5825,2.3044,2.4832,331250.0,822560.0
2016-02-26 00:00:00,2.3441,2.3441,2.2448,2.2845,258431.0,590385.6195
2016-02-29 00:00:00,2.3839,2.4832,2.3441,2.4335,73104.0,177898.584
2016-03-01 00:00:00,2.4335,2.5031,2.4037,2.5031,123090.0,308106.57899999997
2016-03-02 00:00:00,2.5229,2.5229,2.4435,2.4832,71403.0,177307.9296
2016-03-03 00:00:00,2.4832,2.4931,2.4037,2.4534,65320.0,160256.088
2016-03-04 00:00:00,2.4534,2.5329,2.2746,2.3441,155204.0,363813.6964
2016-03-07 00:00:00,2.3739,2.4037,2.2448,2.2647,118072.0,267397.6584
2016-03-08 00:00:00,2.2547,2.3243,2.2349,2.2349,103430.0,231155.70700000002
2016-03-09 00:00:00,2.2448,2.2746,2.2249,2.2448,51934.0,116581.44320000001
2016-03-10 00:00:00,2.2845,2.4534,2.2845,2.3839,56328.0,134280.3192
2016-03-11 00:00:00,2.3541,2.4236,2.3143,2.4137,71163.0,171766.1331
2016-03-14 00:00:00,2.3938,2.4236,2.3243,2.3342,45145.0,105377.459
2016-03-15 00:00:00,2.3441,2.3441,2.2845,2.3342,40307.0,94084.5994
2016-03-16 00:00:00,2.2845,2.3541,2.2845,2.3342,116490.0,271910.958
2016-03-17 00:00:00,2.5229,2.5626,2.3541,2.4236,206718.0,501001.7448
2016-03-18 00:00:00,2.4335,2.4435,2.3839,2.4137,67025.0,161778.2425
2016-03-21 00:00:00,2.4236,2.4335,2.3938,2.4236,143359.0,347444.8724
2016-03-22 00:00:00,2.4335,2.5329,2.4335,2.5329,125198.0,317114.01420000003
2016-03-23 00:00:00,2.4931,2.6322,2.4335,2.5825,101605.0,262394.9125
2016-03-24 00:00:00,2.5626,2.6123,2.4832,2.5825,164229.0,424121.3925
2016-03-29 00:00:00,2.5825,2.6024,2.513,2.5825,52400.0,135323.0
2016-03-30 00:00:00,2.5726,2.5726,2.4534,2.5527,51911.0,132513.2097
2016-03-31 00:00:00,2.5527,2.6322,2.5031,2.5825,94382.0,243741.515
2016-04-01 00:00:00,2.5825,2.5825,2.5329,2.5726,34626.0,89078.8476
2016-04-04 00:00:00,2.5726,2.6123,2.5329,2.5825,118932.0,307141.89
2016-04-05 00:00:00,2.5825,2.5924,2.513,2.5329,156824.0,397219.50960000005
2016-04-06 00:00:00,2.5329,2.5329,2.4832,2.4832,80073.0,198837.27360000001
2016-04-07 00:00:00,2.5329,2.5329,2.4832,2.5031,103111.0,258097.14409999998
2016-04-08 00:00:00,2.4832,2.4832,2.4534,2.4534,257914.0,632766.2076
2016-04-11 00:00:00,2.4733,2.5329,2.4435,2.4832,102793.0,255255.57760000002
2016-04-12 00:00:00,2.4335,2.4832,2.4335,2.4633,74227.0,182843.36909999998
2016-04-13 00:00:00,2.4733,2.4832,2.4335,2.4335,88977.0,216525.5295
2016-04-14 00:00:00,2.4435,2.4832,2.4435,2.4534,42806.0,105020.2404
2016-04-15 00:00:00,2.4633,2.5428,2.4534,2.5329,497300.0,1259611.1700000002
2016-04-18 00:00:00,2.5229,2.5329,2.4534,2.4534,42084.0,103248.8856
2016-04-19 00:00:00,2.4733,2.5527,2.4733,2.4733,122434.0,302816.0122
2016-04-20 00:00:00,2.4832,2.4832,2.4534,2.4534,36867.0,90449.4978
2016-04-21 00:00:00,2.4534,2.5329,2.3839,2.4832,115904.0,287812.8128
2016-04-22 00:00:00,2.4733,2.4832,2.4335,2.4435,59658.0,145774.32299999997
2016-04-26 00:00:00,2.4534,2.5825,2.4534,2.4832,48881.0,121381.29920000001
2016-04-27 00:00:00,2.4931,2.5726,2.4832,2.5329,75595.0,191474.5755
2016-04-28 00:00:00,2.5329,2.5329,2.4931,2.5031,79632.0,199326.85919999998
2016-04-29 00:00:00,2.5726,2.6322,2.4733,2.6123,113210.0,295738.483
