timestamps,open,high,low,close,volume,amount
2000-01-04 00:00:00,1.4067,1.4067,1.3512,1.3512,184271.0,248986.9752
2000-01-05 00:00:00,1.3327,1.3512,1.2771,1.3327,231269.0,308212.1963
2000-01-06 00:00:00,1.2957,1.3512,1.2957,1.3142,63139.0,82977.2738
2000-01-07 00:00:00,1.3142,1.3327,1.2586,1.2771,101995.0,130257.8145
2000-01-10 00:00:00,1.2957,1.3327,1.2957,1.3142,119900.0,157572.58000000002
2000-01-11 00:00:00,1.3327,1.3327,1.2957,1.3327,156252.0,208237.0404
2000-01-12 00:00:00,1.3512,1.4807,1.3512,1.4622,271632.0,397180.31039999996
2000-01-13 00:00:00,1.4622,1.4622,1.3697,1.3697,173242.0,237289.5674
2000-01-14 00:00:00,1.3697,1.3697,1.3142,1.3327,193198.0,257474.9746
2000-01-17 00:00:00,1.3512,1.3697,1.3327,1.3697,116298.0,159293.3706
2000-01-18 00:00:00,1.3697,1.3697,1.3327,1.3327,172428.0,229794.7956
2000-01-19 00:00:00,1.3327,1.3512,1.2957,1.2957,205399.0,266135.4843
2000-01-20 00:00:00,1.2957,1.2957,1.1476,1.2216,921496.0,1125699.5136
2000-01-21 00:00:00,1.2216,1.2216,1.1476,1.1846,280300.0,332043.38
2000-01-24 00:00:00,1.1476,1.1476,1.0365,1.0365,558721.0,579114.3165
2000-01-25 00:00:00,1.055,1.1476,1.055,1.1106,411508.0,457020.7848
2000-01-27 00:00:00,1.1106,1.1106,0.9255,0.9995,2151392.0,2150316.304
2000-01-28 00:00:00,0.981,0.9995,0.7774,0.9255,1860909.0,1722271.2795
2000-01-31 00:00:00,0.907,0.9995,0.8884,0.9995,561324.0,561043.338
2000-02-01 00:00:00,1.0365,1.0365,0.9625,1.018,510385.0,519571.93
2000-02-02 00:00:00,0.981,0.9995,0.9625,0.9995,190732.0,190636.63400000002
2000-02-03 00:00:00,0.981,0.9995,0.9255,0.9255,344475.0,318811.6125
2000-02-04 00:00:00,0.9255,0.981,0.907,0.9255,350041.0,323962.9455
2000-02-07 00:00:00,1.1291,1.1476,1.0921,1.1106,1787335.0,1985014.2510000002
2000-02-08 00:00:00,1.1106,1.1106,1.0365,1.0365,298697.0,309599.44049999997
2000-02-09 00:00:00,1.018,1.018,0.981,0.9995,207600.0,207496.2
2000-02-10 00:00:00,1.0291,1.055,0.9995,0.9995,137314.0,137245.343
2000-02-11 00:00:00,1.055,1.0735,1.018,1.018,162597.0,165523.746
2000-02-14 00:00:00,1.0365,1.055,1.018,1.055,157775.0,166452.625
2000-02-15 00:00:00,1.055,1.055,0.981,0.9995,216490.0,216381.755
2000-02-16 00:00:00,0.9995,0.9995,0.944,0.944,244511.0,230818.384
2000-02-17 00:00:00,0.9625,0.981,0.944,0.981,185625.0,182098.125
2000-02-18 00:00:00,0.9995,0.9995,0.944,0.9625,153335.0,147584.9375
2000-02-21 00:00:00,0.9995,0.9995,0.9255,0.944,319759.0,301852.496
2000-02-22 00:00:00,0.944,0.9625,0.9255,0.944,241608.0,228077.952
2000-02-23 00:00:00,0.9625,0.9625,0.9255,0.944,311059.0,293639.696
2000-02-24 00:00:00,0.944,0.944,0.907,0.944,235181.0,222010.864
2000-02-25 00:00:00,0.9292,0.9292,0.907,0.907,310370.0,281505.59
2000-02-28 00:00:00,0.9255,0.9255,0.8884,0.9255,138281.0,127979.0655
2000-02-29 00:00:00,0.907,0.9255,0.8884,0.9255,198318.0,183543.309
2000-03-01 00:00:00,0.9255,0.944,0.907,0.944,120692.0,113933.24799999999
2000-03-02 00:00:00,0.944,0.981,0.944,0.981,114959.0,112774.779
2000-03-03 00:00:00,0.9625,0.981,0.944,0.981,82610.0,81040.41
2000-03-06 00:00:00,0.981,0.981,0.907,0.9255,97167.0,89928.0585
2000-03-07 00:00:00,0.9255,0.944,0.8996,0.8996,72470.0,65194.011999999995
2000-03-08 00:00:00,0.907,0.9255,0.8884,0.8884,115297.0,102429.8548
2000-03-09 00:00:00,0.8884,0.907,0.8514,0.8699,217614.0,189302.4186
2000-03-10 00:00:00,0.8884,0.907,0.8699,0.907,51777.0,46961.739
2000-03-13 00:00:00,0.8625,0.9255,0.8625,0.9255,78365.0,72526.8075
2000-03-14 00:00:00,0.9255,0.9625,0.8884,0.907,85780.0,77802.46
2000-03-15 00:00:00,0.8884,0.9255,0.8699,0.8699,117546.0,102253.2654
2000-03-16 00:00:00,0.907,0.9255,0.8699,0.8884,33132.0,29434.4688
2000-03-17 00:00:00,0.8884,0.907,0.8699,0.8699,156267.0,135936.66330000001
2000-03-20 00:00:00,0.8884,0.8884,0.8514,0.8699,63969.0,55646.6331
2000-03-21 00:00:00,0.8884,0.8884,0.8699,0.8884,76186.0,67683.6424
2000-03-22 00:00:00,0.8884,0.8884,0.8699,0.8884,182603.0,162224.50519999999
2000-03-23 00:00:00,0.907,0.907,0.8699,0.8884,118397.0,105183.8948
2000-03-24 00:00:00,0.8884,0.907,0.8699,0.8699,93463.0,81303.46370000001
2000-03-27 00:00:00,0.8884,0.8884,0.8255,0.8255,246641.0,203602.1455
2000-03-28 00:00:00,0.8329,0.8329,0.7774,0.8329,126391.0,105271.0639
2000-03-29 00:00:00,0.8144,0.8144,0.7959,0.7959,157955.0,125716.38450000001
2000-03-30 00:00:00,0.8144,0.8144,0.7774,0.7774,153325.0,119194.855
2000-03-31 00:00:00,0.7959,0.7959,0.7404,0.7959,345404.0,274907.04360000003
2000-04-03 00:00:00,0.7959,0.7959,0.7404,0.7959,116555.0,92766.1245
2000-04-04 00:00:00,0.7959,0.7959,0.7404,0.7774,176392.0,137127.1408
2000-04-05 00:00:00,0.7774,0.7959,0.7404,0.7589,54392.0,41278.0888
2000-04-06 00:00:00,0.7589,0.7774,0.7404,0.7404,200380.0,148361.35199999998
2000-04-07 00:00:00,0.7589,0.7959,0.7404,0.7959,91388.0,72735.7092
