timestamps,open,high,low,close,volume,amount
2000-01-04 00:00:00,7.0092,7.0092,6.7726,6.8511,176638.0,1210164.6018
2000-01-05 00:00:00,6.7147,6.7922,6.5763,6.7726,213583.0,1446512.2258
2000-01-06 00:00:00,6.8521,6.8708,6.7137,6.7235,652582.0,4387635.077
2000-01-07 00:00:00,6.7157,6.7157,6.4782,6.4978,323705.0,2103370.349
2000-01-10 00:00:00,6.5312,6.7726,6.5272,6.6254,52800.0,349821.12
2000-01-11 00:00:00,6.6666,6.6666,6.4997,6.4997,474386.0,3083366.6842
2000-01-12 00:00:00,6.4683,6.5469,6.4683,6.5469,220561.0,1443990.8109
2000-01-13 00:00:00,6.5174,6.5174,6.38,6.38,103139.0,658026.82
2000-01-14 00:00:00,6.1582,6.4094,6.1248,6.4094,146375.0,938175.9249999999
2000-01-17 00:00:00,6.6156,6.6156,6.3309,6.3407,151714.0,961972.9598
2000-01-18 00:00:00,6.3702,6.3702,6.2818,6.3309,806341.0,5104864.2369
2000-01-19 00:00:00,6.38,6.4094,6.3015,6.3309,21948.0,138950.5932
2000-01-20 00:00:00,6.3309,6.38,6.3309,6.3604,140248.0,892033.3792000001
2000-01-21 00:00:00,6.38,6.4291,6.38,6.4291,58729.0,377574.6139
2000-01-24 00:00:00,6.4291,6.4782,6.4094,6.4291,140659.0,904310.7769
2000-01-25 00:00:00,6.4585,6.5272,6.3996,6.5272,65159.0,425305.8248
2000-01-27 00:00:00,6.5763,6.8708,6.5763,6.7726,280628.0,1900581.1927999998
2000-01-28 00:00:00,6.7726,6.8217,6.7235,6.8217,146903.0,1002128.1951
2000-01-31 00:00:00,6.7118,6.7726,6.6745,6.6745,62496.0,417129.552
2000-02-01 00:00:00,6.6646,6.6745,6.5567,6.5567,118562.0,777375.4654
2000-02-02 00:00:00,6.5469,6.6745,6.537,6.5763,98729.0,649271.5227
2000-02-03 00:00:00,6.5763,6.8217,6.5763,6.7922,531684.0,3611304.0648000003
2000-02-04 00:00:00,6.7922,6.8511,6.6745,6.7726,52240.0,353800.624
2000-02-07 00:00:00,6.6833,6.8217,6.6745,6.7726,169491.0,1147894.7466
2000-02-08 00:00:00,6.7471,7.0474,6.6843,6.9395,306721.0,2128490.3795
2000-02-09 00:00:00,7.126,7.1652,7.018,7.018,264785.0,1858261.13
2000-02-10 00:00:00,7.0671,7.0671,6.8217,6.9591,135780.0,944906.598
2000-02-11 00:00:00,6.9287,6.9689,6.8708,6.9689,268290.0,1869686.1809999999
2000-02-14 00:00:00,6.8708,6.9689,6.8217,6.8708,346838.0,2383054.5304
2000-02-15 00:00:00,6.9198,7.0376,6.9198,7.0376,156793.0,1103446.4168
2000-02-16 00:00:00,6.9689,7.0671,6.8708,6.9198,299150.0,2070058.1700000002
2000-02-17 00:00:00,6.9503,6.9591,6.8217,6.8708,353615.0,2429617.942
2000-02-18 00:00:00,6.8619,6.8708,6.7726,6.7922,147379.0,1001027.6438000001
2000-02-21 00:00:00,6.807,6.807,6.3898,6.7726,68592.0,464546.17919999996
2000-02-22 00:00:00,6.7628,6.7628,6.5469,6.5665,49332.0,323938.578
2000-02-23 00:00:00,6.4782,6.5763,6.4782,6.5665,51773.0,339967.4045
2000-02-24 00:00:00,6.4782,6.5272,6.4782,6.5272,186421.0,1216807.1512
2000-02-25 00:00:00,6.5272,6.5272,6.3898,6.5272,226216.0,1476557.0751999998
2000-02-28 00:00:00,6.5213,6.5567,6.4782,6.537,62209.0,406660.233
2000-02-29 00:00:00,6.537,6.8217,6.4291,6.7922,213170.0,1447893.274
2000-03-01 00:00:00,6.8217,6.8708,6.8217,6.8708,113618.0,780646.5544
2000-03-02 00:00:00,6.91,6.9198,6.7726,6.8413,118685.0,811959.6905
2000-03-03 00:00:00,6.8217,6.8413,6.4291,6.6156,342140.0,2263461.384
2000-03-06 00:00:00,6.6156,6.6156,6.4782,6.5272,209943.0,1370339.9496
2000-03-07 00:00:00,6.5606,6.5606,6.2818,6.4585,98234.0,634444.289
2000-03-08 00:00:00,6.22,6.38,5.899,6.2818,156238.0,981455.8683999999
2000-03-09 00:00:00,6.3525,6.3525,6.1739,6.1837,115955.0,717030.9335
2000-03-10 00:00:00,6.0708,6.1837,6.0365,6.0365,322924.0,1949330.726
2000-03-13 00:00:00,5.9874,6.1837,5.9874,6.0365,1195174.0,7214667.851
2000-03-14 00:00:00,6.0276,6.0276,5.5162,5.6635,487756.0,2762406.106
2000-03-15 00:00:00,5.6635,5.8892,5.4966,5.7911,244282.0,1414661.4902000001
2000-03-16 00:00:00,5.8451,5.9383,5.7911,5.9383,226994.0,1347958.4701999999
2000-03-17 00:00:00,6.0296,6.2524,6.0296,6.1248,165157.0,1011553.5935999999
2000-03-20 00:00:00,6.1346,6.1837,6.0365,6.0365,189008.0,1140946.7920000001
2000-03-21 00:00:00,5.9089,6.1837,5.8892,5.9874,31975.0,191447.115
2000-03-22 00:00:00,5.9874,5.9874,5.8892,5.9089,1294798.0,7650831.9022
2000-03-23 00:00:00,5.9089,5.9187,5.7911,5.8892,254514.0,1498883.8488
2000-03-24 00:00:00,5.8402,5.9874,5.8402,5.9874,71871.0,430320.4254
2000-03-27 00:00:00,5.9874,6.1837,5.8892,5.8892,243816.0,1435881.1872
2000-03-28 00:00:00,5.9089,5.9187,5.8107,5.8794,201189.0,1182870.6066
2000-03-29 00:00:00,5.8892,5.9874,5.8892,5.8892,566156.0,3334205.9151999997
2000-03-30 00:00:00,5.8892,5.9089,5.8402,5.8892,1226909.0,7225512.482799999
2000-03-31 00:00:00,5.8892,6.0365,5.8402,5.8402,432145.0,2523813.2290000003
2000-04-03 00:00:00,5.7734,5.8892,5.7734,5.8892,214980.0,1266060.216
2000-04-04 00:00:00,5.8402,5.8402,5.6242,5.6438,363370.0,2050787.606
2000-04-05 00:00:00,5.6438,5.6537,5.5457,5.5948,423625.0,2370097.15
2000-04-06 00:00:00,5.5948,5.5948,5.3985,5.4475,234343.0,1276583.4925
2000-04-07 00:00:00,5.4966,5.5064,5.4475,5.4966,232919.0,1280262.5754
2000-04-10 00:00:00,5.8127,5.8127,5.4279,5.4279,1170810.0,6355039.599
2000-04-11 00:00:00,5.4034,5.5457,5.4034,5.5015,50506.0,277858.759
2000-04-12 00:00:00,5.4868,5.4868,5.4574,5.4672,33576.0,183566.7072
2000-04-13 00:00:00,5.4672,5.4672,5.2512,5.4672,524463.0,2867344.1136
2000-04-14 00:00:00,5.4279,5.6537,5.4279,5.5457,167827.0,930718.1939
2000-04-17 00:00:00,5.4495,5.4495,5.0647,5.2022,298527.0,1552997.1594
2000-04-18 00:00:00,5.4917,5.6438,5.4868,5.4966,423087.0,2325540.0042
2000-04-19 00:00:00,5.5948,5.5948,5.212,5.4524,1492291.0,8136567.4484
2000-04-20 00:00:00,5.3592,5.3592,5.3003,5.3101,50837.0,269949.5537
2000-04-26 00:00:00,5.3278,5.4868,5.3278,5.4574,22278.0,121579.95719999999
2000-04-27 00:00:00,5.4181,5.5751,5.3985,5.5457,388690.0,2155558.133
2000-04-28 00:00:00,5.4966,5.5948,5.4966,5.5948,763628.0,4272345.934400001
2000-05-01 00:00:00,5.6517,5.7126,5.6438,5.6438,126688.0,715001.7344
2000-05-02 00:00:00,5.6615,5.8402,5.585,5.7911,178467.0,1033520.2437
2000-05-03 00:00:00,5.8009,5.8009,5.5064,5.6929,453276.0,2580454.9403999997
2000-05-04 00:00:00,5.7538,5.7538,5.6537,5.6537,79453.0,449203.4261
2000-05-05 00:00:00,5.6438,5.742,5.6438,5.6929,214751.0,1222555.9679
2000-05-08 00:00:00,5.742,5.742,5.6929,5.7126,350792.0,2003934.3792
2000-05-09 00:00:00,5.7008,5.7008,5.585,5.585,188463.0,1052565.855
2000-05-10 00:00:00,5.5231,5.5457,5.4377,5.4377,80656.0,438583.13120000006
2000-05-11 00:00:00,5.5025,5.5948,5.4868,5.5948,93344.0,522241.0112
2000-05-12 00:00:00,5.7911,5.7911,5.5948,5.5948,178819.0,1000456.5412000001
2000-05-15 00:00:00,5.6046,5.6144,5.4966,5.5467,272689.0,1512524.0763
2000-05-16 00:00:00,5.5457,5.5457,5.4475,5.4966,87974.0,483557.8884
2000-05-17 00:00:00,5.4426,5.5457,5.4426,5.4966,445537.0,2448938.6742
2000-05-18 00:00:00,5.4966,5.4966,5.4574,5.4966,50060.0,275159.796
2000-05-19 00:00:00,5.4966,5.5948,5.4966,5.5457,200540.0,1112134.678
2000-05-22 00:00:00,5.634,5.634,5.5457,5.5555,213701.0,1187215.9055
2000-05-23 00:00:00,5.5555,5.5948,5.5457,5.5948,164185.0,918582.238
2000-05-24 00:00:00,5.4966,5.5064,5.4279,5.4475,636204.0,3465721.29
2000-05-25 00:00:00,5.4475,5.4868,5.4181,5.4868,314815.0,1727326.9419999998
