timestamps,open,high,low,close,volume,amount
2000-01-04 00:00:00,0.9135,0.9166,0.8886,0.9073,371382.0,336954.8886
2000-01-05 00:00:00,0.8411,0.8793,0.8411,0.8579,1214742.0,1042127.1618
2000-01-06 00:00:00,0.8545,0.8638,0.8545,0.8545,998793.0,853468.6185
2000-01-07 00:00:00,0.8545,0.8545,0.7954,0.8079,672978.0,543698.9262
2000-01-10 00:00:00,0.8389,0.8545,0.8234,0.8234,5208162.0,4288400.5908
2000-01-11 00:00:00,0.8389,0.8545,0.8079,0.8203,496404.0,407200.2012
2000-01-12 00:00:00,0.8184,0.8824,0.7923,0.8172,652455.0,533186.226
2000-01-13 00:00:00,0.8234,0.8234,0.7737,0.7768,780144.0,606015.8592000001
2000-01-14 00:00:00,0.8047,0.8079,0.7457,0.7612,764211.0,581717.4132
2000-01-17 00:00:00,0.7901,0.8389,0.7799,0.8389,651471.0,546519.0218999999
2000-01-18 00:00:00,0.8423,0.8545,0.8389,0.8389,300774.0,252319.3086
2000-01-19 00:00:00,0.8389,0.842,0.8079,0.8141,207849.0,169209.8709
2000-01-20 00:00:00,0.8141,0.8141,0.7985,0.7985,223650.0,178584.525
2000-01-21 00:00:00,0.7861,0.8016,0.7768,0.8016,250965.0,201173.544
2000-01-24 00:00:00,0.8079,0.8389,0.8079,0.8265,503586.0,416213.829
2000-01-25 00:00:00,0.8327,0.8327,0.8079,0.8079,334896.0,270562.47839999996
2000-01-27 00:00:00,0.8141,0.8389,0.8141,0.8389,486855.0,408422.6595
2000-01-28 00:00:00,0.8355,0.8358,0.8141,0.8234,476100.0,392020.74
2000-01-31 00:00:00,0.8172,0.8296,0.8141,0.8172,276969.0,226339.0668
2000-02-01 00:00:00,0.8172,0.8389,0.8079,0.8389,240921.0,202108.6269
2000-02-02 00:00:00,0.8389,0.8389,0.8203,0.8234,146271.0,120439.5414
2000-02-03 00:00:00,0.8234,0.8296,0.8234,0.8234,427950.0,352374.03
2000-02-04 00:00:00,0.8305,0.8451,0.8234,0.8265,488217.0,403511.3505
2000-02-07 00:00:00,0.8327,0.8358,0.8228,0.8228,290400.0,238941.12
2000-02-08 00:00:00,0.8265,0.8545,0.8265,0.842,623580.0,525054.36
2000-02-09 00:00:00,0.8482,0.9104,0.8482,0.9104,1224897.0,1115146.2288
2000-02-10 00:00:00,0.9166,0.9725,0.9166,0.9632,1605201.0,1546129.6032
2000-02-11 00:00:00,0.9632,1.0689,0.9632,1.0201,1193466.0,1217454.6666
2000-02-14 00:00:00,0.9943,0.9943,0.9632,0.9859,268824.0,265033.5816
2000-02-15 00:00:00,0.9859,0.9912,0.9539,0.9787,346215.0,338840.6205
2000-02-16 00:00:00,0.9787,1.0191,0.9321,0.9321,540453.0,503756.2413
2000-02-17 00:00:00,0.9384,0.9415,0.87,0.8949,164169.0,146914.8381
2000-02-18 00:00:00,0.8855,0.9104,0.8855,0.8886,276681.0,245858.73659999997
2000-02-21 00:00:00,0.8638,0.8886,0.8545,0.8855,203880.0,180535.74
2000-02-22 00:00:00,0.9166,0.9166,0.8855,0.8855,113784.0,100755.73199999999
2000-02-23 00:00:00,0.8722,0.8762,0.8576,0.8576,225564.0,193443.6864
2000-02-24 00:00:00,0.8871,0.9384,0.8871,0.9384,375072.0,351967.5648
2000-02-25 00:00:00,0.9362,0.9362,0.9166,0.9228,386088.0,356282.00639999995
2000-02-28 00:00:00,0.9228,0.9228,0.8824,0.8855,290100.0,256883.55
2000-02-29 00:00:00,0.8855,0.8886,0.8762,0.8855,182850.0,161913.675
2000-03-01 00:00:00,0.9011,0.9011,0.8855,0.8855,303690.0,268917.495
2000-03-02 00:00:00,0.9011,0.9011,0.8855,0.898,170730.0,153315.54
2000-03-03 00:00:00,0.9011,0.9352,0.898,0.9166,611952.0,560915.2032
2000-03-06 00:00:00,0.9384,0.9477,0.9228,0.9321,596091.0,555616.4211
2000-03-07 00:00:00,0.9321,0.9321,0.8855,0.9011,334827.0,301712.60970000003
2000-03-08 00:00:00,0.8992,0.9011,0.8824,0.9011,460170.0,414659.18700000003
2000-03-09 00:00:00,0.8983,0.8983,0.87,0.8824,617550.0,544926.12
2000-03-10 00:00:00,0.884,0.8917,0.87,0.8731,252750.0,220676.025
2000-03-13 00:00:00,0.8747,0.8917,0.8731,0.8855,220734.0,195459.957
2000-03-14 00:00:00,0.8855,0.9321,0.8855,0.9321,470511.0,438563.3031
2000-03-15 00:00:00,0.9132,0.9632,0.9011,0.9259,907779.0,840512.5761
2000-03-16 00:00:00,0.9259,0.9259,0.9011,0.9228,244620.0,225735.33599999998
2000-03-17 00:00:00,0.9259,0.9259,0.898,0.898,176100.0,158137.80000000002
