security,name,file,status,rows
29M AT Equity,29Metals Ltd,29M-AT-Equity.csv,too_short,0
360 AT Equity,Life360 Inc,360-AT-Equity.csv,downloaded,417
3DA AT Equity,Amaero Ltd,3DA-AT-Equity.csv,downloaded,269
4DX AT Equity,4DMedical Ltd,4DX-AT-Equity.csv,downloaded,103
A1M AT Equity,AIC Mines Ltd,A1M-AT-Equity.csv,downloaded,4607
A2M AT Equity,a2 Milk Co Ltd/The,A2M-AT-Equity.csv,downloaded,1457
A4N AT Equity,Alpha HPA Ltd,A4N-AT-Equity.csv,downloaded,2012
AAC AT Equity,Australian Agricultural Co Ltd,AAC-AT-Equity.csv,downloaded,4899
AAI AT Equity,Alcoa Corp,AAI-AT-Equity.csv,too_short,0
AAR AT Equity,Astral Resources NL,AAR-AT-Equity.csv,downloaded,4261
ABB AT Equity,Aussie Broadband Ltd,ABB-AT-Equity.csv,downloaded,53
ABG AT Equity,Abacus Group,ABG-AT-Equity.csv,downloaded,4575
ACE AT Equity,Acusensus Ltd,ACE-AT-Equity.csv,too_short,0
ACF AT Equity,Acrow Ltd,ACF-AT-Equity.csv,downloaded,1734
ACL AT Equity,Australian Clinical Labs Ltd,ACL-AT-Equity.csv,too_short,0
AD8 AT Equity,Audinate Group Ltd,AD8-AT-Equity.csv,downloaded,868
ADH AT Equity,Adairs Ltd,ADH-AT-Equity.csv,downloaded,1406
AEF AT Equity,Australian Ethical Investment,AEF-AT-Equity.csv,downloaded,2776
AEL AT Equity,Amplitude Energy Ltd,AEL-AT-Equity.csv,downloaded,4688
AFG AT Equity,Australian Finance Group Ltd,AFG-AT-Equity.csv,downloaded,1400
AGI AT Equity,Ainsworth Game Technology Ltd,AGI-AT-Equity.csv,downloaded,4628
AGL AT Equity,AGL Energy Ltd,AGL-AT-Equity.csv,downloaded,3589
AIA AT Equity,Auckland International Airport,AIA-AT-Equity.csv,downloaded,4367
AIH AT Equity,Advanced Innergy Holdings Ltd,AIH-AT-Equity.csv,too_short,0
AIS AT Equity,Aeris Resources Ltd,AIS-AT-Equity.csv,downloaded,2219
ALD AT Equity,Ampol Ltd,ALD-AT-Equity.csv,downloaded,5315
ALK AT Equity,Alkane Resources Ltd,ALK-AT-Equity.csv,downloaded,5232
