timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,10.52,10.52,10.13,10.32,25175.0,259806.0
2000-01-04 00:00:00,10.52,10.52,9.93,10.42,6750.0,70335.0
2000-01-05 00:00:00,10.22,10.42,9.78,9.98,7250.0,72355.0
2000-01-06 00:00:00,10.13,10.37,9.75,9.79,20750.0,203142.49999999997
2000-01-07 00:00:00,9.53,10.32,9.13,9.57,21500.0,205755.0
2000-01-10 00:00:00,10.29,10.29,9.73,10.15,28500.0,289275.0
2000-01-11 00:00:00,9.93,9.93,9.73,9.73,5250.0,51082.5
2000-01-12 00:00:00,9.04,9.73,9.03,9.37,12750.0,119467.49999999999
2000-01-13 00:00:00,9.33,9.33,9.33,9.33,4500.0,41985.0
2000-01-14 00:00:00,9.03,9.16,8.88,9.04,7500.0,67800.0
2000-01-17 00:00:00,9.53,9.63,9.53,9.63,3000.0,28890.000000000004
2000-01-18 00:00:00,9.6,9.6,9.6,9.6,500.0,4800.0
2000-01-19 00:00:00,9.28,9.81,9.28,9.53,2250.0,21442.5
2000-01-20 00:00:00,9.53,9.53,9.15,9.38,6250.0,58625.00000000001
2000-01-21 00:00:00,9.53,9.63,9.33,9.61,5250.0,50452.5
2000-01-24 00:00:00,9.33,9.71,8.93,8.93,11300.0,100909.0
2000-01-25 00:00:00,8.23,9.63,8.23,9.15,15000.0,137250.0
2000-01-27 00:00:00,8.94,9.01,8.44,8.6,15300.0,131580.0
2000-01-28 00:00:00,8.34,8.34,8.01,8.2,15250.0,125049.99999999999
2000-01-31 00:00:00,7.64,7.92,7.59,7.59,34250.0,259957.5
2000-02-01 00:00:00,7.54,7.74,7.25,7.35,25750.0,189262.5
2000-02-02 00:00:00,7.35,7.93,7.35,7.55,15250.0,115137.5
2000-02-03 00:00:00,7.35,7.74,7.35,7.48,9425.0,70499.0
2000-02-04 00:00:00,7.68,7.69,6.95,7.61,27000.0,205470.0
2000-02-07 00:00:00,7.35,7.74,7.15,7.48,14750.0,110330.0
2000-02-08 00:00:00,7.49,7.63,7.35,7.55,5500.0,41525.0
2000-02-09 00:00:00,7.3,7.48,7.27,7.35,2500.0,18375.0
2000-02-10 00:00:00,7.19,7.54,7.18,7.18,11000.0,78980.0
2000-02-11 00:00:00,7.54,7.54,7.1,7.25,4750.0,34437.5
2000-02-14 00:00:00,6.97,6.97,6.95,6.95,2000.0,13900.0
2000-02-15 00:00:00,6.61,6.85,6.56,6.72,11750.0,78960.0
2000-02-16 00:00:00,6.65,6.8,6.65,6.74,8000.0,53920.0
2000-02-17 00:00:00,7.27,7.28,6.75,6.91,35945.0,248379.95
2000-02-18 00:00:00,7.15,7.46,7.15,7.3,22250.0,162425.0
2000-02-21 00:00:00,7.35,7.72,7.35,7.43,12000.0,89160.0
2000-02-22 00:00:00,7.64,7.84,7.08,7.57,16500.0,124905.0
2000-02-23 00:00:00,7.28,7.35,7.1,7.35,4750.0,34912.5
2000-02-24 00:00:00,6.95,7.35,6.95,7.22,7500.0,54150.0
2000-02-25 00:00:00,7.24,7.24,6.72,6.99,10250.0,71647.5
