timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,1.14,1.2,1.05,1.18,95496.0,112685.28
2000-01-04 00:00:00,1.11,1.19,1.08,1.13,71997.0,81356.60999999999
2000-01-05 00:00:00,1.05,1.06,1.05,1.05,17249.0,18111.45
2000-01-06 00:00:00,1.01,1.08,1.0,1.05,56664.0,59497.200000000004
2000-01-07 00:00:00,1.02,1.04,0.91,1.0,69164.0,69164.0
2000-01-10 00:00:00,0.99,1.07,0.99,1.01,32499.0,32823.99
2000-01-11 00:00:00,1.01,1.02,0.98,1.02,21666.0,22099.32
2000-01-12 00:00:00,0.99,1.02,0.94,0.94,62498.0,58748.119999999995
2000-01-13 00:00:00,0.93,1.0,0.9,0.96,60164.0,57757.439999999995
2000-01-14 00:00:00,0.96,0.97,0.94,0.97,16666.0,16166.02
2000-01-17 00:00:00,0.93,0.95,0.93,0.93,14166.0,13174.380000000001
2000-01-18 00:00:00,0.95,0.98,0.95,0.98,23332.0,22865.36
2000-01-19 00:00:00,0.93,0.98,0.93,0.98,10833.0,10616.34
2000-01-20 00:00:00,1.01,1.01,0.9,0.93,29999.0,27899.07
2000-01-21 00:00:00,0.93,0.96,0.91,0.94,19999.0,18799.059999999998
2000-01-24 00:00:00,0.99,0.99,0.87,0.91,23332.0,21232.12
2000-01-25 00:00:00,0.88,0.9,0.88,0.9,2917.0,2625.3
2000-01-27 00:00:00,0.89,0.95,0.86,0.93,47498.0,44173.14
2000-01-28 00:00:00,0.86,0.9,0.86,0.89,19166.0,17057.74
2000-01-31 00:00:00,0.85,0.85,0.84,0.85,26666.0,22666.1
2000-02-01 00:00:00,0.8,0.88,0.8,0.88,50831.0,44731.28
2000-02-02 00:00:00,0.84,0.84,0.81,0.81,16666.0,13499.460000000001
2000-02-03 00:00:00,0.78,0.78,0.75,0.76,64164.0,48764.64
2000-02-04 00:00:00,0.76,0.78,0.73,0.78,52498.0,40948.44
2000-02-07 00:00:00,0.78,0.84,0.78,0.83,56448.0,46851.84
2000-02-08 00:00:00,0.9,0.9,0.83,0.9,53998.0,48598.200000000004
2000-02-09 00:00:00,0.97,0.97,0.89,0.92,74580.0,68613.6
2000-02-10 00:00:00,0.89,0.89,0.85,0.87,42915.0,37336.05
2000-02-11 00:00:00,0.92,0.92,0.81,0.84,19166.0,16099.439999999999
2000-02-14 00:00:00,0.78,0.84,0.78,0.79,21666.0,17116.14
2000-02-15 00:00:00,0.78,0.85,0.78,0.81,47998.0,38878.380000000005
2000-02-16 00:00:00,0.75,0.81,0.75,0.78,9166.0,7149.4800000000005
2000-02-17 00:00:00,0.75,0.81,0.75,0.77,46665.0,35932.05
2000-02-18 00:00:00,0.75,0.83,0.75,0.83,75830.0,62938.899999999994
2000-02-21 00:00:00,0.89,0.89,0.76,0.84,20833.0,17499.72
2000-02-22 00:00:00,0.82,0.83,0.81,0.81,21666.0,17549.460000000003
2000-02-23 00:00:00,0.8,0.8,0.75,0.75,38332.0,28749.0
2000-02-24 00:00:00,0.7,0.77,0.7,0.77,38332.0,29515.64
2000-02-25 00:00:00,0.73,0.74,0.72,0.74,28332.0,20965.68
2000-02-28 00:00:00,0.75,0.78,0.75,0.76,33332.0,25332.32
2000-02-29 00:00:00,0.78,0.81,0.76,0.77,98329.0,75713.33
2000-03-01 00:00:00,0.76,0.78,0.76,0.78,12833.0,10009.74
2000-03-02 00:00:00,0.76,0.78,0.72,0.72,37499.0,26999.28
2000-03-03 00:00:00,0.76,0.76,0.72,0.75,26666.0,19999.5
2000-03-06 00:00:00,0.72,0.72,0.69,0.69,55831.0,38523.39
2000-03-07 00:00:00,0.66,0.67,0.64,0.64,30832.0,19732.48
2000-03-08 00:00:00,0.68,0.68,0.6,0.6,44998.0,26998.8
2000-03-09 00:00:00,0.67,0.67,0.59,0.61,91663.0,55914.43
2000-03-10 00:00:00,0.65,0.65,0.58,0.58,24166.0,14016.279999999999
2000-03-13 00:00:00,0.56,0.6,0.54,0.57,41665.0,23749.05
2000-03-14 00:00:00,0.59,0.62,0.59,0.62,4167.0,2583.54
2000-03-15 00:00:00,0.65,0.67,0.64,0.67,54165.0,36290.55
2000-03-16 00:00:00,0.63,0.72,0.63,0.71,58331.0,41415.009999999995
2000-03-21 00:00:00,0.75,0.76,0.66,0.66,64164.0,42348.240000000005
2000-03-22 00:00:00,0.66,0.71,0.66,0.69,31665.0,21848.85
2000-03-23 00:00:00,0.69,0.72,0.64,0.71,165827.0,117737.17
2000-03-24 00:00:00,0.69,0.75,0.69,0.72,29999.0,21599.28
2000-03-27 00:00:00,0.68,0.77,0.68,0.74,21666.0,16032.84
2000-03-28 00:00:00,0.72,0.79,0.72,0.79,14999.0,11849.210000000001
2000-03-29 00:00:00,0.77,0.78,0.74,0.74,31665.0,23432.1
2000-03-30 00:00:00,0.75,0.75,0.71,0.72,15833.0,11399.76
2000-03-31 00:00:00,0.72,0.74,0.69,0.72,60831.0,43798.32
2000-04-03 00:00:00,0.68,0.72,0.67,0.72,9166.0,6599.5199999999995
2000-04-04 00:00:00,0.68,0.68,0.67,0.68,24999.0,16999.32
2000-04-05 00:00:00,0.67,0.71,0.67,0.67,6666.0,4466.22
2000-04-06 00:00:00,0.62,0.69,0.62,0.63,48331.0,30448.53
2000-04-07 00:00:00,0.6,0.68,0.6,0.66,17666.0,11659.560000000001
2000-04-10 00:00:00,0.62,0.69,0.62,0.66,17499.0,11549.34
2000-04-11 00:00:00,0.64,0.69,0.64,0.69,19166.0,13224.539999999999
2000-04-12 00:00:00,0.63,0.68,0.63,0.64,14166.0,9066.24
2000-04-13 00:00:00,0.61,0.66,0.61,0.65,9166.0,5957.900000000001
2000-04-17 00:00:00,0.63,0.63,0.61,0.62,5000.0,3100.0
