timestamps,open,high,low,close,volume,amount
2000-01-06 00:00:00,11.68,11.68,11.68,11.68,4341.0,50702.88
2000-01-07 00:00:00,11.98,11.98,11.86,11.86,34730.0,411897.8
2000-01-10 00:00:00,12.6,12.6,12.6,12.6,4341.0,54696.6
2000-01-11 00:00:00,12.21,12.21,12.21,12.21,4341.0,53003.61
2000-01-12 00:00:00,12.0,12.62,12.0,12.62,8683.0,109579.45999999999
2000-01-13 00:00:00,11.98,11.98,11.98,11.98,4341.0,52005.18
2000-01-14 00:00:00,11.98,12.0,11.98,11.98,17365.0,208032.7
2000-01-17 00:00:00,12.32,12.32,12.32,12.32,43413.0,534848.16
2000-01-19 00:00:00,11.98,11.98,11.98,11.98,13024.0,156027.52000000002
2000-01-20 00:00:00,12.09,12.09,12.09,12.09,4341.0,52482.69
2000-01-21 00:00:00,12.44,12.44,12.12,12.12,26048.0,315701.75999999995
2000-01-24 00:00:00,11.98,11.98,11.98,11.98,4341.0,52005.18
2000-01-25 00:00:00,11.98,11.98,11.98,11.98,4341.0,52005.18
2000-01-28 00:00:00,12.6,12.6,12.6,12.6,4341.0,54696.6
2000-02-01 00:00:00,12.67,12.67,12.67,12.67,13024.0,165014.08
2000-02-02 00:00:00,13.67,13.67,13.67,13.67,4341.0,59341.47
2000-02-03 00:00:00,14.63,14.75,13.82,13.82,17365.0,239984.30000000002
2000-02-04 00:00:00,14.93,14.93,14.93,14.93,4341.0,64811.13
2000-02-07 00:00:00,15.55,15.55,14.4,14.4,13024.0,187545.6
2000-02-15 00:00:00,13.29,13.29,13.29,13.29,4341.0,57691.89
2000-02-18 00:00:00,12.23,12.23,12.23,12.23,8683.0,106193.09
2000-02-21 00:00:00,11.52,11.52,11.52,11.52,4341.0,50008.32
2000-02-22 00:00:00,11.52,11.54,11.52,11.54,8683.0,100201.81999999999
2000-02-23 00:00:00,11.52,11.52,11.52,11.52,4341.0,50008.32
2000-02-24 00:00:00,11.52,11.52,11.52,11.52,4341.0,50008.32
2000-02-25 00:00:00,11.52,11.63,11.52,11.52,17365.0,200044.8
2000-02-28 00:00:00,11.52,11.52,11.52,11.52,13024.0,150036.47999999998
2000-03-02 00:00:00,11.23,11.23,11.23,11.23,4341.0,48749.43
2000-03-03 00:00:00,11.17,11.17,11.08,11.08,13024.0,144305.92
2000-03-06 00:00:00,11.86,11.86,11.86,11.86,4341.0,51484.259999999995
2000-03-07 00:00:00,11.86,11.86,11.21,11.21,8683.0,97336.43000000001
2000-03-08 00:00:00,10.43,10.48,10.43,10.48,8683.0,90997.84
2000-03-09 00:00:00,10.37,10.37,10.37,10.37,4341.0,45016.17
2000-03-10 00:00:00,10.94,10.94,10.94,10.94,43413.0,474938.22
2000-03-13 00:00:00,8.98,8.98,8.98,8.98,4341.0,38982.18
