timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,123.15,128.91,122.17,127.3,81799.0,10413012.7
2000-01-04 00:00:00,127.1,128.52,123.19,125.98,42194.0,5315600.12
2000-01-05 00:00:00,121.78,125.44,121.29,122.41,26395.0,3231011.9499999997
2000-01-06 00:00:00,123.15,130.48,121.92,125.98,62193.0,7835074.140000001
2000-01-07 00:00:00,125.83,129.01,122.41,124.12,66710.0,8280045.2
2000-01-10 00:00:00,125.1,133.8,125.1,130.96,54048.0,7078126.08
2000-01-11 00:00:00,132.92,139.66,129.01,130.96,49167.0,6438910.32
2000-01-12 00:00:00,132.63,133.9,130.23,131.45,25073.0,3295845.8499999996
2000-01-13 00:00:00,132.77,132.77,128.03,129.21,34850.0,4502968.5
2000-01-14 00:00:00,127.54,128.28,125.39,126.08,39363.0,4962887.04
2000-01-17 00:00:00,129.01,130.87,126.62,128.33,18630.0,2390787.9000000004
2000-01-18 00:00:00,127.54,128.91,125.83,126.57,12257.0,1551368.49
2000-01-19 00:00:00,127.06,128.91,125.2,126.08,20502.0,2584892.16
2000-01-20 00:00:00,128.03,128.03,123.24,124.27,23420.0,2910403.4
2000-01-21 00:00:00,123.88,124.12,118.26,119.38,56524.0,6747835.12
2000-01-24 00:00:00,121.68,124.12,116.6,117.28,41055.0,4814930.4
2000-01-25 00:00:00,115.62,118.89,115.33,117.33,24086.0,2826010.38
2000-01-27 00:00:00,119.24,120.12,113.37,114.35,22415.0,2563155.25
2000-01-28 00:00:00,113.37,114.35,108.49,109.46,53845.0,5893873.699999999
2000-01-31 00:00:00,111.12,116.3,105.65,115.33,59566.0,6869746.78
2000-02-01 00:00:00,117.28,124.51,117.28,124.51,105378.0,13120614.780000001
2000-02-02 00:00:00,125.1,132.82,125.1,129.79,121139.0,15722630.809999999
2000-02-03 00:00:00,129.94,130.96,122.17,123.93,61740.0,7651438.2
2000-02-04 00:00:00,124.12,124.12,115.43,116.3,61176.0,7114768.8
2000-02-07 00:00:00,118.01,120.17,116.3,117.28,33040.0,3874931.2
2000-02-08 00:00:00,118.65,118.75,113.37,114.35,54211.0,6199027.85
2000-02-09 00:00:00,114.84,117.14,112.4,114.15,17820.0,2034153.0
2000-02-10 00:00:00,112.59,115.33,112.4,115.33,13533.0,1560760.89
2000-02-11 00:00:00,113.42,115.33,110.73,112.4,32795.0,3686158.0
2000-02-14 00:00:00,112.79,115.23,110.44,111.71,14491.0,1618789.6099999999
2000-02-15 00:00:00,112.49,112.49,109.07,109.9,47637.0,5235306.3
2000-02-16 00:00:00,113.08,113.08,107.51,108.05,33003.0,3565974.15
2000-02-17 00:00:00,107.41,110.44,106.53,108.93,22871.0,2491338.0300000003
2000-02-18 00:00:00,109.95,109.95,105.55,106.53,27022.0,2878653.66
2000-02-21 00:00:00,109.46,109.46,105.55,106.53,37159.0,3958548.27
2000-02-22 00:00:00,107.51,108.49,102.67,105.31,13854.0,1458964.74
2000-02-23 00:00:00,104.58,104.58,99.69,101.64,26650.0,2708706.0
2000-02-24 00:00:00,102.52,102.52,96.76,97.78,21653.0,2117230.34
2000-02-25 00:00:00,96.76,97.64,94.41,95.29,37114.0,3536593.06
2000-02-28 00:00:00,96.02,99.59,95.78,95.78,23741.0,2273912.98
2000-02-29 00:00:00,97.49,99.69,92.85,94.8,26578.0,2519594.4
2000-03-01 00:00:00,95.78,102.38,95.78,102.38,33671.0,3447236.98
2000-03-02 00:00:00,105.55,110.54,95.78,96.76,55588.0,5378694.88
2000-03-03 00:00:00,97.54,97.54,89.04,89.92,80500.0,7238560.0
2000-03-06 00:00:00,94.71,94.71,87.96,90.89,18119.0,1646835.91
2000-03-07 00:00:00,89.43,91.38,86.98,86.98,15794.0,1373762.12
2000-03-08 00:00:00,92.85,93.92,83.07,88.45,24949.0,2206739.0500000003
2000-03-09 00:00:00,89.92,90.8,86.5,88.01,23707.0,2086453.07
2000-03-10 00:00:00,88.94,88.94,82.59,84.93,47809.0,4060418.37
2000-03-13 00:00:00,87.77,87.96,84.05,86.98,21336.0,1855805.28
2000-03-14 00:00:00,86.98,93.92,86.98,93.83,30973.0,2906196.59
2000-03-15 00:00:00,96.66,101.3,94.31,97.83,45024.0,4404697.92
2000-03-16 00:00:00,96.86,99.3,92.85,95.78,45899.0,4396206.22
2000-03-21 00:00:00,97.0,103.4,94.8,103.4,32639.0,3374872.6
2000-03-22 00:00:00,105.36,111.42,105.36,109.51,53222.0,5828341.220000001
2000-03-23 00:00:00,107.31,111.17,101.64,103.45,22264.0,2303210.8000000003
2000-03-24 00:00:00,101.89,101.89,95.78,100.67,48988.0,4931621.96
2000-03-27 00:00:00,105.55,108.39,103.4,103.4,14800.0,1530320.0
2000-03-28 00:00:00,102.62,104.58,99.25,104.58,18395.0,1923749.0999999999
2000-03-29 00:00:00,106.53,107.41,103.6,105.16,11399.0,1198718.8399999999
2000-03-30 00:00:00,103.6,105.55,101.89,105.55,11725.0,1237573.75
2000-03-31 00:00:00,101.74,107.41,101.74,105.55,26164.0,2761610.1999999997
2000-04-03 00:00:00,107.61,113.96,107.51,113.96,39772.0,4532417.12
2000-04-04 00:00:00,116.7,123.05,107.66,123.05,121392.0,14937285.6
2000-04-05 00:00:00,124.12,124.12,113.47,115.33,56368.0,6500921.4399999995
2000-04-06 00:00:00,118.26,118.26,107.51,112.44,29325.0,3297303.0
2000-04-07 00:00:00,114.59,115.67,111.52,113.37,72100.0,8173977.0
2000-04-10 00:00:00,112.4,114.25,109.61,110.25,40705.0,4487726.25
2000-04-11 00:00:00,108.34,109.46,106.14,107.17,8175.0,876114.75
2000-04-12 00:00:00,105.55,106.97,103.6,104.09,13448.0,1399802.32
2000-04-13 00:00:00,99.79,103.11,95.78,101.64,19205.0,1951996.2
2000-04-17 00:00:00,94.8,103.6,94.8,102.38,8543.0,874632.34
2000-04-18 00:00:00,102.62,105.55,101.64,101.69,8326.0,846670.94
2000-04-19 00:00:00,101.64,101.94,97.73,97.88,8820.0,863301.6
2000-04-20 00:00:00,96.02,98.66,93.87,96.76,15219.0,1472590.4400000002
2000-04-24 00:00:00,99.05,99.05,92.95,93.04,6418.0,597130.7200000001
2000-04-25 00:00:00,89.43,92.65,86.01,87.96,20127.0,1770370.92
2000-04-26 00:00:00,90.7,92.95,88.21,92.36,14677.0,1355567.72
2000-04-27 00:00:00,90.89,91.87,88.45,88.45,7127.0,630383.15
2000-04-28 00:00:00,89.92,89.92,85.96,87.03,38110.0,3316713.3
2000-05-02 00:00:00,87.18,87.18,84.35,85.08,10449.0,889000.9199999999
2000-05-03 00:00:00,81.12,86.01,81.12,85.03,9057.0,770116.71
2000-05-04 00:00:00,86.25,88.35,85.03,85.52,11370.0,972362.3999999999
2000-05-05 00:00:00,84.54,89.38,84.2,89.28,14622.0,1305452.16
2000-05-08 00:00:00,87.96,91.38,87.96,88.94,5199.0,462399.06
2000-05-09 00:00:00,88.06,89.67,87.96,88.45,3895.0,344512.75
2000-05-10 00:00:00,88.94,88.94,86.98,88.35,7084.0,625871.3999999999
2000-05-11 00:00:00,85.08,86.01,81.61,81.61,26169.0,2135652.09
2000-05-12 00:00:00,81.41,81.61,76.23,76.23,39371.0,3001251.33
2000-05-15 00:00:00,76.23,81.02,73.3,80.97,84186.0,6816540.42
2000-05-16 00:00:00,81.61,81.8,78.19,80.09,6404.0,512896.36000000004
2000-05-17 00:00:00,79.26,81.36,79.26,79.9,5940.0,474606.00000000006
2000-05-18 00:00:00,80.14,80.14,77.26,78.87,9073.0,715587.51
2000-05-19 00:00:00,78.68,79.65,77.6,77.75,15151.0,1177990.25
2000-05-22 00:00:00,78.19,80.14,78.19,79.65,15050.0,1198732.5
2000-05-23 00:00:00,80.09,80.09,78.19,79.95,7405.0,592029.75
2000-05-24 00:00:00,78.68,83.12,78.68,83.03,8422.0,699278.66
2000-05-25 00:00:00,84.0,84.44,83.07,83.47,8519.0,711080.9299999999
2000-05-26 00:00:00,84.0,88.45,81.61,86.5,20051.0,1734411.5
2000-05-29 00:00:00,87.96,93.29,87.96,91.38,18041.0,1648586.5799999998
2000-05-30 00:00:00,92.85,97.54,92.75,96.27,25190.0,2425041.3
2000-05-31 00:00:00,97.73,99.69,92.95,93.83,21036.0,1973807.88
2000-06-01 00:00:00,92.85,92.85,89.92,90.4,7838.0,708555.2000000001
2000-06-02 00:00:00,90.89,91.58,87.96,89.87,13701.0,1231308.87
2000-06-05 00:00:00,93.83,93.83,88.94,90.01,11439.0,1029624.39
2000-06-06 00:00:00,90.4,90.4,88.21,88.99,5208.0,463459.92
2000-06-07 00:00:00,88.94,90.89,88.06,89.43,10502.0,939193.8600000001
2000-06-08 00:00:00,90.84,90.89,89.18,90.16,8234.0,742377.44
2000-06-09 00:00:00,90.84,91.77,89.13,90.06,20381.0,1835512.86
2000-06-12 00:00:00,93.83,94.8,90.99,94.31,23307.0,2198083.17
2000-06-13 00:00:00,94.27,94.8,91.87,93.68,13613.0,1275265.84
2000-06-14 00:00:00,94.07,94.71,92.31,92.8,4620.0,428736.0
2000-06-15 00:00:00,91.97,93.34,90.5,91.14,5337.0,486414.18
2000-06-16 00:00:00,90.45,91.87,90.31,90.89,15133.0,1375438.37
2000-06-19 00:00:00,93.83,93.83,90.89,90.94,33421.0,3039305.7399999998
2000-06-20 00:00:00,91.87,94.8,91.43,94.27,34896.0,3289645.92
2000-06-21 00:00:00,95.24,96.27,93.09,93.68,30304.0,2838878.72
2000-06-22 00:00:00,93.83,93.83,92.6,93.24,8952.0,834684.48
2000-06-23 00:00:00,92.65,92.85,89.92,90.01,21712.0,1954297.12
2000-06-26 00:00:00,89.04,91.82,89.04,91.24,14090.0,1285571.5999999999
2000-06-27 00:00:00,91.82,92.26,90.89,91.53,5826.0,533253.78
2000-06-28 00:00:00,90.89,91.58,90.06,90.11,1850.0,166703.5
2000-06-29 00:00:00,90.06,92.36,89.97,91.72,10440.0,957556.7999999999
2000-06-30 00:00:00,90.65,91.87,90.4,90.45,13656.0,1235185.2
2000-07-03 00:00:00,92.85,92.85,90.89,91.68,7984.0,731973.1200000001
2000-07-04 00:00:00,91.14,94.8,91.14,94.22,26352.0,2482885.44
