timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,11.99,11.99,11.99,11.99,1526.0,18296.74
2000-01-04 00:00:00,12.95,12.95,12.62,12.95,285340.0,3695153.0
2000-01-05 00:00:00,12.78,13.56,12.53,12.7,140890.0,1789303.0
2000-01-06 00:00:00,12.75,13.05,12.68,12.78,47302.0,604519.5599999999
2000-01-07 00:00:00,12.3,12.58,11.77,11.9,82398.0,980536.2000000001
2000-01-10 00:00:00,11.8,12.09,11.8,11.8,27466.0,324098.80000000005
2000-01-11 00:00:00,11.6,11.6,11.11,11.11,13733.0,152573.63
2000-01-12 00:00:00,11.6,11.61,11.3,11.5,9155.0,105282.5
2000-01-13 00:00:00,11.6,11.99,11.3,11.81,124614.0,1471691.34
2000-01-14 00:00:00,11.6,11.8,11.22,11.54,86467.0,997829.1799999999
2000-01-17 00:00:00,11.8,11.8,11.8,11.8,2035.0,24013.0
2000-01-18 00:00:00,11.32,11.75,11.31,11.65,11698.0,136281.7
2000-01-19 00:00:00,11.6,11.7,11.6,11.6,21871.0,253703.6
2000-01-20 00:00:00,11.55,11.55,11.3,11.36,18311.0,208012.96
2000-01-21 00:00:00,11.36,11.36,11.06,11.3,9155.0,103451.5
2000-01-24 00:00:00,11.55,11.55,11.01,11.33,19328.0,218986.24
2000-01-25 00:00:00,11.01,11.21,10.81,10.99,22583.0,248187.17
2000-01-27 00:00:00,10.81,10.81,10.8,10.81,51880.0,560822.8
2000-01-28 00:00:00,10.81,10.81,10.53,10.55,11698.0,123413.90000000001
2000-01-31 00:00:00,10.03,10.13,9.83,9.83,44759.0,439980.97000000003
2000-02-01 00:00:00,9.83,10.17,9.44,10.14,10681.0,108305.34000000001
2000-02-02 00:00:00,9.83,10.03,9.64,9.83,8647.0,85000.01
2000-02-03 00:00:00,9.73,9.83,9.64,9.73,85958.0,836371.3400000001
2000-02-04 00:00:00,9.83,9.83,9.39,9.54,16276.0,155273.03999999998
2000-02-07 00:00:00,9.34,9.93,8.95,9.01,141398.0,1273995.98
2000-02-08 00:00:00,8.86,8.95,8.85,8.86,22888.0,202787.68
2000-02-09 00:00:00,9.56,9.56,9.56,9.56,2543.0,24311.08
2000-02-10 00:00:00,10.32,10.32,10.13,10.32,63070.0,650882.4
2000-02-11 00:00:00,10.32,11.11,10.32,11.06,63070.0,697554.2000000001
2000-02-14 00:00:00,10.81,10.81,10.18,10.18,7629.0,77663.22
2000-02-15 00:00:00,9.54,9.63,9.37,9.37,17802.0,166804.74
2000-02-16 00:00:00,9.34,9.83,8.62,8.85,76396.0,676104.6
2000-02-17 00:00:00,8.55,9.04,8.53,8.85,117035.0,1035759.75
2000-02-18 00:00:00,9.1,9.55,9.1,9.53,80363.0,765859.3899999999
2000-02-21 00:00:00,9.63,9.63,9.24,9.31,57983.0,539821.73
2000-02-22 00:00:00,9.63,9.63,8.95,9.29,22380.0,207910.19999999998
2000-02-23 00:00:00,9.34,9.34,8.85,8.85,1526.0,13505.1
2000-02-24 00:00:00,9.04,9.04,8.7,8.81,16785.0,147875.85
2000-02-25 00:00:00,9.34,9.34,8.76,9.14,43233.0,395149.62000000005
2000-02-28 00:00:00,9.62,9.62,9.07,9.2,11698.0,107621.59999999999
2000-02-29 00:00:00,9.61,9.63,9.24,9.27,23905.0,221599.34999999998
2000-03-01 00:00:00,8.85,8.85,8.55,8.55,10173.0,86979.15000000001
2000-03-02 00:00:00,8.65,8.65,8.28,8.6,14750.0,126850.0
2000-03-03 00:00:00,8.36,8.65,8.06,8.16,14242.0,116214.72
2000-03-06 00:00:00,8.26,8.81,8.26,8.81,6612.0,58251.72
2000-03-07 00:00:00,8.85,8.85,8.4,8.4,3052.0,25636.8
2000-03-08 00:00:00,8.7,8.7,7.96,8.01,8138.0,65185.38
2000-03-09 00:00:00,7.88,7.96,7.86,7.86,47302.0,371793.72000000003
2000-03-10 00:00:00,7.78,7.95,7.48,7.67,24414.0,187255.38
2000-03-13 00:00:00,8.4,8.4,8.01,8.01,3052.0,24446.52
2000-03-14 00:00:00,8.01,8.01,8.01,8.01,30518.0,244449.18
2000-03-15 00:00:00,8.55,8.65,8.38,8.65,20091.0,173787.15
2000-03-16 00:00:00,8.5,8.55,8.46,8.55,7629.0,65227.950000000004
2000-03-21 00:00:00,8.36,8.36,8.06,8.16,8647.0,70559.52
2000-03-22 00:00:00,8.36,8.36,7.86,7.86,3560.0,27981.600000000002
2000-03-23 00:00:00,7.91,7.99,7.91,7.99,122070.0,975339.3
2000-03-24 00:00:00,7.94,8.11,7.91,8.06,8647.0,69694.82
2000-03-27 00:00:00,8.55,8.55,7.91,7.91,295004.0,2333481.64
2000-03-29 00:00:00,8.21,8.21,8.21,8.21,20345.0,167032.45
2000-03-30 00:00:00,8.05,8.05,8.05,8.05,509.0,4097.450000000001
2000-03-31 00:00:00,8.11,8.36,7.84,8.17,51778.0,423026.26
2000-04-04 00:00:00,8.16,8.25,7.86,8.24,7121.0,58677.04
2000-04-05 00:00:00,7.87,8.55,7.86,8.55,4069.0,34789.950000000004
2000-04-06 00:00:00,7.87,8.06,7.87,7.87,2035.0,16015.45
2000-04-07 00:00:00,7.91,8.36,7.91,8.31,26957.0,224012.67
2000-04-10 00:00:00,8.55,8.86,8.45,8.85,39286.0,347681.1
2000-04-11 00:00:00,8.55,8.95,8.55,8.85,20589.0,182212.65
2000-04-12 00:00:00,9.04,9.24,8.87,9.02,46285.0,417490.69999999995
2000-04-13 00:00:00,8.95,9.17,8.85,9.12,28687.0,261625.43999999997
2000-04-17 00:00:00,8.95,8.95,8.85,8.85,1526.0,13505.1
2000-04-20 00:00:00,8.85,8.85,8.36,8.36,10193.0,85213.48
2000-04-25 00:00:00,8.29,8.29,7.72,8.29,20854.0,172879.65999999997
2000-04-28 00:00:00,8.13,8.16,8.13,8.16,2543.0,20750.88
2000-05-02 00:00:00,7.52,7.67,7.51,7.52,13835.0,104039.2
2000-05-03 00:00:00,7.52,7.67,7.52,7.67,5086.0,39009.62
2000-05-04 00:00:00,7.58,7.58,7.58,7.58,2035.0,15425.3
2000-05-05 00:00:00,7.67,8.06,7.37,8.06,5595.0,45095.700000000004
2000-05-08 00:00:00,8.16,8.16,7.97,7.97,8341.0,66477.77
2000-05-09 00:00:00,8.08,8.08,7.86,8.06,2543.0,20496.58
2000-05-10 00:00:00,8.06,8.11,7.97,8.01,20437.0,163700.37
2000-05-11 00:00:00,7.96,8.06,7.96,7.96,6663.0,53037.48
2000-05-12 00:00:00,7.86,8.05,7.72,8.05,6124.0,49298.200000000004
