timestamps,open,high,low,close,volume,amount
2020-10-01 00:00:00,302.91,309.3,260.65,279.69,65903715.0,18432610048.35
2020-10-05 00:00:00,283.66,291.14,274.78,279.6,2975505.0,831951198.0000001
2020-10-06 00:00:00,281.06,287.35,279.57,283.17,1381295.0,391141305.15000004
2020-10-07 00:00:00,283.36,284.35,270.55,275.49,747625.0,205963211.25
2020-10-08 00:00:00,277.36,277.36,264.42,266.17,610895.0,162601922.15
2020-10-09 00:00:00,265.2,273.72,258.33,266.99,1128290.0,301242147.1
2020-10-12 00:00:00,266.8,269.09,260.41,261.29,424085.0,110809169.65
2020-10-13 00:00:00,259.81,265.0,258.41,261.34,433670.0,113335317.79999998
2020-10-14 00:00:00,260.61,270.1,260.42,268.54,449895.0,120814803.30000001
2020-10-15 00:00:00,268.59,271.39,265.03,265.62,303220.0,80541296.4
2020-10-16 00:00:00,265.8,269.2,265.3,267.55,115175.0,30815071.25
2020-10-19 00:00:00,268.39,269.23,265.4,267.52,73025.0,19535648.0
2020-10-20 00:00:00,267.08,268.38,265.4,266.49,84600.0,22545054.0
2020-10-21 00:00:00,266.8,270.19,266.02,266.82,125520.0,33491246.4
2020-10-22 00:00:00,267.38,268.55,263.6,264.94,136730.0,36225246.2
2020-10-23 00:00:00,266.6,274.35,265.12,269.61,265320.0,71532925.2
2020-10-26 00:00:00,269.79,269.79,264.54,267.99,55025.0,14746149.75
2020-10-27 00:00:00,267.99,268.33,265.0,266.44,104215.0,27767044.6
2020-10-28 00:00:00,267.59,267.59,259.01,262.89,241985.0,63615436.65
2020-10-29 00:00:00,259.81,262.4,258.81,259.33,64025.0,16603603.249999998
2020-10-30 00:00:00,262.2,263.44,258.22,259.0,78125.0,20234375.0
2020-11-02 00:00:00,259.0,263.2,257.43,259.1,105420.0,27314322.000000004
2020-11-03 00:00:00,259.25,261.24,251.61,252.61,118455.0,29922917.55
2020-11-04 00:00:00,251.63,256.87,251.43,252.59,140200.0,35413118.0
2020-11-05 00:00:00,254.42,258.58,253.43,257.24,94385.0,24279597.400000002
2020-11-06 00:00:00,258.41,258.81,255.06,255.44,54990.0,14046645.6
2020-11-09 00:00:00,256.22,258.93,255.06,258.11,108870.0,28100435.700000003
2020-11-10 00:00:00,258.22,259.34,255.45,257.53,34935.0,8996810.549999999
2020-11-11 00:00:00,258.41,259.41,254.42,256.33,111755.0,28646159.15
2020-11-12 00:00:00,256.46,263.39,256.46,260.48,99130.0,25821382.400000002
2020-11-13 00:00:00,259.41,262.05,259.21,259.53,45860.0,11902045.799999999
2020-11-14 00:00:00,262.41,262.41,259.99,261.68,19320.0,5055657.600000001
2020-11-17 00:00:00,261.68,272.87,261.68,270.81,281700.0,76287177.0
2020-11-18 00:00:00,271.43,274.5,269.8,270.55,102380.0,27698909.0
2020-11-19 00:00:00,267.79,275.98,267.79,274.71,86545.0,23774776.95
2020-11-20 00:00:00,272.38,279.16,272.38,277.13,627410.0,173874133.3
2020-11-23 00:00:00,277.37,291.31,277.37,289.08,217320.0,62822865.599999994
2020-11-24 00:00:00,293.14,293.77,283.8,286.81,64115.0,18388823.15
2020-11-25 00:00:00,286.95,299.12,285.03,294.88,264765.0,78073903.2
2020-11-26 00:00:00,296.73,297.33,290.52,294.38,63215.0,18609231.7
2020-11-27 00:00:00,295.33,295.42,286.77,288.17,53070.0,15293181.9
2020-12-01 00:00:00,289.34,293.46,286.74,289.36,45500.0,13165880.0
2020-12-02 00:00:00,289.36,293.14,287.42,290.73,47610.0,13841655.3
2020-12-03 00:00:00,290.73,293.14,287.62,288.41,19250.0,5551892.500000001
2020-12-04 00:00:00,289.34,293.34,287.76,291.92,56320.0,16440934.4
2020-12-07 00:00:00,291.92,295.33,286.89,290.82,56320.0,16378982.4
2020-12-08 00:00:00,289.54,295.13,289.34,291.77,78200.0,22816414.0
2020-12-09 00:00:00,292.52,296.33,291.74,293.21,728155.0,213502327.54999998
2020-12-10 00:00:00,293.21,304.31,290.84,300.75,244735.0,73604051.25
2020-12-11 00:00:00,301.54,304.3,293.97,298.53,102260.0,30527677.799999997
2020-12-14 00:00:00,304.31,305.71,297.33,301.22,64650.0,19473873.0
2020-12-15 00:00:00,301.27,302.91,298.15,301.37,39990.0,12051786.3
2020-12-16 00:00:00,301.97,306.71,298.73,301.25,125475.0,37799343.75
2020-12-17 00:00:00,302.25,305.31,300.32,301.03,79185.0,23837060.549999997
2020-12-18 00:00:00,301.82,324.21,298.52,319.46,528325.0,168778704.5
2020-12-21 00:00:00,322.87,349.67,320.78,336.49,1187975.0,399741707.75
2020-12-22 00:00:00,340.23,346.98,315.29,334.89,363085.0,121593535.64999999
2020-12-23 00:00:00,336.24,342.64,330.25,333.69,159490.0,53220218.1
2020-12-24 00:00:00,339.03,345.92,334.26,337.76,167925.0,56718348.0
2020-12-28 00:00:00,338.25,349.01,335.55,344.78,150625.0,51932487.49999999
2020-12-29 00:00:00,347.17,373.16,344.15,367.0,653815.0,239950105.0
2020-12-30 00:00:00,373.14,377.07,349.93,358.14,528310.0,189208943.4
2020-12-31 00:00:00,357.16,366.77,353.8,360.27,215490.0,77634582.3
