timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,0.35,0.35,0.35,0.35,3000.0,1050.0
2000-01-04 00:00:00,0.7,0.7,0.7,0.7,20000.0,14000.0
2000-01-07 00:00:00,0.74,0.74,0.74,0.74,5000.0,3700.0
2000-01-10 00:00:00,0.71,0.71,0.56,0.71,8000.0,5680.0
2000-01-11 00:00:00,0.64,0.64,0.64,0.64,1000.0,640.0
2000-01-12 00:00:00,0.65,0.65,0.65,0.65,1000.0,650.0
2000-01-13 00:00:00,0.56,0.56,0.55,0.55,4000.0,2200.0
2000-01-20 00:00:00,0.68,0.68,0.68,0.68,3000.0,2040.0000000000002
2000-01-21 00:00:00,0.52,0.68,0.52,0.52,25000.0,13000.0
2000-01-25 00:00:00,0.5,0.5,0.5,0.5,2000.0,1000.0
2000-02-03 00:00:00,0.5,0.5,0.5,0.5,10000.0,5000.0
2000-02-04 00:00:00,0.5,0.5,0.5,0.5,16000.0,8000.0
2000-02-07 00:00:00,0.5,0.5,0.5,0.5,18000.0,9000.0
2000-02-09 00:00:00,0.6,0.6,0.5,0.5,3000.0,1500.0
2000-02-10 00:00:00,0.48,0.48,0.48,0.48,5000.0,2400.0
2000-02-11 00:00:00,0.57,0.57,0.57,0.57,1000.0,570.0
2000-02-15 00:00:00,0.5,0.5,0.5,0.5,8000.0,4000.0
2000-02-16 00:00:00,0.5,0.5,0.5,0.5,5000.0,2500.0
2000-02-17 00:00:00,0.5,0.5,0.5,0.5,22000.0,11000.0
2000-02-22 00:00:00,0.42,0.45,0.42,0.45,13000.0,5850.0
2000-02-23 00:00:00,0.5,0.5,0.5,0.5,3000.0,1500.0
2000-02-25 00:00:00,0.5,0.5,0.5,0.5,1000.0,500.0
2000-02-29 00:00:00,0.58,0.58,0.58,0.58,1000.0,580.0
2000-03-06 00:00:00,0.45,0.45,0.45,0.45,4000.0,1800.0
2000-03-07 00:00:00,0.4,0.45,0.4,0.45,13000.0,5850.0
2000-03-08 00:00:00,0.34,0.45,0.34,0.44,11000.0,4840.0
2000-03-09 00:00:00,0.45,0.46,0.45,0.46,10000.0,4600.0
2000-03-22 00:00:00,0.45,0.45,0.45,0.45,15000.0,6750.0
2000-03-23 00:00:00,0.45,0.45,0.41,0.45,12000.0,5400.0
2000-04-06 00:00:00,0.56,0.56,0.56,0.56,1000.0,560.0
2000-04-07 00:00:00,0.67,0.67,0.67,0.67,8000.0,5360.0
2000-04-10 00:00:00,0.7,0.7,0.7,0.7,12000.0,8400.0
2000-04-11 00:00:00,0.65,0.65,0.65,0.65,9000.0,5850.0
2000-04-12 00:00:00,0.67,0.7,0.58,0.58,15000.0,8700.0
2000-04-13 00:00:00,0.69,0.69,0.61,0.61,36000.0,21960.0
2000-04-17 00:00:00,0.69,0.75,0.69,0.75,15000.0,11250.0
2000-04-18 00:00:00,0.75,0.75,0.75,0.75,1000.0,750.0
2000-04-19 00:00:00,0.71,0.71,0.71,0.71,2000.0,1420.0
2000-04-20 00:00:00,0.7,0.7,0.7,0.7,7000.0,4900.0
2000-04-24 00:00:00,0.6,0.65,0.6,0.65,20000.0,13000.0
2000-04-25 00:00:00,0.5,0.53,0.5,0.5,35000.0,17500.0
2000-04-28 00:00:00,0.6,0.6,0.6,0.6,3000.0,1800.0
2000-05-02 00:00:00,0.6,0.6,0.6,0.6,3000.0,1800.0
2000-05-05 00:00:00,0.55,0.55,0.55,0.55,3000.0,1650.0000000000002
2000-05-08 00:00:00,0.55,0.55,0.55,0.55,37000.0,20350.0
2000-05-10 00:00:00,0.59,0.59,0.59,0.59,1000.0,590.0
2000-05-11 00:00:00,0.5,0.59,0.5,0.59,35000.0,20650.0
2000-05-18 00:00:00,0.5,0.5,0.5,0.5,4000.0,2000.0
2000-05-19 00:00:00,0.6,0.61,0.6,0.6,2000.0,1200.0
2000-05-26 00:00:00,0.5,0.5,0.5,0.5,5000.0,2500.0
2000-06-01 00:00:00,0.58,0.58,0.58,0.58,4000.0,2320.0
2000-07-10 00:00:00,0.55,0.55,0.55,0.55,15000.0,8250.0
2000-07-17 00:00:00,0.55,0.55,0.55,0.55,10000.0,5500.0
2000-07-31 00:00:00,0.52,0.52,0.52,0.52,3000.0,1560.0
2000-08-02 00:00:00,0.5,0.5,0.5,0.5,4000.0,2000.0
2000-08-03 00:00:00,0.51,0.51,0.5,0.5,18000.0,9000.0
2000-08-07 00:00:00,0.42,0.45,0.42,0.45,4000.0,1800.0
