timestamps,open,high,low,close,volume,amount
2019-02-07 00:00:00,291.0,295.3,250.15,290.4,944983.0,274423063.2
2019-02-08 00:00:00,284.05,303.0,275.0,292.15,52586.0,15362999.899999999
2019-02-11 00:00:00,285.0,291.0,279.6,282.6,7528.0,2127412.8000000003
2019-02-12 00:00:00,282.0,284.8,275.0,282.2,14966.0,4223405.2
2019-02-13 00:00:00,276.1,288.3,276.1,284.1,13061.0,3710630.1
2019-02-14 00:00:00,283.1,288.0,283.1,287.1,5152.0,1479139.2000000002
2019-02-15 00:00:00,285.1,285.45,280.05,283.95,2702.0,767232.9
2019-02-18 00:00:00,283.55,285.05,273.05,279.75,957611.0,267891677.25
2019-02-19 00:00:00,279.75,282.0,275.65,279.2,4191.0,1170127.2
2019-02-20 00:00:00,280.0,282.3,275.0,278.1,807428.0,224545726.8
2019-02-21 00:00:00,276.05,280.75,275.0,275.8,3398.0,937168.4
2019-02-22 00:00:00,278.9,280.75,275.0,277.8,8210.0,2280738.0
2019-02-25 00:00:00,280.5,285.0,277.4,279.45,9162.0,2560320.9
2019-02-26 00:00:00,277.2,283.0,277.2,279.7,7198.0,2013280.5999999999
2019-02-27 00:00:00,282.15,282.15,275.25,276.3,1423.0,393174.9
2019-02-28 00:00:00,279.3,280.0,274.4,277.35,6626.0,1837721.1
2019-03-01 00:00:00,285.0,285.0,272.6,280.5,2093.0,587086.5
2019-03-05 00:00:00,274.0,289.0,271.0,281.15,3991.0,1122069.65
2019-03-06 00:00:00,280.5,281.0,277.4,280.0,4064.0,1137920.0
2019-03-07 00:00:00,282.9,290.0,279.95,281.3,22526.0,6336563.8
2019-03-08 00:00:00,282.55,294.3,279.0,282.9,40462.0,11446699.799999999
2019-03-11 00:00:00,285.9,320.8,284.4,301.75,261079.0,78780588.25
2019-03-12 00:00:00,305.95,317.0,303.0,311.4,9674.0,3012483.5999999996
2019-03-13 00:00:00,320.0,333.5,312.75,329.05,14254.0,4690278.7
2019-03-14 00:00:00,339.7,347.0,318.05,324.35,23478.0,7615089.300000001
2019-03-15 00:00:00,327.45,330.5,310.0,316.0,5510.0,1741160.0
2019-03-18 00:00:00,318.9,318.9,295.1,313.3,15356.0,4811034.8
2019-03-19 00:00:00,314.85,330.0,314.8,325.95,8795.0,2866730.25
2019-03-20 00:00:00,326.0,326.0,320.55,322.5,4188.0,1350630.0
2019-03-22 00:00:00,313.0,330.05,312.3,325.25,11667.0,3794691.75
2019-03-25 00:00:00,317.7,325.25,316.2,321.95,5826.0,1875680.7
2019-03-26 00:00:00,327.0,376.0,327.0,344.6,17314.0,5966404.4
2019-03-27 00:00:00,348.65,349.7,335.4,337.05,3703.0,1248096.1500000001
2019-03-28 00:00:00,342.15,346.2,330.2,339.85,5941.0,2019048.85
2019-03-29 00:00:00,339.0,341.35,335.0,337.8,755.0,255039.0
2019-04-01 00:00:00,326.0,352.8,325.0,339.9,2470.0,839553.0
2019-04-02 00:00:00,344.5,347.9,335.35,336.1,4035.0,1356163.5
2019-04-03 00:00:00,338.05,340.7,325.6,327.9,4227.0,1386033.2999999998
2019-04-04 00:00:00,330.0,335.2,325.0,328.85,2813.0,925055.05
2019-04-05 00:00:00,326.75,328.5,320.25,323.15,4324.0,1397300.5999999999
2019-04-08 00:00:00,324.8,327.2,320.05,322.5,1844.0,594690.0
2019-04-09 00:00:00,320.0,321.6,310.0,314.0,2118.0,665052.0
2019-04-10 00:00:00,316.4,328.05,316.4,324.35,1915.0,621130.25
2019-04-11 00:00:00,317.0,329.95,317.0,321.05,2739.0,879355.9500000001
2019-04-12 00:00:00,321.15,335.0,318.3,329.8,6644.0,2191191.2
2019-04-15 00:00:00,325.6,337.9,322.35,327.0,5609.0,1834143.0
2019-04-16 00:00:00,331.5,336.35,326.25,333.45,672.0,224078.4
2019-04-18 00:00:00,326.3,326.5,311.05,311.7,5993.0,1868018.0999999999
2019-04-22 00:00:00,311.55,315.8,302.1,308.85,1249.0,385753.65
2019-04-23 00:00:00,314.9,323.0,313.7,319.2,3809.0,1215832.8
2019-04-24 00:00:00,319.45,330.0,314.5,326.15,8547.0,2787604.05
2019-04-25 00:00:00,322.25,335.0,316.0,328.45,11307.0,3713784.15
