timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,113.97,119.23,113.18,119.23,1269475.0,151359504.25
2000-01-04 00:00:00,121.36,122.31,113.76,117.15,939400.0,110050710.0
2000-01-05 00:00:00,114.45,115.96,108.41,114.37,616988.0,70564917.56
2000-01-06 00:00:00,114.37,114.37,107.22,107.62,693113.0,74592821.06
2000-01-07 00:00:00,108.1,109.21,99.01,99.01,1476825.0,146220443.25
2000-01-10 00:00:00,100.0,106.03,94.91,95.31,1831450.0,174555499.5
2000-01-11 00:00:00,95.31,100.0,87.69,88.96,4395238.0,391000372.47999996
2000-01-12 00:00:00,91.18,96.07,89.83,96.07,683625.0,65675853.74999999
2000-01-13 00:00:00,103.75,103.75,100.48,103.25,2617600.0,270267200.0
2000-01-14 00:00:00,103.65,105.24,96.18,101.27,1661088.0,168218381.76
2000-01-17 00:00:00,105.79,107.14,99.92,100.68,1316975.0,132593043.00000001
2000-01-18 00:00:00,101.27,101.27,95.31,98.88,1062538.0,105063757.44
2000-01-19 00:00:00,97.69,97.69,90.98,95.7,2093113.0,200310914.1
2000-01-20 00:00:00,96.26,97.3,95.31,95.52,1021200.0,97545024.0
2000-01-21 00:00:00,94.59,95.71,93.32,94.57,1041488.0,98493520.16
2000-01-24 00:00:00,98.09,98.38,95.31,96.45,730575.0,70463958.75
2000-01-25 00:00:00,96.18,96.9,94.04,94.36,1269913.0,119828990.67999999
2000-01-27 00:00:00,95.31,96.0,93.32,94.36,555950.0,52459442.0
2000-01-28 00:00:00,93.72,94.91,92.61,93.32,1618163.0,151006971.16
2000-01-31 00:00:00,93.88,95.31,92.53,93.17,476638.0,44408362.46
2000-02-01 00:00:00,93.32,98.09,92.29,97.69,733563.0,71661769.47
2000-02-02 00:00:00,98.49,102.02,97.3,101.35,1467575.0,148738726.25
2000-02-03 00:00:00,101.97,102.77,98.65,98.81,610750.0,60348207.5
2000-02-04 00:00:00,98.49,98.88,94.59,96.2,908988.0,87444645.60000001
2000-02-07 00:00:00,96.58,100.07,96.5,97.7,779875.0,76193787.5
2000-02-08 00:00:00,99.76,99.76,95.31,97.3,735275.0,71542257.5
2000-02-09 00:00:00,97.53,98.48,96.14,96.26,531450.0,51157377.0
2000-02-10 00:00:00,96.26,96.9,93.72,95.31,839488.0,80011601.28
2000-02-11 00:00:00,96.02,97.3,91.34,91.5,1283600.0,117449400.0
2000-02-14 00:00:00,94.28,94.28,89.04,91.34,870975.0,79554856.5
2000-02-15 00:00:00,90.54,92.13,89.03,92.13,336388.0,30991426.439999998
2000-02-16 00:00:00,91.89,92.93,91.34,92.14,334188.0,30792082.32
2000-02-17 00:00:00,91.54,99.5,91.54,99.5,1653363.0,164509618.5
2000-02-18 00:00:00,101.27,103.07,93.64,93.94,1445925.0,135830194.5
2000-02-21 00:00:00,99.18,99.18,90.86,93.24,1525300.0,142218972.0
2000-02-22 00:00:00,93.64,94.52,91.34,92.33,589450.0,54423918.5
2000-02-23 00:00:00,93.32,94.04,87.37,87.37,674888.0,58964964.56
2000-02-24 00:00:00,88.56,92.61,88.16,91.18,919563.0,83845754.34
2000-02-25 00:00:00,89.75,91.18,88.16,90.15,947613.0,85427311.95
2000-02-28 00:00:00,92.13,97.3,87.37,95.15,1193688.0,113579413.2
2000-02-29 00:00:00,97.3,100.87,87.54,89.35,1853213.0,165584581.54999998
2000-03-01 00:00:00,87.61,89.75,82.21,82.21,1765175.0,145115036.75
2000-03-02 00:00:00,81.49,82.6,75.63,75.63,899938.0,68062310.94
2000-03-03 00:00:00,73.86,73.86,69.58,69.58,524838.0,36518228.04
2000-03-06 00:00:00,66.4,75.14,66.4,73.72,2001175.0,147526621.0
2000-03-07 00:00:00,72.36,74.26,70.69,73.86,759938.0,56129020.68
2000-03-08 00:00:00,72.68,77.44,71.08,72.59,828550.0,60144444.5
2000-03-09 00:00:00,73.71,75.45,69.1,70.85,586400.0,41546440.0
2000-03-10 00:00:00,71.24,76.51,69.73,76.51,1864325.0,142639505.75
2000-03-13 00:00:00,79.42,82.63,77.12,82.63,515963.0,42634022.69
2000-03-14 00:00:00,84.98,89.24,81.01,89.24,1149050.0,102541222.0
2000-03-15 00:00:00,91.34,96.38,87.37,88.56,2164663.0,191702555.28
2000-03-16 00:00:00,89.19,90.54,83.48,84.39,926900.0,78221091.0
2000-03-21 00:00:00,88.96,91.14,87.37,90.54,817488.0,74015363.52000001
2000-03-22 00:00:00,91.04,94.12,88.32,91.34,733750.0,67020725.0
2000-03-23 00:00:00,92.13,93.72,89.11,91.34,644013.0,58824147.42
2000-03-24 00:00:00,91.74,91.74,85.38,87.68,435463.0,38181395.84
2000-03-27 00:00:00,92.37,92.37,83.0,83.4,530588.0,44251039.2
2000-03-28 00:00:00,84.9,85.38,80.22,82.28,334888.0,27554584.64
2000-03-29 00:00:00,82.92,84.19,81.41,81.83,326275.0,26699083.25
2000-03-30 00:00:00,80.38,83.24,79.42,82.44,283850.0,23400594.0
2000-03-31 00:00:00,82.21,89.03,79.98,89.03,1376163.0,122519791.89
2000-04-03 00:00:00,90.15,96.15,89.35,95.31,1347588.0,128438612.28
2000-04-04 00:00:00,95.71,98.49,87.76,92.15,1862513.0,171630572.95000002
2000-04-05 00:00:00,93.72,96.82,92.29,92.92,852838.0,79245706.96000001
2000-04-06 00:00:00,94.5,94.5,87.37,90.66,936975.0,84946153.5
2000-04-07 00:00:00,90.15,97.91,90.15,97.91,1136063.0,111231928.33
2000-04-10 00:00:00,102.54,105.73,99.76,104.13,1823588.0,189890218.44
2000-04-11 00:00:00,101.74,104.05,99.28,102.78,646600.0,66457548.0
2000-04-12 00:00:00,102.38,102.46,98.53,98.72,388225.0,38325572.0
2000-04-13 00:00:00,98.49,98.49,91.74,97.47,945475.0,92155448.25
2000-04-17 00:00:00,89.75,92.13,89.67,90.04,708800.0,63820352.00000001
2000-04-18 00:00:00,91.34,93.72,90.15,92.13,395075.0,36398259.75
2000-04-19 00:00:00,93.08,93.72,85.38,87.29,902613.0,78789088.77000001
2000-04-20 00:00:00,85.78,86.97,80.31,83.4,1211250.0,101018250.0
2000-04-24 00:00:00,85.38,85.38,76.73,76.73,660575.0,50685919.75
2000-04-25 00:00:00,71.09,78.31,70.59,77.44,1012350.0,78396384.0
2000-04-26 00:00:00,78.4,82.2,77.06,79.75,823000.0,65634250.0
2000-04-27 00:00:00,79.35,80.62,75.06,77.04,519438.0,40017503.52
2000-04-28 00:00:00,75.49,75.49,70.88,70.88,265300.0,18804464.0
2000-05-02 00:00:00,65.53,66.24,62.38,62.38,572825.0,35732823.5
2000-05-03 00:00:00,59.17,65.13,54.9,64.33,1118738.0,71968415.53999999
2000-05-04 00:00:00,65.53,69.48,65.53,66.71,1209100.0,80659060.99999999
2000-05-05 00:00:00,66.72,68.46,64.97,65.05,945938.0,61533266.9
2000-05-08 00:00:00,66.64,66.72,64.93,66.14,547063.0,36182746.82
2000-05-09 00:00:00,65.13,65.92,62.75,65.82,254500.0,16751189.999999998
2000-05-10 00:00:00,65.92,67.51,65.19,65.76,632150.0,41570184.0
2000-05-11 00:00:00,64.9,64.9,61.56,63.14,804088.0,50770116.32
2000-05-12 00:00:00,63.54,63.94,60.48,62.75,547038.0,34326634.5
2000-05-15 00:00:00,61.55,63.54,57.73,62.91,595663.0,37473159.33
