timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,71.07,71.63,69.23,71.63,80570.0,5771229.1
2000-01-04 00:00:00,73.59,73.59,68.84,70.14,51450.0,3608703.0
2000-01-05 00:00:00,69.13,69.13,64.58,65.36,96250.0,6290900.0
2000-01-06 00:00:00,65.84,66.62,63.91,65.26,85470.0,5577772.2
2000-01-07 00:00:00,62.99,62.99,60.04,60.07,53290.0,3201130.3
2000-01-10 00:00:00,62.94,62.94,57.13,57.18,14800.0,846264.0
2000-01-11 00:00:00,57.22,60.03,55.19,57.13,26060.0,1488807.8
2000-01-12 00:00:00,58.29,59.55,57.61,59.28,26800.0,1588704.0
2000-01-13 00:00:00,59.74,60.9,59.55,59.71,12560.0,749957.6
2000-01-14 00:00:00,60.23,61.97,58.1,58.39,55830.0,3259913.7
2000-01-17 00:00:00,60.52,63.05,59.55,63.05,55260.0,3484143.0
2000-01-18 00:00:00,67.29,68.09,64.53,68.09,211950.0,14431675.5
2000-01-19 00:00:00,72.14,73.54,71.65,73.54,136820.0,10061742.8
2000-01-20 00:00:00,77.36,78.04,70.73,70.97,128750.0,9137387.5
2000-01-21 00:00:00,67.88,71.65,67.88,68.65,34060.0,2338219.0
2000-01-24 00:00:00,70.2,71.36,69.24,70.13,50550.0,3545071.5
2000-01-25 00:00:00,69.52,69.52,66.42,68.26,29710.0,2028004.6
2000-01-27 00:00:00,67.29,67.78,66.04,66.51,14080.0,936460.8
2000-01-28 00:00:00,65.84,66.04,64.0,64.0,24110.0,1543040.0
2000-01-31 00:00:00,63.13,63.71,61.68,62.45,14920.0,931754.0
2000-02-01 00:00:00,60.52,62.84,59.55,62.03,21010.0,1303250.3
2000-02-02 00:00:00,61.97,64.2,61.97,63.91,18480.0,1181056.8
2000-02-03 00:00:00,62.74,62.94,62.07,62.35,5100.0,317985.0
2000-02-04 00:00:00,62.62,63.71,57.61,59.35,61730.0,3663675.5
2000-02-07 00:00:00,59.55,59.55,58.58,59.21,31100.0,1841431.0
2000-02-08 00:00:00,59.55,59.55,55.29,57.61,23820.0,1372270.2
2000-02-09 00:00:00,58.1,59.16,56.26,56.64,35300.0,1999392.0
2000-02-10 00:00:00,57.22,58.1,56.35,56.76,22780.0,1292992.8
2000-02-11 00:00:00,56.64,57.51,53.45,56.16,26950.0,1513512.0
2000-02-14 00:00:00,60.42,60.42,54.22,55.09,5650.0,311258.5
2000-02-15 00:00:00,51.8,53.45,50.35,50.76,7930.0,402526.8
2000-02-16 00:00:00,47.54,51.8,47.54,51.22,9740.0,498882.8
2000-02-17 00:00:00,50.35,55.32,50.35,54.71,30100.0,1646771.0
2000-02-18 00:00:00,55.09,55.09,50.34,50.34,32490.0,1635546.6
2000-02-21 00:00:00,49.38,50.35,46.48,47.93,32650.0,1564914.5
2000-02-22 00:00:00,50.35,50.35,47.93,48.41,31660.0,1532660.5999999999
2000-02-23 00:00:00,49.16,49.16,45.51,45.51,16320.0,742723.2
2000-02-24 00:00:00,47.93,49.14,47.44,49.14,36040.0,1771005.6
2000-02-25 00:00:00,49.38,53.07,49.38,53.07,105240.0,5585086.8
2000-02-28 00:00:00,57.03,57.31,57.03,57.31,40790.0,2337674.9
2000-02-29 00:00:00,61.89,61.89,52.73,52.73,119920.0,6323381.6
2000-03-01 00:00:00,53.25,56.94,51.03,53.25,116800.0,6219600.0
2000-03-02 00:00:00,56.83,57.13,52.77,53.25,142120.0,7567890.0
2000-03-03 00:00:00,53.06,54.22,49.09,53.25,141440.0,7531680.0
2000-03-06 00:00:00,53.35,53.35,49.87,52.29,34650.0,1811848.5
2000-03-07 00:00:00,50.83,50.83,49.78,50.83,55350.0,2813440.5
2000-03-08 00:00:00,49.53,49.53,46.96,46.96,68730.0,3227560.8000000003
2000-03-09 00:00:00,45.99,48.12,43.77,46.96,17150.0,805364.0
2000-03-10 00:00:00,43.67,46.48,43.23,43.47,128740.0,5596327.8
2000-03-13 00:00:00,44.15,46.28,44.06,45.51,7510.0,341780.1
2000-03-14 00:00:00,46.28,46.28,43.18,43.69,13380.0,584572.2
2000-03-15 00:00:00,40.76,44.73,40.48,43.86,21700.0,951762.0
2000-03-16 00:00:00,40.67,42.6,40.36,40.36,14520.0,586027.2
2000-03-21 00:00:00,43.28,43.38,37.37,37.37,33510.0,1252268.7
2000-03-22 00:00:00,37.76,40.36,37.76,40.18,11510.0,462471.8
2000-03-23 00:00:00,42.6,42.6,38.83,38.89,62550.0,2432569.5
2000-03-24 00:00:00,36.79,39.21,35.78,35.83,32740.0,1173074.2
2000-03-27 00:00:00,37.76,38.69,37.76,38.54,28660.0,1104556.4
2000-03-28 00:00:00,38.92,39.7,38.92,39.7,4850.0,192545.0
2000-03-29 00:00:00,39.7,40.47,39.21,39.91,30620.0,1222044.2
2000-03-30 00:00:00,39.6,39.6,36.79,39.21,13090.0,513258.9
2000-03-31 00:00:00,38.73,40.56,37.76,38.73,51880.0,2009312.4
2000-04-03 00:00:00,38.73,39.31,37.18,39.31,3720.0,146233.2
2000-04-04 00:00:00,36.5,38.25,36.17,37.18,5650.0,210067.0
2000-04-05 00:00:00,38.22,38.22,35.92,37.37,1650.0,61660.49999999999
2000-04-06 00:00:00,35.63,36.12,35.44,35.44,3350.0,118723.99999999999
2000-04-07 00:00:00,36.69,38.27,36.21,38.27,40180.0,1537688.6
2000-04-10 00:00:00,41.14,41.33,40.47,41.33,17070.0,705503.1
2000-04-11 00:00:00,40.67,40.86,39.7,40.67,34000.0,1382780.0
2000-04-12 00:00:00,39.72,40.96,38.83,40.71,37590.0,1530288.9000000001
2000-04-13 00:00:00,38.73,40.57,37.57,39.89,312110.0,12450067.9
2000-04-17 00:00:00,36.7,37.42,36.7,36.79,47910.0,1762608.9
2000-04-18 00:00:00,39.51,39.51,36.99,39.13,2780.0,108781.40000000001
2000-04-19 00:00:00,39.7,40.57,37.86,38.63,9450.0,365053.5
2000-04-20 00:00:00,37.37,38.02,35.63,35.93,23850.0,856930.5
2000-04-24 00:00:00,35.35,35.83,35.35,35.44,113700.0,4029527.9999999995
2000-04-25 00:00:00,34.86,34.86,32.61,33.63,6150.0,206824.50000000003
2000-04-26 00:00:00,33.41,34.86,33.21,34.08,138140.0,4707811.2
2000-04-27 00:00:00,33.99,34.86,33.03,33.7,3600.0,121320.00000000001
2000-04-28 00:00:00,33.5,34.08,32.97,33.41,182350.0,6092313.499999999
2000-05-02 00:00:00,33.41,33.79,32.53,32.54,147440.0,4797697.6
2000-05-03 00:00:00,30.98,30.98,30.79,30.98,1100.0,34078.0
2000-05-04 00:00:00,30.98,30.98,30.21,30.43,1950.0,59338.5
2000-05-05 00:00:00,30.98,32.82,30.98,32.63,11500.0,375245.00000000006
2000-05-08 00:00:00,33.7,33.79,33.11,33.11,3920.0,129791.2
2000-05-09 00:00:00,31.95,32.34,31.76,32.34,2530.0,81820.20000000001
2000-05-10 00:00:00,31.19,31.19,30.98,31.18,1490.0,46458.2
2000-05-11 00:00:00,32.44,32.44,30.69,30.74,30860.0,948636.3999999999
2000-05-12 00:00:00,30.94,30.94,28.29,28.29,12400.0,350796.0
2000-05-15 00:00:00,26.63,28.08,26.14,27.21,4100.0,111561.0
2000-05-16 00:00:00,26.48,28.95,25.56,28.95,29790.0,862420.5
2000-05-17 00:00:00,29.53,30.02,28.66,29.04,6200.0,180048.0
2000-05-18 00:00:00,28.94,29.82,28.94,29.53,29300.0,865229.0
2000-05-19 00:00:00,30.79,31.18,29.53,30.98,25960.0,804240.8
2000-05-22 00:00:00,31.18,31.47,30.68,30.98,106220.0,3290695.6
2000-05-23 00:00:00,30.98,30.98,28.56,30.4,86180.0,2619872.0
2000-05-24 00:00:00,30.5,30.98,30.02,30.98,49350.0,1528863.0
2000-05-25 00:00:00,30.98,31.85,30.6,31.37,57980.0,1818832.6
2000-05-26 00:00:00,30.53,31.9,30.02,30.98,10000.0,309800.0
2000-05-29 00:00:00,31.47,31.47,30.98,30.98,100450.0,3111941.0
2000-05-30 00:00:00,31.83,31.83,30.98,30.98,5530.0,171319.4
2000-05-31 00:00:00,32.92,32.92,30.02,31.47,12800.0,402816.0
2000-06-01 00:00:00,30.4,30.5,29.24,30.02,2710.0,81354.2
2000-06-02 00:00:00,30.02,30.98,30.02,30.31,10690.0,324013.89999999997
2000-06-05 00:00:00,31.47,31.47,30.84,30.98,13190.0,408626.2
2000-06-06 00:00:00,30.02,30.98,29.82,30.5,10470.0,319335.0
2000-06-07 00:00:00,30.03,30.11,29.55,29.77,8220.0,244709.4
2000-06-08 00:00:00,29.88,29.88,29.32,29.8,4750.0,141550.0
2000-06-09 00:00:00,29.53,29.81,28.85,29.53,15870.0,468641.10000000003
2000-06-12 00:00:00,29.53,29.53,28.95,28.95,4650.0,134617.5
2000-06-13 00:00:00,29.05,29.53,29.05,29.53,3450.0,101878.5
2000-06-14 00:00:00,28.6,29.05,28.56,28.58,6470.0,184912.59999999998
2000-06-15 00:00:00,28.95,29.44,28.08,28.08,2800.0,78624.0
2000-06-16 00:00:00,29.05,29.05,28.47,29.05,6100.0,177205.0
2000-06-19 00:00:00,29.07,29.07,28.61,28.76,20180.0,580376.8
2000-06-20 00:00:00,29.05,29.82,28.56,29.14,24590.0,716552.6
