timestamps,open,high,low,close,volume,amount
2002-05-17 00:00:00,4.48,4.48,4.48,4.48,100.0,448.00000000000006
2002-05-20 00:00:00,5.38,5.38,4.86,4.86,300.0,1458.0
2002-06-04 00:00:00,5.83,5.83,5.83,5.83,50.0,291.5
2002-06-05 00:00:00,6.97,6.97,6.97,6.97,550.0,3833.5
2002-06-06 00:00:00,8.37,8.37,8.37,8.37,2700.0,22598.999999999996
2002-06-07 00:00:00,10.04,10.04,10.04,10.04,2950.0,29617.999999999996
2002-06-10 00:00:00,10.46,11.21,9.96,11.21,4950.0,55489.50000000001
2002-06-11 00:00:00,11.46,12.21,11.46,11.96,2950.0,35282.0
2002-06-12 00:00:00,12.95,12.95,10.96,11.11,4180.0,46439.799999999996
2002-06-13 00:00:00,10.01,10.91,10.01,10.81,6840.0,73940.40000000001
2002-06-14 00:00:00,9.74,11.33,9.74,10.76,2200.0,23672.0
2002-06-17 00:00:00,9.71,10.21,9.71,10.21,700.0,7147.000000000001
2002-06-20 00:00:00,9.59,9.59,9.59,9.59,200.0,1918.0
2002-06-21 00:00:00,10.54,10.54,10.54,10.54,3000.0,31619.999999999996
2002-06-24 00:00:00,11.58,11.58,11.58,11.58,9000.0,104220.0
2002-06-25 00:00:00,12.73,12.73,12.73,12.73,7340.0,93438.2
2002-06-26 00:00:00,13.25,14.0,13.2,13.5,6302.0,85077.0
2002-06-27 00:00:00,14.85,14.85,12.7,13.2,9870.0,130284.0
2002-06-28 00:00:00,13.05,13.05,13.05,13.05,530.0,6916.5
2002-07-01 00:00:00,11.76,12.21,11.76,11.86,9620.0,114093.2
2002-07-02 00:00:00,10.74,10.84,10.71,10.71,3200.0,34272.0
2002-07-04 00:00:00,8.72,8.72,8.72,8.72,200.0,1744.0000000000002
2002-07-05 00:00:00,7.92,7.92,7.92,7.92,940.0,7444.8
2002-07-09 00:00:00,8.97,8.97,8.97,8.97,400.0,3588.0000000000005
2002-07-10 00:00:00,9.22,9.22,9.22,9.22,200.0,1844.0000000000002
2002-07-11 00:00:00,10.09,10.09,10.09,10.09,6.0,60.54
2002-07-12 00:00:00,9.09,10.09,9.09,10.06,1600.0,16096.0
2002-07-16 00:00:00,9.94,10.21,9.94,10.21,730.0,7453.3
2002-07-17 00:00:00,10.04,10.21,9.74,9.74,1500.0,14610.0
2002-07-18 00:00:00,9.47,9.47,9.47,9.47,60.0,568.2
2002-07-19 00:00:00,9.94,9.96,9.47,9.47,640.0,6060.8
2002-07-24 00:00:00,9.47,9.71,9.47,9.71,360.0,3495.6000000000004
2002-07-25 00:00:00,9.22,9.71,9.22,9.71,1300.0,12623.000000000002
2002-07-26 00:00:00,9.22,9.22,9.22,9.22,300.0,2766.0
2002-07-29 00:00:00,9.22,9.22,9.22,9.22,900.0,8298.0
2002-07-30 00:00:00,9.22,9.47,9.22,9.47,550.0,5208.5
2002-07-31 00:00:00,9.47,9.47,9.47,9.47,0.0,0.0
2002-08-01 00:00:00,9.47,10.31,9.71,9.71,410.0,3981.1000000000004
2002-08-02 00:00:00,9.71,9.96,9.71,9.96,130.0,1294.8000000000002
2002-08-05 00:00:00,9.96,9.96,9.96,9.96,0.0,0.0
2002-08-06 00:00:00,9.71,9.71,9.71,9.71,320.0,3107.2000000000003
2002-08-07 00:00:00,9.71,9.96,9.47,9.47,800.0,7576.000000000001
2002-08-08 00:00:00,9.47,9.47,9.47,9.47,0.0,0.0
2002-08-09 00:00:00,9.47,9.71,9.69,9.71,1100.0,10681.000000000002
2002-08-12 00:00:00,9.71,9.71,9.71,9.71,0.0,0.0
2002-08-13 00:00:00,9.71,9.71,9.71,9.71,0.0,0.0
2002-08-14 00:00:00,9.71,9.71,9.71,9.71,0.0,0.0
2002-08-16 00:00:00,9.71,9.71,9.71,9.71,0.0,0.0
2002-08-19 00:00:00,9.47,9.47,9.47,9.47,600.0,5682.0
2002-08-20 00:00:00,9.47,9.47,9.47,9.47,800.0,7576.000000000001
2002-08-21 00:00:00,9.47,9.71,9.47,9.71,1000.0,9710.0
2002-08-22 00:00:00,9.47,9.47,9.47,9.47,400.0,3788.0000000000005
2002-08-23 00:00:00,8.54,8.54,8.54,8.54,400.0,3415.9999999999995
2002-08-26 00:00:00,8.54,8.54,8.54,8.54,0.0,0.0
2002-08-27 00:00:00,8.54,8.54,8.54,8.54,0.0,0.0
2002-08-28 00:00:00,7.7,7.7,7.7,7.7,300.0,2310.0
2002-08-29 00:00:00,7.55,7.55,7.55,7.55,600.0,4530.0
2002-08-30 00:00:00,7.55,7.55,7.55,7.55,0.0,0.0
2002-09-02 00:00:00,7.55,7.55,7.55,7.55,400.0,3020.0
2002-09-03 00:00:00,7.55,7.97,6.97,6.97,400.0,2788.0
2002-09-04 00:00:00,7.67,7.67,7.67,7.67,200.0,1534.0
2002-09-05 00:00:00,7.67,8.42,6.92,6.92,1500.0,10380.0
2002-09-06 00:00:00,6.92,7.6,6.25,6.25,800.0,5000.0
2002-09-09 00:00:00,6.25,6.87,6.73,6.73,700.0,4711.0
2002-09-11 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-09-12 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-09-13 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-09-16 00:00:00,6.73,6.85,6.73,6.78,600.0,4068.0
2002-09-17 00:00:00,7.42,7.42,7.42,7.42,200.0,1484.0
2002-09-18 00:00:00,8.12,8.12,8.12,8.12,200.0,1623.9999999999998
2002-09-19 00:00:00,7.32,7.32,7.32,7.32,200.0,1464.0
2002-09-20 00:00:00,7.32,7.32,7.32,7.32,0.0,0.0
2002-09-23 00:00:00,7.32,7.32,7.32,7.32,0.0,0.0
2002-09-24 00:00:00,6.73,6.73,6.73,6.73,200.0,1346.0
2002-09-25 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-09-26 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-09-27 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-09-30 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-10-01 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-10-03 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-10-04 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-10-07 00:00:00,6.73,6.73,6.73,6.73,0.0,0.0
2002-10-08 00:00:00,6.48,6.48,6.48,6.48,100.0,648.0
2002-10-09 00:00:00,6.48,6.48,6.48,6.48,200.0,1296.0
2002-10-10 00:00:00,6.48,6.48,6.48,6.48,0.0,0.0
2002-10-11 00:00:00,6.48,6.48,6.48,6.48,0.0,0.0
2002-10-14 00:00:00,6.48,6.48,6.48,6.48,0.0,0.0
2002-10-16 00:00:00,6.48,6.48,6.48,6.48,0.0,0.0
2002-10-17 00:00:00,6.48,6.48,5.88,6.48,600.0,3888.0000000000005
2002-10-18 00:00:00,6.48,6.48,6.48,6.48,0.0,0.0
2002-10-21 00:00:00,6.48,6.48,6.48,6.48,200.0,1296.0
2002-10-22 00:00:00,6.48,6.48,6.48,6.48,200.0,1296.0
2002-10-23 00:00:00,6.48,6.48,6.48,6.48,0.0,0.0
2002-10-24 00:00:00,6.48,6.48,6.48,6.48,400.0,2592.0
2002-10-25 00:00:00,6.48,5.98,5.85,5.85,1000.0,5850.0
2002-10-28 00:00:00,5.85,5.85,5.85,5.85,0.0,0.0
2002-10-29 00:00:00,5.28,5.28,5.28,5.28,200.0,1056.0
2002-10-30 00:00:00,5.48,5.48,5.48,5.48,550.0,3014.0000000000005
2002-10-31 00:00:00,5.48,5.48,5.48,5.48,0.0,0.0
2002-11-01 00:00:00,5.48,5.48,5.48,5.48,0.0,0.0
