timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,26.83,28.42,26.79,27.83,280783.0,7814190.89
2000-01-04 00:00:00,28.09,28.09,27.17,27.58,481195.0,13271358.1
2000-01-05 00:00:00,26.5,27.92,25.83,27.58,331508.0,9142990.639999999
2000-01-06 00:00:00,28.09,29.67,27.33,28.0,305775.0,8561700.0
2000-01-07 00:00:00,28.0,28.34,27.58,28.25,483744.0,13665768.0
2000-01-10 00:00:00,29.26,29.34,27.42,28.0,265183.0,7425124.0
2000-01-11 00:00:00,27.08,27.83,26.75,27.16,108617.0,2950037.72
2000-01-12 00:00:00,27.21,27.5,27.06,27.25,270638.0,7374885.5
2000-01-13 00:00:00,27.42,27.42,26.75,26.76,200341.0,5361125.16
2000-01-14 00:00:00,27.37,27.37,26.16,26.83,204791.0,5494542.529999999
2000-01-17 00:00:00,27.25,27.42,27.0,27.04,1283778.0,34713357.12
2000-01-18 00:00:00,26.92,27.17,26.33,27.17,203798.0,5537191.66
2000-01-19 00:00:00,27.17,28.25,26.92,27.58,2194475.0,60523620.49999999
2000-01-20 00:00:00,27.17,27.17,25.39,25.68,371729.0,9546000.72
2000-01-21 00:00:00,25.33,25.75,25.16,25.58,1281266.0,32774784.279999997
2000-01-24 00:00:00,25.08,25.97,24.74,24.93,92250.0,2299792.5
2000-01-25 00:00:00,25.07,25.08,24.46,24.74,74114.0,1833580.3599999999
2000-01-27 00:00:00,24.53,24.99,23.84,24.14,128584.0,3104017.7600000002
2000-01-28 00:00:00,24.24,24.24,22.99,23.82,324581.0,7731519.42
2000-01-31 00:00:00,24.74,24.74,23.4,23.56,71578.0,1686377.68
2000-02-01 00:00:00,23.58,24.41,23.24,23.71,137520.0,3260599.2
2000-02-02 00:00:00,24.24,24.53,23.66,23.66,170874.0,4042878.84
2000-02-03 00:00:00,24.22,24.22,23.66,23.91,48823.0,1167357.93
2000-02-04 00:00:00,22.99,23.82,22.99,23.0,236004.0,5428092.0
2000-02-07 00:00:00,22.9,23.61,22.9,22.99,115304.0,2650838.96
2000-02-08 00:00:00,22.65,23.24,22.23,22.91,84630.0,1938873.3
2000-02-09 00:00:00,23.15,23.24,22.15,22.15,255971.0,5669757.649999999
2000-02-10 00:00:00,22.08,22.57,21.9,22.07,150931.0,3331047.17
2000-02-11 00:00:00,21.92,22.57,20.32,21.4,317978.0,6804729.199999999
2000-02-14 00:00:00,21.32,21.96,20.94,21.22,75537.0,1602895.14
2000-02-15 00:00:00,20.9,21.73,20.31,21.37,46957.0,1003471.0900000001
2000-02-16 00:00:00,21.77,22.15,20.81,21.02,273282.0,5744387.64
2000-02-17 00:00:00,21.31,21.31,20.23,20.64,203296.0,4196029.44
2000-02-18 00:00:00,20.88,20.88,19.89,20.4,98615.0,2011745.9999999998
2000-02-21 00:00:00,20.9,21.73,20.23,20.88,122267.0,2552934.96
2000-02-22 00:00:00,20.9,21.23,20.31,20.35,123762.0,2518556.7
2000-02-23 00:00:00,20.48,21.52,20.48,21.06,135917.0,2862412.02
