timestamps,open,high,low,close,volume,amount
2008-02-22 00:00:00,9.25,9.25,9.25,9.25,0.0,0.0
2008-02-25 00:00:00,8.5,10.45,8.37,9.45,321575920.0,3038892444.0
2008-02-26 00:00:00,9.64,9.72,9.06,9.18,95016680.0,872253122.4
2008-02-27 00:00:00,9.3,10.52,9.28,10.18,306250860.0,3117633754.7999997
2008-02-28 00:00:00,10.0,10.7,10.0,10.25,126104260.0,1292568665.0
2008-02-29 00:00:00,10.19,10.33,9.6,9.67,38651820.0,373763099.4
2008-03-03 00:00:00,9.5,10.19,9.25,9.71,65357780.0,634624043.8000001
2008-03-04 00:00:00,9.71,10.2,9.45,9.85,51458820.0,506869377.0
2008-03-05 00:00:00,9.87,10.07,9.76,9.82,20257020.0,198923936.4
2008-03-07 00:00:00,9.61,10.17,9.1,9.95,43126840.0,429112057.99999994
2008-03-10 00:00:00,9.75,9.98,9.26,9.59,25193420.0,241604897.79999998
2008-03-11 00:00:00,9.5,9.95,9.46,9.71,21669140.0,210407349.4
2008-03-12 00:00:00,9.85,10.05,9.57,9.62,10284440.0,98936312.8
2008-03-13 00:00:00,9.49,9.83,9.25,9.28,13143980.0,121976134.39999999
2008-03-14 00:00:00,9.35,9.49,9.15,9.25,9117260.0,84334655.0
2008-03-17 00:00:00,9.0,9.28,8.75,9.03,4863020.0,43913070.599999994
2008-03-18 00:00:00,9.06,9.18,8.8,8.93,3541060.0,31621665.8
2008-03-19 00:00:00,9.14,9.25,8.83,8.93,3073180.0,27443497.4
2008-03-24 00:00:00,8.98,9.01,8.16,8.27,2698240.0,22314444.799999997
2008-03-25 00:00:00,8.39,8.8,8.26,8.59,4252080.0,36525367.2
2008-03-26 00:00:00,8.65,8.97,8.5,8.65,3982240.0,34446376.0
2008-03-27 00:00:00,8.55,9.05,8.45,8.83,5595020.0,49404026.6
2008-03-28 00:00:00,8.9,9.25,8.75,8.87,4377440.0,38827892.8
2008-03-31 00:00:00,8.8,9.1,8.25,8.51,9342680.0,79506206.8
2008-04-01 00:00:00,8.6,8.7,8.33,8.4,2434660.0,20451144.0
2008-04-02 00:00:00,8.5,8.74,8.25,8.34,2576980.0,21492013.2
2008-04-03 00:00:00,8.42,8.6,8.28,8.43,2678700.0,22581441.0
2008-04-04 00:00:00,8.5,8.73,8.31,8.51,4821380.0,41029943.8
2008-04-07 00:00:00,8.5,8.97,8.35,8.85,4954020.0,43843077.0
2008-04-08 00:00:00,9.0,9.25,8.71,8.82,6956300.0,61354566.0
2008-04-09 00:00:00,8.75,9.0,8.68,8.8,1944060.0,17107728.0
2008-04-10 00:00:00,8.85,9.07,8.68,8.82,3433700.0,30285234.0
2008-04-11 00:00:00,8.9,9.2,8.75,9.13,5352680.0,48869968.400000006
2008-04-15 00:00:00,8.9,9.65,8.88,9.56,7075040.0,67637382.4
2008-04-16 00:00:00,9.7,10.96,9.66,10.45,46763880.0,488682545.99999994
2008-04-17 00:00:00,10.6,10.69,10.08,10.19,12344800.0,125793512.0
2008-04-21 00:00:00,10.34,10.75,10.25,10.45,6986800.0,73012060.0
2008-04-22 00:00:00,10.59,10.9,10.35,10.55,11553260.0,121886893.00000001
2008-04-23 00:00:00,10.37,10.8,10.37,10.53,7901440.0,83202163.19999999
2008-04-24 00:00:00,10.7,10.7,9.86,10.14,8847600.0,89714664.0
2008-04-25 00:00:00,10.33,10.33,9.88,10.02,3365540.0,33722710.8
2008-04-28 00:00:00,10.17,10.67,9.81,10.58,13713320.0,145086925.6
2008-04-29 00:00:00,10.65,11.1,10.51,10.64,24288020.0,258424532.8
2008-04-30 00:00:00,10.65,11.08,10.5,10.67,17426480.0,185940541.6
2008-05-02 00:00:00,10.84,10.93,10.7,10.73,5871140.0,62997332.2
2008-05-05 00:00:00,10.8,10.99,10.62,10.67,6111280.0,65207357.6
2008-05-06 00:00:00,10.75,10.75,10.1,10.48,6099180.0,63919406.400000006
