timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,5.83,5.97,5.77,5.93,24000.0,142320.0
2000-01-04 00:00:00,5.98,5.99,5.82,5.82,14800.0,86136.0
2000-01-05 00:00:00,5.72,5.82,5.71,5.71,7200.0,41112.0
2000-01-06 00:00:00,5.66,5.77,5.51,5.61,14400.0,80784.0
2000-01-07 00:00:00,5.61,5.77,5.5,5.56,37600.0,209055.99999999997
2000-01-10 00:00:00,5.71,5.74,5.61,5.68,17600.0,99968.0
2000-01-11 00:00:00,5.82,5.82,5.44,5.44,17600.0,95744.0
2000-01-12 00:00:00,5.66,5.66,5.5,5.58,11200.0,62496.0
2000-01-13 00:00:00,5.55,5.66,5.55,5.66,11200.0,63392.0
2000-01-14 00:00:00,5.66,5.71,5.55,5.67,12000.0,68040.0
2000-01-17 00:00:00,5.55,5.58,5.39,5.39,16000.0,86240.0
2000-01-18 00:00:00,5.5,5.55,5.44,5.45,16800.0,91560.0
2000-01-19 00:00:00,5.44,5.55,5.39,5.47,14640.0,80080.8
2000-01-20 00:00:00,5.39,5.44,5.34,5.44,14000.0,76160.0
2000-01-21 00:00:00,5.28,5.44,5.17,5.27,32800.0,172856.0
2000-01-24 00:00:00,5.44,5.44,5.36,5.39,4800.0,25872.0
2000-01-25 00:00:00,5.44,5.5,5.17,5.22,42800.0,223416.0
2000-01-27 00:00:00,5.29,5.29,5.07,5.08,11200.0,56896.0
2000-01-28 00:00:00,5.07,5.17,4.96,5.17,24240.0,125320.8
2000-01-31 00:00:00,5.33,5.33,5.17,5.2,14400.0,74880.0
2000-02-01 00:00:00,5.3,5.3,4.79,4.79,50000.0,239500.0
2000-02-02 00:00:00,4.9,5.12,4.9,5.12,13600.0,69632.0
2000-02-03 00:00:00,4.98,5.17,4.8,5.12,17600.0,90112.0
2000-02-04 00:00:00,4.87,4.95,4.71,4.75,56960.0,270560.0
2000-02-07 00:00:00,5.06,5.06,4.41,4.75,823200.0,3910200.0
2000-02-08 00:00:00,4.84,4.84,4.64,4.64,13600.0,63103.99999999999
2000-02-09 00:00:00,4.63,4.68,4.63,4.65,10400.0,48360.00000000001
2000-02-10 00:00:00,4.57,4.68,4.49,4.53,28800.0,130464.0
2000-02-11 00:00:00,4.47,4.52,4.46,4.52,13600.0,61471.99999999999
2000-02-14 00:00:00,4.87,4.87,4.66,4.66,24800.0,115568.0
2000-02-15 00:00:00,4.87,4.87,4.71,4.71,3200.0,15072.0
2000-02-16 00:00:00,4.73,4.79,4.52,4.73,12000.0,56760.00000000001
2000-02-17 00:00:00,4.82,4.82,4.59,4.73,8000.0,37840.0
2000-02-18 00:00:00,4.59,4.84,4.59,4.63,12000.0,55560.0
2000-02-21 00:00:00,4.52,4.52,4.46,4.46,10560.0,47097.6
2000-02-22 00:00:00,4.44,4.57,4.41,4.57,14400.0,65808.0
2000-02-23 00:00:00,4.46,4.46,4.3,4.3,20800.0,89440.0
2000-02-24 00:00:00,4.35,4.46,4.35,4.46,7200.0,32112.0
2000-02-25 00:00:00,4.46,4.46,4.3,4.35,12800.0,55679.99999999999
2000-02-28 00:00:00,4.52,4.52,4.08,4.44,12000.0,53280.00000000001
2000-02-29 00:00:00,4.63,4.63,4.52,4.57,19200.0,87744.0
2000-03-01 00:00:00,4.63,4.63,4.63,4.63,2000.0,9260.0
2000-03-02 00:00:00,4.33,4.38,4.33,4.35,13200.0,57419.99999999999
2000-03-03 00:00:00,4.08,4.08,4.01,4.03,12800.0,51584.0
2000-03-06 00:00:00,4.08,4.16,4.08,4.14,91360.0,378230.39999999997
2000-03-07 00:00:00,4.14,4.14,4.08,4.08,1600.0,6528.0
2000-03-08 00:00:00,4.08,4.08,4.08,4.08,150400.0,613632.0
2000-03-09 00:00:00,3.92,4.08,3.92,4.03,10400.0,41912.0
2000-03-10 00:00:00,3.92,4.19,3.92,4.14,7200.0,29807.999999999996
2000-03-13 00:00:00,4.24,4.24,3.92,3.92,8400.0,32928.0
2000-03-14 00:00:00,3.97,3.97,3.93,3.93,2400.0,9432.0
2000-03-15 00:00:00,4.08,4.14,3.99,3.99,6560.0,26174.4
2000-03-16 00:00:00,4.05,4.05,3.81,3.97,64000.0,254080.0
2000-03-21 00:00:00,4.19,4.19,4.16,4.18,4800.0,20064.0
2000-03-22 00:00:00,4.18,4.24,4.18,4.24,3200.0,13568.0
2000-03-23 00:00:00,4.19,4.24,4.14,4.21,16800.0,70728.0
2000-03-24 00:00:00,3.87,3.87,3.87,3.87,1600.0,6192.0
2000-03-27 00:00:00,4.18,4.18,4.18,4.18,14400.0,60191.99999999999
2000-03-28 00:00:00,4.3,4.35,4.05,4.05,5200.0,21060.0
2000-03-29 00:00:00,4.04,4.16,4.04,4.08,16432.0,67042.56
2000-03-30 00:00:00,4.08,4.27,4.08,4.27,5600.0,23911.999999999996
2000-03-31 00:00:00,4.19,4.34,4.12,4.3,15200.0,65360.0
2000-04-03 00:00:00,4.24,4.57,4.24,4.57,2400.0,10968.0
2000-04-04 00:00:00,4.25,4.35,4.24,4.27,17600.0,75151.99999999999
2000-04-05 00:00:00,4.2,4.24,4.2,4.24,2400.0,10176.0
2000-04-06 00:00:00,4.2,4.46,4.2,4.34,4000.0,17360.0
2000-04-07 00:00:00,4.35,4.35,4.08,4.3,12800.0,55040.0
2000-04-10 00:00:00,4.38,4.38,4.36,4.36,5600.0,24416.0
2000-04-12 00:00:00,4.35,4.64,4.35,4.64,20000.0,92800.0
2000-04-13 00:00:00,4.73,4.73,4.37,4.37,4160.0,18179.2
2000-04-17 00:00:00,4.6,4.6,4.03,4.14,4800.0,19872.0
2000-04-18 00:00:00,4.46,4.46,4.46,4.46,4000.0,17840.0
2000-04-20 00:00:00,4.11,4.11,4.11,4.11,2400.0,9864.0
2000-04-24 00:00:00,4.3,4.3,4.3,4.3,5600.0,24080.0
2000-04-26 00:00:00,4.3,4.45,4.3,4.41,16800.0,74088.0
2000-04-27 00:00:00,4.3,4.46,4.08,4.08,4800.0,19584.0
2000-04-28 00:00:00,4.09,4.09,3.87,3.99,5600.0,22344.0
2000-05-02 00:00:00,3.7,3.7,3.7,3.7,1600.0,5920.0
2000-05-03 00:00:00,3.43,3.43,3.43,3.43,800.0,2744.0
2000-05-04 00:00:00,3.92,4.26,3.92,4.26,5200.0,22152.0
2000-05-05 00:00:00,3.98,3.98,3.97,3.97,1600.0,6352.0
2000-05-08 00:00:00,3.81,3.81,3.81,3.81,3200.0,12192.0
2000-05-09 00:00:00,3.81,3.81,3.81,3.81,800.0,3048.0
2000-05-10 00:00:00,3.81,3.81,3.81,3.81,4800.0,18288.0
2000-05-11 00:00:00,3.76,3.76,3.71,3.71,2400.0,8904.0
2000-05-12 00:00:00,3.81,3.97,3.81,3.95,13600.0,53720.0
2000-05-15 00:00:00,3.81,3.81,3.81,3.81,800.0,3048.0
