timestamps,open,high,low,close,volume,amount
2006-12-15 00:00:00,5.6,5.6,5.6,5.6,0.0,0.0
2006-12-18 00:00:00,6.0,6.29,5.1,5.5,54137880.0,297758340.0
2006-12-19 00:00:00,5.34,5.75,5.09,5.56,50381840.0,280123030.4
2006-12-20 00:00:00,5.45,5.5,5.17,5.21,9724970.0,50667093.7
2006-12-21 00:00:00,5.22,5.28,5.03,5.05,4309080.0,21760854.0
2006-12-22 00:00:00,5.08,5.1,4.83,4.85,3014650.0,14621052.499999998
2006-12-26 00:00:00,4.9,5.0,4.61,4.67,2800180.0,13076840.6
2006-12-27 00:00:00,4.74,4.95,4.6,4.73,5918350.0,27993795.500000004
2006-12-28 00:00:00,4.77,4.79,4.55,4.58,1736180.0,7951704.4
2006-12-29 00:00:00,4.63,4.79,4.55,4.72,2559710.0,12081831.2
2007-01-02 00:00:00,4.78,5.24,4.69,5.03,8524900.0,42880247.0
2007-01-03 00:00:00,5.1,5.17,4.9,5.01,4492920.0,22509529.2
2007-01-04 00:00:00,5.06,5.14,4.88,4.94,2457570.0,12140395.8
2007-01-05 00:00:00,4.9,5.05,4.8,4.84,1618310.0,7832620.399999999
2007-01-08 00:00:00,4.8,4.98,4.72,4.76,1412990.0,6725832.399999999
2007-01-09 00:00:00,4.81,4.85,4.65,4.68,914640.0,4280515.2
2007-01-10 00:00:00,4.72,4.83,4.64,4.67,831890.0,3884926.3
2007-01-11 00:00:00,4.67,4.93,4.67,4.72,1767420.0,8342222.399999999
2007-01-12 00:00:00,4.79,5.07,4.75,4.98,3616300.0,18009174.0
2007-01-15 00:00:00,5.05,5.7,4.96,5.5,13585100.0,74718050.0
2007-01-16 00:00:00,5.58,5.64,5.26,5.28,4913280.0,25942118.400000002
2007-01-17 00:00:00,5.3,5.63,5.3,5.47,4693200.0,25671804.0
2007-01-18 00:00:00,5.55,5.67,5.31,5.4,1929900.0,10421460.0
2007-01-19 00:00:00,5.5,5.5,5.24,5.27,675650.0,3560675.4999999995
2007-01-22 00:00:00,5.35,5.59,5.28,5.36,922390.0,4944010.4
2007-01-23 00:00:00,5.4,5.43,5.13,5.17,549140.0,2839053.8
2007-01-24 00:00:00,5.2,5.3,5.01,5.09,764260.0,3890083.4
2007-01-25 00:00:00,5.12,5.31,5.11,5.18,671250.0,3477075.0
2007-01-29 00:00:00,5.18,5.35,5.18,5.21,613770.0,3197741.7
2007-01-31 00:00:00,5.21,5.29,5.08,5.11,345820.0,1767140.2000000002
2007-02-01 00:00:00,5.11,5.19,5.03,5.06,218910.0,1107684.5999999999
2007-02-02 00:00:00,5.06,5.18,5.05,5.07,319300.0,1618851.0
2007-02-05 00:00:00,5.07,5.44,5.05,5.31,1640700.0,8712117.0
2007-02-06 00:00:00,5.38,5.84,5.38,5.56,13973150.0,77690714.0
2007-02-07 00:00:00,5.62,5.7,5.33,5.37,4013540.0,21552709.8
2007-02-08 00:00:00,5.4,5.63,5.18,5.23,1296430.0,6780328.9
2007-02-09 00:00:00,5.25,5.28,5.0,5.02,1279000.0,6420579.999999999
2007-02-12 00:00:00,5.02,5.02,4.63,4.67,818340.0,3821647.8
2007-02-13 00:00:00,4.63,4.83,4.63,4.65,563100.0,2618415.0
2007-02-14 00:00:00,4.56,4.69,4.42,4.6,695640.0,3199943.9999999995
2007-02-15 00:00:00,4.65,4.91,4.65,4.81,1313600.0,6318415.999999999
2007-02-19 00:00:00,4.61,5.14,4.61,4.97,974740.0,4844457.8
2007-02-20 00:00:00,5.0,5.02,4.76,4.81,786800.0,3784507.9999999995
2007-02-21 00:00:00,4.83,4.92,4.71,4.75,290710.0,1380872.5
2007-02-22 00:00:00,4.78,4.83,4.65,4.67,214010.0,999426.7
2007-02-23 00:00:00,4.65,4.72,4.41,4.45,558050.0,2483322.5
2007-02-26 00:00:00,4.53,4.59,3.56,4.47,414920.0,1854692.4
2007-02-27 00:00:00,4.59,4.65,4.5,4.54,295830.0,1343068.2
2007-02-28 00:00:00,3.9,4.45,3.85,4.27,722720.0,3086014.4
2007-03-01 00:00:00,4.4,4.45,4.01,4.25,466200.0,1981350.0
2007-03-02 00:00:00,4.45,4.59,4.3,4.39,910870.0,3998719.3
2007-03-05 00:00:00,4.3,4.31,3.88,3.92,730500.0,2863560.0
2007-03-06 00:00:00,4.02,4.09,3.88,3.95,405890.0,1603265.5
2007-03-07 00:00:00,3.85,4.03,3.85,3.91,429880.0,1680830.8
2007-03-08 00:00:00,3.85,4.21,3.85,4.18,508760.0,2126616.8
2007-03-09 00:00:00,4.1,4.15,4.03,4.05,242920.0,983826.0
2007-03-12 00:00:00,4.14,4.17,4.0,4.14,380220.0,1574110.7999999998
2007-03-13 00:00:00,4.11,4.17,3.96,4.11,353790.0,1454076.9000000001
2007-03-14 00:00:00,3.95,4.1,3.94,4.01,497360.0,1994413.5999999999
2007-03-15 00:00:00,4.15,4.2,4.08,4.13,365020.0,1507532.5999999999
2007-03-16 00:00:00,4.1,4.43,4.09,4.33,405770.0,1756984.1
2007-03-19 00:00:00,4.4,5.19,4.3,5.18,5819280.0,30143870.4
2007-03-20 00:00:00,5.25,5.47,4.83,4.87,2526140.0,12302301.8
2007-03-21 00:00:00,4.9,5.0,4.56,4.65,1063790.0,4946623.5
2007-03-22 00:00:00,4.7,5.15,4.56,4.95,2352010.0,11642449.5
2007-03-23 00:00:00,4.98,4.98,4.73,4.78,450820.0,2154919.6
2007-03-26 00:00:00,4.71,4.79,4.6,4.61,282960.0,1304445.6
2007-03-28 00:00:00,4.56,4.62,4.33,4.38,472220.0,2068323.5999999999
2007-03-29 00:00:00,4.45,4.74,4.35,4.54,427060.0,1938852.4
2007-03-30 00:00:00,4.58,4.69,4.56,4.62,300070.0,1386323.4000000001
2007-04-02 00:00:00,4.5,4.55,4.41,4.47,186280.0,832671.6
2007-04-03 00:00:00,4.5,4.55,4.43,4.47,186240.0,832492.7999999999
2007-04-04 00:00:00,4.65,4.65,4.46,4.59,194070.0,890781.2999999999
2007-04-05 00:00:00,4.47,4.78,4.42,4.65,397900.0,1850235.0000000002
2007-04-09 00:00:00,4.63,4.7,4.55,4.59,226010.0,1037385.9
2007-04-10 00:00:00,4.6,4.77,4.6,4.64,238450.0,1106408.0
2007-04-11 00:00:00,4.65,4.95,4.65,4.81,1046540.0,5033857.399999999
2007-04-12 00:00:00,4.8,4.85,4.56,4.77,297640.0,1419742.7999999998
2007-04-13 00:00:00,4.75,4.88,4.71,4.78,299100.0,1429698.0
2007-04-16 00:00:00,4.89,4.99,4.6,4.82,670440.0,3231520.8000000003
2007-04-17 00:00:00,4.85,4.96,4.83,4.88,342260.0,1670228.8
2007-04-18 00:00:00,5.0,5.25,5.0,5.1,2267650.0,11565015.0
2007-04-19 00:00:00,5.13,5.49,5.0,5.21,3347610.0,17441048.1
2007-04-20 00:00:00,5.33,5.54,5.29,5.34,2003920.0,10700932.799999999
2007-04-23 00:00:00,5.4,5.44,5.15,5.19,628930.0,3264146.7
2007-04-24 00:00:00,5.25,5.25,5.1,5.12,341060.0,1746227.2
2007-04-25 00:00:00,5.15,5.33,5.1,5.18,876910.0,4542393.8
2007-04-26 00:00:00,5.23,5.3,5.07,5.25,1245200.0,6537300.0
2007-04-27 00:00:00,5.32,5.45,5.15,5.21,2904680.0,15133382.8
2007-04-30 00:00:00,5.25,5.26,5.1,5.18,600870.0,3112506.5999999996
2007-05-03 00:00:00,5.35,5.38,5.2,5.23,718080.0,3755558.4000000004
2007-05-04 00:00:00,5.26,5.26,4.96,5.0,615480.0,3077400.0
2007-05-07 00:00:00,5.0,5.05,4.77,4.8,336840.0,1616832.0
2007-05-08 00:00:00,4.8,4.94,4.7,4.76,434670.0,2069029.2
2007-05-09 00:00:00,4.45,4.77,4.45,4.69,177140.0,830786.6000000001
2007-05-10 00:00:00,4.68,4.78,4.64,4.66,143210.0,667358.6
2007-05-11 00:00:00,4.64,4.74,4.6,4.63,146970.0,680471.1
2007-05-14 00:00:00,4.78,4.98,4.67,4.87,708030.0,3448106.1
2007-05-15 00:00:00,4.95,5.14,4.8,5.01,1112330.0,5572773.3
2007-05-16 00:00:00,5.0,5.4,5.0,5.18,5782610.0,29953919.799999997
2007-05-17 00:00:00,5.24,5.3,4.9,4.94,1049340.0,5183739.600000001
2007-05-18 00:00:00,5.0,5.28,4.85,5.16,2132140.0,11001842.4
2007-05-21 00:00:00,5.24,5.3,5.0,5.04,805680.0,4060627.2
2007-05-22 00:00:00,5.08,5.1,4.87,4.91,733310.0,3600552.1
2007-05-23 00:00:00,4.91,4.99,4.72,4.77,584920.0,2790068.4
