timestamps,open,high,low,close,volume,amount
2007-09-10 00:00:00,41.25,41.25,41.25,41.25,0.0,0.0
2007-09-11 00:00:00,49.95,49.95,45.65,48.87,74384980.0,3635193972.6
2007-09-12 00:00:00,49.25,49.73,47.88,48.18,15017060.0,723521950.8
2007-09-13 00:00:00,48.25,48.47,46.85,47.23,6512940.0,307606156.2
2007-09-14 00:00:00,47.5,50.74,47.25,48.48,21196560.0,1027609228.8
2007-09-17 00:00:00,48.75,49.64,48.2,48.35,3755940.0,181599699.0
2007-09-18 00:00:00,48.48,48.9,47.67,47.85,2250140.0,107669199.0
2007-09-19 00:00:00,48.45,49.64,48.11,48.34,3251140.0,157160107.60000002
2007-09-20 00:00:00,48.7,49.6,47.93,48.91,3770820.0,184430806.2
2007-09-21 00:00:00,48.9,50.45,48.65,49.6,4870200.0,241561920.0
2007-09-24 00:00:00,49.5,54.25,49.4,53.31,7700220.0,410498728.2
2007-09-25 00:00:00,53.15,53.15,48.81,50.85,4659340.0,236927439.0
2007-09-26 00:00:00,51.47,51.9,49.85,50.19,754940.0,37890438.6
2007-09-27 00:00:00,50.7,51.03,50.25,50.82,508660.0,25850101.2
2007-09-28 00:00:00,50.96,55.3,50.55,54.23,3545140.0,192252942.2
2007-10-01 00:00:00,54.5,55.35,52.75,53.24,795360.0,42344966.4
2007-10-03 00:00:00,53.95,57.3,52.53,54.33,1429180.0,77647349.39999999
2007-10-04 00:00:00,54.6,56.25,53.3,54.7,733660.0,40131202.0
2007-10-05 00:00:00,55.5,56.25,54.57,54.96,563840.0,30988646.400000002
2007-10-08 00:00:00,55.9,55.9,54.0,55.11,706660.0,38944032.6
2007-10-09 00:00:00,54.5,56.5,52.55,55.69,395800.0,22042102.0
2007-10-10 00:00:00,56.1,62.2,56.1,61.02,1919900.0,117152298.0
2007-10-11 00:00:00,61.95,64.15,60.25,61.61,839700.0,51733917.0
2007-10-12 00:00:00,61.95,64.5,60.6,62.06,617340.0,38312120.4
2007-10-15 00:00:00,62.2,64.13,61.55,62.34,373340.0,23274015.6
2007-10-16 00:00:00,62.0,65.6,61.51,64.28,859840.0,55270515.2
2007-10-17 00:00:00,51.55,62.4,51.5,59.99,681540.0,40885584.6
2007-10-18 00:00:00,61.2,65.5,58.0,58.68,810280.0,47547230.4
2007-10-19 00:00:00,60.25,60.95,54.26,55.12,282920.0,15594550.399999999
2007-10-22 00:00:00,54.95,55.0,51.5,52.48,317220.0,16647705.6
2007-10-23 00:00:00,54.95,56.85,54.0,55.03,249240.0,13715677.200000001
2007-10-24 00:00:00,57.45,57.45,55.0,55.43,175540.0,9730182.2
2007-10-25 00:00:00,56.0,57.55,55.55,55.84,143880.0,8034259.2
2007-10-26 00:00:00,57.2,59.88,55.25,59.48,368900.0,21942172.0
2007-10-29 00:00:00,60.5,62.25,59.0,59.28,208500.0,12359880.0
2007-10-30 00:00:00,59.3,60.0,55.5,56.2,172840.0,9713608.0
2007-10-31 00:00:00,55.05,58.0,54.0,54.47,226460.0,12335276.2
2007-11-01 00:00:00,55.1,57.0,55.0,55.67,131860.0,7340646.2
2007-11-02 00:00:00,54.0,57.25,54.0,55.85,166540.0,9301259.0
2007-11-05 00:00:00,55.0,61.55,55.0,60.25,425820.0,25655655.0
2007-11-06 00:00:00,60.55,60.75,59.25,59.5,376100.0,22377950.0
2007-11-07 00:00:00,63.0,64.9,60.35,62.8,648900.0,40750920.0
2007-11-08 00:00:00,59.8,66.95,58.75,63.96,524320.0,33535507.2
2007-11-09 00:00:00,64.0,66.75,63.5,63.93,96200.0,6150066.0
2007-11-12 00:00:00,62.75,70.5,61.3,69.61,804060.0,55970616.6
2007-11-13 00:00:00,67.75,74.55,67.75,70.11,668460.0,46865730.6
2007-11-14 00:00:00,71.95,73.25,69.5,71.42,217860.0,15559561.200000001
2007-11-15 00:00:00,72.5,85.71,70.1,85.71,1214560.0,104099937.6
2007-11-16 00:00:00,87.75,97.5,82.05,83.43,1774620.0,148056546.60000002
2007-11-19 00:00:00,85.85,85.85,81.25,82.23,346180.0,28466381.400000002
2007-11-20 00:00:00,81.49,88.4,78.3,79.39,520560.0,41327258.4
2007-11-21 00:00:00,81.0,82.25,73.0,75.35,532320.0,40110312.0
2007-11-22 00:00:00,77.5,77.95,69.06,74.13,243240.0,18031381.2
2007-11-23 00:00:00,75.1,81.25,75.0,80.27,354640.0,28466952.799999997
2007-11-26 00:00:00,84.5,84.5,80.25,83.42,171700.0,14323214.0
2007-11-27 00:00:00,82.5,83.5,81.25,82.82,123060.0,10191829.2
2007-11-28 00:00:00,85.0,86.25,82.0,82.93,110740.0,9183668.200000001
2007-11-29 00:00:00,84.85,84.85,82.9,83.56,137820.0,11516239.200000001
2007-11-30 00:00:00,81.25,89.95,81.25,85.95,275960.0,23718762.0
2007-12-03 00:00:00,88.0,88.95,84.0,87.2,114740.0,10005328.0
2007-12-04 00:00:00,86.26,88.35,85.0,86.6,112580.0,9749428.0
2007-12-05 00:00:00,86.51,90.5,86.51,88.61,326680.0,28947114.8
2007-12-06 00:00:00,91.35,96.0,89.25,94.11,549580.0,51720973.8
2007-12-07 00:00:00,95.4,95.95,90.5,91.49,165120.0,15106828.799999999
2007-12-10 00:00:00,93.4,95.5,92.55,93.58,167580.0,15682136.4
2007-12-11 00:00:00,94.4,97.43,92.76,93.64,213680.0,20008995.2
2007-12-12 00:00:00,93.35,95.0,88.77,90.45,135880.0,12290346.0
2007-12-13 00:00:00,93.04,94.0,87.5,88.85,199000.0,17681150.0
2007-12-14 00:00:00,90.5,91.0,87.5,88.27,78700.0,6946849.0
2007-12-17 00:00:00,90.5,90.5,84.78,85.63,93960.0,8045794.8
2007-12-18 00:00:00,84.5,86.65,84.0,85.32,100540.0,8578072.799999999
2007-12-19 00:00:00,87.1,87.9,81.75,82.45,198180.0,16339941.0
2007-12-20 00:00:00,87.5,87.5,82.0,82.69,70820.0,5856105.8
2007-12-24 00:00:00,86.2,86.25,83.55,85.8,53640.0,4602312.0
2007-12-26 00:00:00,86.75,89.4,85.9,88.38,117300.0,10366974.0
2007-12-27 00:00:00,89.75,89.75,87.05,88.75,57920.0,5140400.0
2007-12-28 00:00:00,87.0,89.2,87.0,88.09,54320.0,4785048.8
2007-12-31 00:00:00,89.48,94.75,89.0,92.3,169560.0,15650388.0
2008-01-01 00:00:00,90.0,93.2,90.0,92.03,52840.0,4862865.2
2008-01-02 00:00:00,92.5,100.2,92.1,96.27,418560.0,40294771.199999996
2008-01-03 00:00:00,95.05,111.7,94.5,105.48,1144800.0,120753504.0
2008-01-04 00:00:00,106.25,113.5,105.5,107.9,419440.0,45257576.0
2008-01-07 00:00:00,107.48,108.7,102.5,102.74,292860.0,30088436.4
