timestamps,open,high,low,close,volume,amount
2001-01-31 00:00:00,0.1,0.1,0.1,0.1,54000.0,5400.0
2001-02-01 00:00:00,0.1,0.1,0.1,0.1,450000.0,45000.0
2001-02-02 00:00:00,0.11,0.11,0.11,0.11,36000.0,3960.0
2001-02-05 00:00:00,0.12,0.12,0.12,0.12,45000.0,5400.0
2001-02-06 00:00:00,0.13,0.13,0.13,0.13,45000.0,5850.0
2001-02-07 00:00:00,0.14,0.14,0.14,0.14,45000.0,6300.000000000001
2001-02-08 00:00:00,0.15,0.15,0.15,0.15,45000.0,6750.0
2001-02-09 00:00:00,0.16,0.16,0.16,0.16,90000.0,14400.0
2001-02-12 00:00:00,0.18,0.18,0.18,0.18,90000.0,16200.0
2001-02-13 00:00:00,0.19,0.19,0.19,0.19,90000.0,17100.0
2001-02-14 00:00:00,0.2,0.2,0.18,0.2,657000.0,131400.0
2001-02-15 00:00:00,0.22,0.22,0.22,0.22,225000.0,49500.0
2001-02-16 00:00:00,0.24,0.24,0.24,0.24,9000.0,2160.0
2001-02-20 00:00:00,0.26,0.26,0.26,0.26,9000.0,2340.0
2001-02-23 00:00:00,0.28,0.28,0.28,0.28,765000.0,214200.00000000003
2001-02-26 00:00:00,0.3,0.3,0.26,0.29,225000.0,65249.99999999999
2001-02-27 00:00:00,0.31,0.31,0.27,0.28,108000.0,30240.000000000004
2001-02-28 00:00:00,0.28,0.28,0.28,0.28,18000.0,5040.000000000001
2001-03-01 00:00:00,0.28,0.29,0.28,0.28,162000.0,45360.00000000001
2001-03-02 00:00:00,0.3,0.3,0.26,0.26,468000.0,121680.0
2001-03-05 00:00:00,0.26,0.26,0.26,0.26,9000.0,2340.0
2001-03-13 00:00:00,0.24,0.24,0.24,0.24,18000.0,4320.0
2001-03-16 00:00:00,0.22,0.22,0.22,0.22,9000.0,1980.0
2001-03-19 00:00:00,0.21,0.21,0.2,0.2,90000.0,18000.0
2001-03-20 00:00:00,0.19,0.19,0.19,0.19,9000.0,1710.0
2001-03-21 00:00:00,0.2,0.2,0.18,0.18,90000.0,16200.0
2001-03-22 00:00:00,0.17,0.18,0.17,0.18,450000.0,81000.0
2001-03-23 00:00:00,0.18,0.18,0.16,0.16,981000.0,156960.0
2001-03-26 00:00:00,0.16,0.16,0.15,0.15,900000.0,135000.0
2001-03-27 00:00:00,0.14,0.14,0.14,0.14,675000.0,94500.00000000001
2001-03-28 00:00:00,0.15,0.15,0.15,0.15,198000.0,29700.0
2001-03-29 00:00:00,0.16,0.16,0.15,0.15,180000.0,27000.0
2001-03-30 00:00:00,0.16,0.16,0.16,0.16,576000.0,92160.0
2001-04-02 00:00:00,0.17,0.17,0.17,0.17,9000.0,1530.0
2001-04-03 00:00:00,0.18,0.18,0.18,0.18,9000.0,1620.0
2001-04-06 00:00:00,0.17,0.17,0.17,0.17,63000.0,10710.0
2001-04-09 00:00:00,0.18,0.18,0.18,0.18,9000.0,1620.0
2001-04-11 00:00:00,0.19,0.19,0.19,0.19,9000.0,1710.0
2001-04-16 00:00:00,0.2,0.2,0.18,0.18,45000.0,8100.0
2001-04-19 00:00:00,0.18,0.18,0.18,0.18,9000.0,1620.0
2001-04-20 00:00:00,0.18,0.19,0.18,0.19,18000.0,3420.0
2001-04-23 00:00:00,0.21,0.21,0.21,0.21,9000.0,1890.0
2001-04-25 00:00:00,0.19,0.19,0.19,0.19,9000.0,1710.0
2001-04-26 00:00:00,0.2,0.2,0.2,0.2,18000.0,3600.0
2001-04-27 00:00:00,0.19,0.19,0.19,0.19,9000.0,1710.0
2001-04-30 00:00:00,0.18,0.18,0.18,0.18,9000.0,1620.0
2001-05-14 00:00:00,0.19,0.19,0.19,0.19,9000.0,1710.0
2001-05-15 00:00:00,0.2,0.2,0.2,0.2,9000.0,1800.0
2001-05-16 00:00:00,0.22,0.22,0.22,0.22,9000.0,1980.0
2001-05-17 00:00:00,0.24,0.24,0.24,0.24,45000.0,10800.0
2001-05-18 00:00:00,0.26,0.26,0.24,0.26,117000.0,30420.0
2001-05-21 00:00:00,0.27,0.28,0.27,0.28,36000.0,10080.000000000002
2001-05-22 00:00:00,0.3,0.3,0.27,0.28,81000.0,22680.000000000004
2001-05-23 00:00:00,0.29,0.3,0.28,0.29,135000.0,39150.0
2001-05-24 00:00:00,0.27,0.27,0.27,0.27,126000.0,34020.0
2001-05-25 00:00:00,0.26,0.26,0.25,0.25,171000.0,42750.0
