timestamps,open,high,low,close,volume,amount
2011-09-26 00:00:00,20.0,49.0,17.51,41.17,292492350.0,12041910049.5
2011-09-27 00:00:00,43.9,49.4,37.63,49.4,73955200.0,3653386880.0
2011-09-28 00:00:00,46.99,54.8,39.52,39.52,67894080.0,2683174041.6000004
2011-09-29 00:00:00,31.62,41.4,31.62,32.36,35858630.0,1160385266.8
2011-09-30 00:00:00,26.01,36.4,25.89,31.21,39241800.0,1224736578.0
2011-10-03 00:00:00,24.97,27.65,24.97,25.09,14495190.0,363684317.1
2011-10-04 00:00:00,23.0,24.9,22.59,22.6,3290630.0,74368238.0
2011-10-05 00:00:00,22.4,22.4,20.34,21.29,6551510.0,139481647.9
2011-10-07 00:00:00,21.29,22.4,20.2,21.66,5138510.0,111300126.6
2011-10-10 00:00:00,21.6,21.84,20.61,21.15,2535870.0,53633650.5
2011-10-11 00:00:00,21.0,22.3,20.6,21.77,2573060.0,56015516.199999996
2011-10-12 00:00:00,22.15,23.2,21.47,23.01,2450900.0,56395209.00000001
2011-10-13 00:00:00,23.03,23.6,22.6,22.74,1759310.0,40006709.4
2011-10-14 00:00:00,22.55,23.3,22.1,22.81,1439400.0,32832714.0
2011-10-17 00:00:00,23.6,23.6,22.4,23.33,1125820.0,26265380.599999998
2011-10-18 00:00:00,23.0,24.59,22.6,22.83,4316690.0,98550032.69999999
2011-10-19 00:00:00,22.99,23.35,21.79,22.52,271130.0,6105847.6
2011-10-20 00:00:00,22.21,22.78,22.05,22.38,1506940.0,33725317.199999996
2011-10-21 00:00:00,22.21,23.09,21.2,21.61,1367670.0,29555348.7
2011-10-24 00:00:00,21.83,22.5,21.5,22.12,882200.0,19514264.0
2011-10-25 00:00:00,22.1,22.3,21.45,21.73,644920.0,14014111.6
2011-10-26 00:00:00,22.25,22.35,21.74,22.1,182660.0,4036786.0000000005
2011-10-28 00:00:00,22.4,22.48,20.99,21.66,106350.0,2303541.0
2011-10-31 00:00:00,21.67,22.0,21.41,21.55,982010.0,21162315.5
2011-11-01 00:00:00,21.56,21.8,21.31,21.4,666500.0,14263099.999999998
2011-11-02 00:00:00,21.29,21.29,20.51,20.81,859760.0,17891605.599999998
2011-11-03 00:00:00,22.2,22.2,20.6,21.22,867320.0,18404530.4
2011-11-04 00:00:00,21.3,21.95,20.9,21.22,186610.0,3959864.1999999997
2011-11-08 00:00:00,21.29,21.92,20.76,21.53,693680.0,14934930.4
2011-11-09 00:00:00,21.36,21.62,21.03,21.1,29260.0,617386.0
2011-11-11 00:00:00,21.1,21.6,20.04,20.67,114270.0,2361960.9000000004
2011-11-14 00:00:00,21.1,22.61,20.5,20.87,595550.0,12429128.5
2011-11-15 00:00:00,21.41,21.44,20.2,20.47,36540.0,747973.7999999999
2011-11-16 00:00:00,20.5,20.9,19.82,20.49,192610.0,3946578.9
2011-11-17 00:00:00,20.35,20.6,19.41,20.0,151060.0,3021200.0
2011-11-18 00:00:00,19.61,19.88,18.52,19.02,210180.0,3997623.6
2011-11-21 00:00:00,18.43,19.1,18.2,18.81,217670.0,4094372.6999999997
2011-11-22 00:00:00,18.0,18.65,17.58,18.03,326290.0,5883008.7
2011-11-23 00:00:00,19.99,19.99,16.5,16.7,56130.0,937371.0
2011-11-24 00:00:00,16.35,16.69,14.85,16.26,533070.0,8667718.200000001
2011-11-25 00:00:00,16.0,16.5,15.9,16.42,54500.0,894890.0000000001
2011-11-28 00:00:00,16.55,18.4,16.42,18.02,230240.0,4148924.8
2011-11-29 00:00:00,18.2,18.2,17.66,18.06,385650.0,6964838.999999999
2011-11-30 00:00:00,18.1,19.35,17.71,19.01,63930.0,1215309.3
2011-12-01 00:00:00,19.6,19.6,18.01,19.05,62510.0,1190815.5
2011-12-02 00:00:00,18.85,19.79,18.6,19.44,43940.0,854193.6000000001
2011-12-05 00:00:00,19.7,20.38,19.66,19.99,20470.0,409195.3
2011-12-07 00:00:00,18.8,20.3,18.8,20.12,288580.0,5806229.600000001
2011-12-08 00:00:00,19.49,19.68,19.02,19.51,97430.0,1900859.3
2011-12-09 00:00:00,19.79,20.1,19.0,19.67,437610.0,8607788.700000001
2011-12-12 00:00:00,19.71,22.34,19.6,21.2,783260.0,16605112.0
2011-12-13 00:00:00,21.2,23.33,21.2,22.68,813690.0,18454489.2
2011-12-14 00:00:00,23.1,23.4,21.81,22.18,251990.0,5589138.2
2011-12-15 00:00:00,21.84,22.1,21.2,21.82,97290.0,2122867.8
2011-12-16 00:00:00,21.54,22.28,21.11,21.44,210940.0,4522553.600000001
2011-12-19 00:00:00,21.3,21.3,20.63,20.92,31750.0,664210.0
2011-12-20 00:00:00,21.35,21.5,20.21,21.19,28490.0,603703.1000000001
2011-12-21 00:00:00,21.4,23.0,20.51,20.95,178990.0,3749840.5
2011-12-22 00:00:00,20.85,21.2,19.6,20.27,54830.0,1111404.0999999999
2011-12-23 00:00:00,20.04,20.1,19.3,19.54,35510.0,693865.4
2011-12-26 00:00:00,19.51,20.4,19.51,19.91,174670.0,3477679.7
2011-12-27 00:00:00,20.0,20.29,19.4,19.57,4680.0,91587.6
2011-12-28 00:00:00,19.5,20.09,18.1,19.08,89650.0,1710521.9999999998
2011-12-29 00:00:00,15.27,17.0,15.27,15.78,750370.0,11840838.6
2011-12-30 00:00:00,14.9,15.2,14.04,14.51,427560.0,6203895.6
2012-01-02 00:00:00,14.4,14.4,13.11,13.51,174720.0,2360467.2
2012-01-03 00:00:00,13.5,14.18,13.43,13.63,82830.0,1128972.9000000001
2012-01-04 00:00:00,13.27,13.68,12.98,13.56,42830.0,580774.8
2012-01-05 00:00:00,12.51,13.5,12.51,12.78,13340.0,170485.19999999998
2012-01-06 00:00:00,12.7,13.3,12.31,12.9,37260.0,480654.0
2012-01-07 00:00:00,12.9,13.2,12.8,12.98,170.0,2206.6
2012-01-09 00:00:00,13.1,13.9,13.1,13.7,742290.0,10169373.0
2012-01-10 00:00:00,13.9,14.1,13.86,14.1,408420.0,5758722.0
2012-01-11 00:00:00,14.04,14.2,13.86,14.17,4940.0,69999.8
2012-01-12 00:00:00,14.0,14.2,14.0,14.19,12620.0,179077.8
2012-01-13 00:00:00,13.84,14.6,13.5,14.5,569080.0,8251660.0
2012-01-16 00:00:00,14.45,15.3,14.4,14.99,11800.0,176882.0
2012-01-17 00:00:00,14.9,15.55,14.9,15.51,888900.0,13786839.0
2012-01-18 00:00:00,15.74,16.5,15.5,16.08,270670.0,4352373.6
2012-01-19 00:00:00,16.2,16.5,15.85,16.0,12960.0,207360.0
2012-01-20 00:00:00,16.0,16.27,15.13,15.51,35000.0,542850.0
2012-01-23 00:00:00,15.6,16.2,15.6,15.87,13590.0,215673.3
2012-01-24 00:00:00,15.4,15.5,15.0,15.18,378070.0,5739102.6
2012-01-25 00:00:00,15.0,16.69,15.0,16.69,351920.0,5873544.800000001
2012-01-27 00:00:00,16.95,17.29,16.5,16.7,510980.0,8533366.0
2012-01-30 00:00:00,16.5,17.38,16.3,17.24,916170.0,15794770.799999999
2012-01-31 00:00:00,16.9,17.3,16.85,17.1,535430.0,9155853.0
2012-02-01 00:00:00,15.85,17.29,15.85,16.96,398410.0,6757033.600000001
2012-02-02 00:00:00,17.1,17.68,16.73,17.5,681570.0,11927475.0
2012-02-03 00:00:00,17.7,18.5,17.1,17.98,45830.0,824023.4
2012-02-06 00:00:00,17.5,18.99,17.5,18.79,275100.0,5169129.0
2012-02-07 00:00:00,18.5,19.5,18.5,19.0,432910.0,8225290.0
2012-02-08 00:00:00,18.9,18.9,18.5,18.65,345370.0,6441150.499999999
2012-02-09 00:00:00,18.9,18.9,18.6,18.81,223110.0,4196699.1
2012-02-10 00:00:00,18.9,19.6,18.5,19.31,21820.0,421344.19999999995
2012-02-13 00:00:00,19.3,19.4,19.0,19.13,5790.0,110762.7
2012-02-14 00:00:00,18.9,19.2,18.8,19.1,214380.0,4094658.0000000005
2012-02-15 00:00:00,19.18,19.39,19.18,19.31,1550.0,29930.499999999996
2012-02-16 00:00:00,19.0,19.0,18.41,18.85,143180.0,2698943.0
2012-02-17 00:00:00,18.6,18.93,18.3,18.92,745960.0,14113563.200000001
2012-02-21 00:00:00,17.33,19.0,17.33,19.0,280600.0,5331400.0
2012-02-22 00:00:00,19.0,19.8,18.9,19.6,11890.0,233044.00000000003
2012-02-23 00:00:00,19.6,19.65,19.21,19.6,14240.0,279104.0
2012-02-24 00:00:00,20.1,21.33,19.1,20.01,462330.0,9251223.3
2012-02-27 00:00:00,19.7,20.12,19.0,19.8,3700.0,73260.0
2012-02-28 00:00:00,19.2,21.3,19.0,20.53,964920.0,19809807.6
2012-02-29 00:00:00,20.5,21.08,20.36,20.6,61940.0,1275964.0
2012-03-01 00:00:00,20.4,20.8,20.2,20.49,629580.0,12900094.2
2012-03-02 00:00:00,20.0,21.0,20.0,20.24,340.0,6881.599999999999
2012-03-03 00:00:00,20.0,22.09,20.0,20.97,154030.0,3230009.0999999996
2012-03-05 00:00:00,20.01,21.4,20.0,20.92,6760.0,141419.2
2012-03-06 00:00:00,20.0,25.1,20.0,25.1,477210.0,11977971.0
2012-03-07 00:00:00,25.88,26.88,24.0,25.3,592460.0,14989238.0
2012-03-09 00:00:00,25.44,26.74,25.2,26.25,181810.0,4772512.5
2012-03-12 00:00:00,26.1,26.34,25.71,26.06,13470.0,351028.2
2012-03-13 00:00:00,25.0,25.5,23.5,24.05,18570.0,446608.5
2012-03-14 00:00:00,24.22,24.22,22.6,22.94,17670.0,405349.80000000005
2012-03-15 00:00:00,22.79,23.07,22.1,22.51,77620.0,1747226.2000000002
2012-03-16 00:00:00,21.46,21.51,21.38,21.4,377070.0,8069297.999999999
2012-03-19 00:00:00,21.3,21.5,20.53,21.49,50710.0,1089757.9
2012-03-20 00:00:00,20.53,22.4,20.43,22.13,3900.0,86307.0
2012-03-21 00:00:00,21.11,21.87,21.11,21.87,1110.0,24275.7
2012-03-22 00:00:00,20.8,21.4,20.78,21.39,4040.0,86415.6
2012-03-23 00:00:00,20.33,21.99,20.33,21.2,13220.0,280264.0
2012-03-26 00:00:00,20.16,21.0,20.15,20.18,16460.0,332162.8
2012-03-27 00:00:00,20.2,20.79,19.17,19.18,19580.0,375544.4
2012-03-28 00:00:00,19.18,20.13,18.45,20.0,362900.0,7258000.0
2012-03-29 00:00:00,19.1,20.15,19.1,20.15,1660.0,33449.0
2012-03-30 00:00:00,19.2,21.0,19.15,20.79,94250.0,1959457.5
2012-04-02 00:00:00,19.76,20.6,19.76,20.17,270.0,5445.900000000001
2012-04-03 00:00:00,19.2,20.7,19.2,20.48,790.0,16179.2
2012-04-04 00:00:00,19.9,20.6,19.6,20.6,1210.0,24926.0
2012-04-09 00:00:00,19.6,20.49,19.58,20.49,2760.0,56552.399999999994
2012-04-10 00:00:00,19.47,20.36,19.47,20.19,1910.0,38562.9
2012-04-11 00:00:00,19.2,20.0,19.19,20.0,1240.0,24800.0
2012-04-12 00:00:00,19.1,19.9,19.1,19.8,1250.0,24750.0
2012-04-13 00:00:00,19.01,20.35,18.82,19.18,9260.0,177606.8
2012-04-16 00:00:00,19.01,19.99,18.51,19.89,1230.0,24464.7
2012-04-17 00:00:00,19.01,19.9,19.0,19.68,1940.0,38179.2
2012-04-18 00:00:00,19.31,19.99,18.85,19.41,1910.0,37073.1
2012-04-19 00:00:00,18.81,19.7,18.5,19.31,1700.0,32827.0
2012-04-20 00:00:00,18.76,19.85,18.5,19.85,2250.0,44662.5
2012-04-23 00:00:00,19.0,19.0,18.94,18.95,800.0,15160.0
2012-04-24 00:00:00,18.95,18.95,18.95,18.95,0.0,0.0
2012-04-25 00:00:00,18.12,19.5,18.12,19.5,7270.0,141765.0
2012-04-26 00:00:00,18.81,19.0,18.81,19.0,1200.0,22800.0
2012-04-27 00:00:00,19.0,19.0,19.0,19.0,0.0,0.0
2012-04-28 00:00:00,19.5,19.5,19.5,19.5,344000.0,6708000.0
2012-04-30 00:00:00,19.6,19.6,18.8,18.8,390.0,7332.0
2012-05-02 00:00:00,19.4,19.6,19.4,19.6,352300.0,6905080.000000001
2012-05-03 00:00:00,19.6,19.6,19.6,19.6,0.0,0.0
2012-05-04 00:00:00,19.6,19.6,19.6,19.6,0.0,0.0
2012-05-07 00:00:00,18.7,19.99,18.7,18.77,1710.0,32096.7
2012-05-08 00:00:00,18.81,19.5,17.91,19.49,480.0,9355.199999999999
2012-05-09 00:00:00,19.6,19.6,19.6,19.6,10.0,196.0
2012-05-10 00:00:00,18.81,19.0,18.81,19.0,330350.0,6276650.0
2012-05-11 00:00:00,18.07,18.97,18.07,18.97,300.0,5691.0
2012-05-14 00:00:00,18.02,19.0,18.02,18.84,4570.0,86098.8
2012-05-15 00:00:00,18.9,19.0,18.9,18.93,437000.0,8272410.0
2012-05-16 00:00:00,19.24,19.24,19.24,19.24,10.0,192.39999999999998
2012-05-17 00:00:00,18.29,19.29,18.29,18.3,210.0,3843.0
2012-05-18 00:00:00,17.61,19.0,17.61,18.3,1210.0,22143.0
2012-05-21 00:00:00,19.0,19.0,18.09,18.2,1100.0,20020.0
2012-05-22 00:00:00,17.8,18.68,17.8,18.52,3450.0,63894.0
2012-05-23 00:00:00,18.52,18.52,18.52,18.52,0.0,0.0
2012-05-24 00:00:00,18.2,18.2,18.2,18.2,366000.0,6661200.0
2012-05-25 00:00:00,17.5,18.39,17.5,18.38,1480.0,27202.399999999998
2012-05-28 00:00:00,17.49,17.52,17.49,17.52,110.0,1927.2
2012-05-29 00:00:00,18.06,18.06,18.06,18.06,10.0,180.6
2012-05-30 00:00:00,17.16,18.49,17.16,18.49,200.0,3697.9999999999995
2012-05-31 00:00:00,18.79,18.79,17.57,17.78,400.0,7112.0
2012-06-01 00:00:00,18.04,18.04,17.21,18.04,1320.0,23812.8
2012-06-04 00:00:00,17.14,17.79,17.14,17.79,250.0,4447.5
