timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,13.56,14.27,13.56,14.27,2455920.0,35045978.4
2000-01-04 00:00:00,14.66,14.66,13.66,13.85,2392200.0,33131970.0
2000-01-05 00:00:00,13.67,13.68,12.75,13.39,1145760.0,15341726.4
2000-01-06 00:00:00,13.66,13.66,13.35,13.38,1077120.0,14411865.600000001
2000-01-07 00:00:00,12.75,12.93,12.31,12.42,1978440.0,24572224.8
2000-01-10 00:00:00,12.75,13.35,11.81,11.85,1553280.0,18406368.0
2000-01-11 00:00:00,12.15,12.34,10.9,10.96,1672080.0,18325996.8
2000-01-12 00:00:00,11.25,11.58,10.11,10.57,1617840.0,17100568.8
2000-01-13 00:00:00,10.8,11.42,10.61,11.42,1984920.0,22667786.4
2000-01-14 00:00:00,11.58,12.33,11.31,12.33,3192720.0,39366237.6
2000-01-17 00:00:00,12.73,13.31,12.59,13.15,2406840.0,31649946.0
2000-01-18 00:00:00,13.12,13.31,12.77,12.83,773760.0,9927340.8
2000-01-19 00:00:00,13.04,13.31,12.85,13.12,2409000.0,31606079.999999996
2000-01-20 00:00:00,13.16,13.47,12.66,12.85,2747160.0,35301006.0
2000-01-21 00:00:00,13.12,13.88,13.12,13.88,1986000.0,27565680.0
2000-01-24 00:00:00,14.99,14.99,14.67,14.74,8432760.0,124298882.4
2000-01-25 00:00:00,14.52,15.43,14.28,15.41,3743880.0,57693190.8
2000-01-27 00:00:00,15.42,16.05,14.28,14.66,5047680.0,73998988.8
2000-01-28 00:00:00,14.9,15.2,14.33,14.82,4389720.0,65055650.4
2000-01-31 00:00:00,15.13,15.82,15.05,15.2,7241160.0,110065632.0
2000-02-01 00:00:00,15.43,16.41,15.27,16.41,11216280.0,184059154.8
2000-02-02 00:00:00,17.73,17.73,17.0,17.24,14865600.0,256282943.99999997
2000-02-03 00:00:00,17.57,17.61,16.6,17.13,5370720.0,92000433.6
2000-02-04 00:00:00,16.42,16.98,16.14,16.14,6317280.0,101960899.2
2000-02-07 00:00:00,16.43,16.96,16.42,16.69,2734920.0,45645814.800000004
2000-02-08 00:00:00,16.83,17.74,16.49,17.29,5597520.0,96781120.8
2000-02-09 00:00:00,17.37,17.6,16.52,16.59,2337360.0,38776802.4
2000-02-10 00:00:00,16.86,17.23,16.4,16.56,3160560.0,52338873.599999994
2000-02-11 00:00:00,16.78,16.78,15.82,16.13,3411960.0,55034914.8
2000-02-14 00:00:00,16.21,16.67,16.21,16.38,2435640.0,39895783.199999996
2000-02-15 00:00:00,16.22,16.44,15.76,15.97,2363880.0,37751163.6
2000-02-16 00:00:00,15.9,16.13,15.67,16.01,1020840.0,16343648.400000002
2000-02-17 00:00:00,16.01,17.3,16.01,17.3,4829760.0,83554848.0
2000-02-18 00:00:00,17.6,18.68,17.6,18.68,8735160.0,163172788.8
2000-02-21 00:00:00,19.52,20.17,19.14,20.14,6067320.0,122195824.8
2000-02-22 00:00:00,20.17,21.03,19.3,20.42,5305560.0,108339535.2
2000-02-23 00:00:00,20.82,20.9,19.3,19.87,2036160.0,40458499.2
2000-02-24 00:00:00,20.11,21.46,19.67,21.46,5826360.0,125033685.60000001
2000-02-25 00:00:00,21.92,22.0,20.28,20.63,3661920.0,75545409.6
2000-02-28 00:00:00,21.4,22.28,20.43,22.28,6694800.0,149160144.0
2000-02-29 00:00:00,22.64,23.85,20.5,20.5,7009920.0,143703360.0
2000-03-01 00:00:00,20.84,21.22,18.86,19.13,8982360.0,171832546.79999998
2000-03-02 00:00:00,19.21,20.45,18.52,19.33,8403360.0,162436948.79999998
2000-03-03 00:00:00,19.33,20.49,17.79,17.79,9688320.0,172355212.79999998
2000-03-06 00:00:00,18.38,18.48,16.36,16.36,319680.0,5229964.8
2000-03-07 00:00:00,15.05,15.19,15.05,15.05,1263800.0,19020190.0
2000-03-08 00:00:00,14.7,16.26,14.59,14.77,3494040.0,51606970.8
2000-03-09 00:00:00,14.82,15.56,14.59,15.24,2221840.0,33860841.6
