timestamps,open,high,low,close,volume,amount
2007-12-27 00:00:00,20.93,20.93,20.93,20.93,0.0,0.0
2007-12-28 00:00:00,31.55,36.62,30.83,32.76,59167661.0,1938332574.36
2007-12-31 00:00:00,34.97,39.31,33.05,39.31,51414150.0,2021090236.5
2008-01-01 00:00:00,40.75,42.23,39.2,39.82,31893975.0,1270018084.5
2008-01-02 00:00:00,39.99,40.23,37.86,38.23,8914355.0,340795791.65
2008-01-03 00:00:00,38.03,38.52,35.78,36.0,5883933.0,211821588.0
2008-01-04 00:00:00,36.49,38.61,34.65,35.49,7753088.0,275157093.12
2008-01-07 00:00:00,35.78,37.35,34.88,35.18,4101733.0,144298966.94
2008-01-08 00:00:00,35.55,36.36,33.82,34.16,3531689.0,120642496.24
2008-01-09 00:00:00,33.8,34.25,32.63,32.85,2651422.0,87099212.7
2008-01-10 00:00:00,32.94,34.88,31.95,32.29,3620311.0,116899842.19
2008-01-11 00:00:00,32.81,32.81,31.59,31.84,1502978.0,47854819.52
2008-01-14 00:00:00,31.84,33.3,31.84,32.27,1620622.0,52297471.940000005
2008-01-15 00:00:00,32.63,33.53,32.18,32.19,1186867.0,38205248.73
2008-01-16 00:00:00,31.55,32.13,29.93,30.62,1539578.0,47141878.36
2008-01-17 00:00:00,31.5,32.8,30.75,31.77,2306400.0,73274328.0
2008-01-18 00:00:00,31.11,31.95,29.52,30.07,1049955.0,31572146.85
2008-01-21 00:00:00,29.7,29.7,25.74,26.99,2295311.0,61950443.88999999
2008-01-22 00:00:00,25.88,25.88,21.59,22.87,2362889.0,54039271.43
2008-01-23 00:00:00,23.45,27.41,23.45,26.97,858644.0,23157628.68
2008-01-24 00:00:00,27.99,28.07,23.49,24.31,1122955.0,27299036.049999997
2008-01-25 00:00:00,25.61,26.1,24.8,25.97,625778.0,16251454.66
2008-01-28 00:00:00,25.2,27.63,24.8,26.84,755178.0,20268977.52
2008-01-29 00:00:00,27.32,27.81,26.1,26.88,568600.0,15283968.0
2008-01-30 00:00:00,27.36,27.36,25.7,26.26,624711.0,16404910.860000001
2008-01-31 00:00:00,25.93,26.51,25.36,25.92,199356.0,5167307.5200000005
2008-02-01 00:00:00,26.33,26.33,24.53,25.22,377133.0,9511294.26
2008-02-04 00:00:00,25.74,26.78,25.43,25.8,510356.0,13167184.8
2008-02-05 00:00:00,25.83,26.33,25.43,26.02,437844.0,11392700.879999999
2008-02-06 00:00:00,25.11,26.82,24.53,26.02,438822.0,11418148.44
