timestamps,open,high,low,close,volume,amount
2017-06-27 00:00:00,257.0,271.0,257.0,263.3,2422921.0,637955099.3000001
2017-06-28 00:00:00,264.05,273.8,264.0,267.85,367705.0,98489784.25000001
2017-06-29 00:00:00,269.9,279.4,266.85,275.5,237449.0,65417199.5
2017-06-30 00:00:00,276.1,311.0,276.1,301.65,713176.0,215129540.39999998
2017-07-03 00:00:00,302.55,310.95,295.65,302.15,204550.0,61804782.49999999
2017-07-04 00:00:00,301.85,309.8,298.1,302.55,166964.0,50514958.2
2017-07-05 00:00:00,303.1,304.8,299.0,301.2,51816.0,15606979.2
2017-07-06 00:00:00,301.0,324.3,299.4,317.0,759786.0,240852162.0
2017-07-07 00:00:00,315.9,364.7,312.1,346.25,795892.0,275577605.0
2017-07-10 00:00:00,347.0,372.0,341.35,366.4,696921.0,255351854.39999998
2017-07-11 00:00:00,369.8,377.0,332.0,344.9,601470.0,207447003.0
2017-07-12 00:00:00,348.4,348.4,319.05,340.2,363203.0,123561660.6
2017-07-13 00:00:00,344.85,349.0,325.0,331.4,177042.0,58671718.8
2017-07-14 00:00:00,333.05,336.3,293.6,311.2,298344.0,92844652.8
2017-07-17 00:00:00,310.0,337.85,299.8,325.4,317323.0,103256904.19999999
2017-07-18 00:00:00,324.95,341.4,321.15,328.05,231277.0,75870419.85000001
2017-07-19 00:00:00,329.0,351.7,325.45,347.1,337314.0,117081689.4
2017-07-20 00:00:00,350.05,366.7,338.4,350.55,299677.0,105051772.35000001
2017-07-21 00:00:00,354.15,354.95,339.15,346.4,145605.0,50437572.0
2017-07-24 00:00:00,346.8,348.3,334.3,338.95,86221.0,29224607.95
2017-07-25 00:00:00,342.9,344.9,335.0,337.0,58616.0,19753592.0
2017-07-26 00:00:00,336.9,338.0,322.5,329.1,79418.0,26136463.8
2017-07-27 00:00:00,330.0,333.0,320.9,325.55,62678.0,20404822.900000002
2017-07-28 00:00:00,324.0,342.85,322.45,333.35,69986.0,23329833.1
2017-07-31 00:00:00,335.9,345.6,334.0,337.4,37992.0,12818500.799999999
2017-08-01 00:00:00,339.0,342.0,330.1,331.4,20275.0,6719135.0
2017-08-02 00:00:00,315.1,333.65,315.1,331.65,26315.0,8727369.75
2017-08-03 00:00:00,332.9,355.0,332.9,340.7,199023.0,67807136.1
2017-08-04 00:00:00,340.8,359.4,340.8,349.55,139335.0,48704549.25
2017-08-07 00:00:00,348.9,351.45,333.5,336.75,39633.0,13346412.75
2017-08-08 00:00:00,337.0,342.45,324.2,332.55,49853.0,16578615.15
