timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,156.49,157.19,151.52,157.19,520436.0,81807334.84
2000-01-04 00:00:00,161.31,165.93,155.5,161.61,939776.0,151877199.36
2000-01-05 00:00:00,156.99,156.99,148.69,148.69,761290.0,113196210.1
2000-01-06 00:00:00,145.31,150.03,136.82,136.97,753460.0,103201416.2
2000-01-07 00:00:00,131.65,131.65,126.01,126.01,592176.0,74620097.76
2000-01-10 00:00:00,131.65,135.13,115.95,115.95,920324.0,106711567.8
2000-01-11 00:00:00,118.98,122.71,107.31,113.77,657716.0,74828349.32
2000-01-12 00:00:00,108.3,118.74,107.81,117.99,314664.0,37127205.36
2000-01-13 00:00:00,118.24,120.72,113.27,114.02,342292.0,39028133.839999996
2000-01-14 00:00:00,114.76,115.21,109.35,111.78,407126.0,45508544.28
2000-01-17 00:00:00,114.71,118.24,111.78,112.15,271392.0,30436612.8
2000-01-18 00:00:00,112.8,112.95,109.3,111.53,279388.0,31160143.64
2000-01-19 00:00:00,112.25,120.45,110.29,120.45,635812.0,76583555.4
2000-01-20 00:00:00,123.16,126.61,118.24,118.74,855246.0,101551910.03999999
2000-01-21 00:00:00,118.98,119.73,114.41,117.74,581060.0,68414004.39999999
2000-01-24 00:00:00,120.72,121.47,108.33,108.38,643210.0,69711099.8
2000-01-25 00:00:00,108.3,110.79,102.29,109.54,476278.0,52171492.120000005
2000-01-27 00:00:00,110.99,111.73,105.64,107.26,346752.0,37192619.52
2000-01-28 00:00:00,108.05,114.49,103.96,105.32,1392160.0,146622291.2
2000-01-31 00:00:00,101.84,109.3,96.9,96.9,909298.0,88110976.2
2000-02-01 00:00:00,95.39,104.2,95.39,103.83,1057834.0,109834904.22
2000-02-02 00:00:00,104.33,111.78,104.33,110.86,1477554.0,163801636.44
2000-02-03 00:00:00,111.78,112.28,102.96,105.32,885254.0,93234951.28
2000-02-04 00:00:00,106.19,109.3,103.58,105.82,1220150.0,129116272.99999999
2000-02-07 00:00:00,107.81,114.26,106.81,113.77,2023612.0,230226337.23999998
2000-02-08 00:00:00,114.26,122.86,114.26,122.86,2768980.0,340196882.8
2000-02-09 00:00:00,127.9,130.16,118.24,119.63,1968774.0,235524433.62
2000-02-10 00:00:00,120.23,129.07,116.25,127.53,1561956.0,199196248.68
2000-02-11 00:00:00,130.16,131.16,119.63,120.23,1412894.0,169872245.62
2000-02-14 00:00:00,121.72,125.14,114.26,115.26,1132428.0,130523651.28
2000-02-15 00:00:00,112.77,116.75,109.79,112.77,820796.0,92561164.92
2000-02-16 00:00:00,113.99,116.0,110.79,112.53,426226.0,47963211.78
2000-02-17 00:00:00,112.77,118.69,112.28,116.0,729438.0,84614808.0
