timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,62.95,63.8,60.1,63.0,4604.0,290052.0
2000-01-04 00:00:00,60.6,62.8,60.0,60.0,5050.0,303000.0
2000-01-05 00:00:00,60.0,60.0,56.0,57.05,1712.0,97669.59999999999
2000-01-06 00:00:00,54.5,60.0,54.5,58.85,6120.0,360162.0
2000-01-07 00:00:00,56.5,57.5,55.25,56.3,3800.0,213940.0
2000-01-10 00:00:00,60.0,60.0,57.0,57.6,1958.0,112780.8
2000-01-11 00:00:00,56.5,59.5,55.0,55.9,1400.0,78260.0
2000-01-12 00:00:00,55.0,57.0,54.4,55.1,2466.0,135876.6
2000-01-13 00:00:00,55.0,56.2,53.0,55.4,4900.0,271460.0
2000-01-14 00:00:00,52.15,55.85,52.15,54.25,3650.0,198012.5
2000-01-17 00:00:00,57.0,58.55,57.0,58.0,2074.0,120292.0
2000-01-18 00:00:00,57.0,57.95,55.0,56.95,2350.0,133832.5
2000-01-19 00:00:00,54.55,57.0,54.0,55.5,3250.0,180375.0
2000-01-20 00:00:00,57.0,57.0,53.5,54.8,3700.0,202760.0
2000-01-21 00:00:00,53.5,55.0,53.0,54.3,5000.0,271500.0
2000-01-24 00:00:00,53.0,54.85,53.0,54.75,1950.0,106762.5
2000-01-25 00:00:00,52.6,54.0,52.6,53.0,1462.0,77486.0
2000-01-27 00:00:00,53.75,57.2,53.75,57.2,4520.0,258544.0
2000-01-28 00:00:00,61.5,61.75,60.8,61.75,5400.0,333450.0
2000-01-31 00:00:00,66.65,66.65,60.0,60.45,13750.0,831187.5
2000-02-01 00:00:00,62.5,62.5,58.0,58.95,5950.0,350752.5
2000-02-02 00:00:00,59.6,59.6,57.0,57.0,1400.0,79800.0
2000-02-03 00:00:00,57.6,58.0,55.55,56.25,8000.0,450000.0
2000-02-04 00:00:00,58.0,58.0,54.5,55.0,5616.0,308880.0
2000-02-07 00:00:00,57.0,57.0,54.4,55.1,2150.0,118465.0
2000-02-08 00:00:00,54.0,58.25,52.4,57.15,4750.0,271462.5
2000-02-09 00:00:00,53.5,53.6,53.05,53.05,1324.0,70238.2
2000-02-10 00:00:00,51.65,53.0,51.5,52.35,3666.0,191915.1
2000-02-11 00:00:00,51.5,53.0,51.0,51.0,7412.0,378012.0
2000-02-14 00:00:00,50.35,52.9,50.3,52.0,3908.0,203216.0
2000-02-15 00:00:00,51.0,51.95,51.0,51.0,1604.0,81804.0
2000-02-16 00:00:00,50.1,52.0,50.1,51.4,3700.0,190180.0
2000-02-17 00:00:00,52.0,52.0,50.0,50.6,2691.0,136164.6
2000-02-18 00:00:00,50.1,52.5,49.5,49.65,4200.0,208530.0
2000-02-21 00:00:00,50.0,50.9,48.3,48.6,3448.0,167572.80000000002
2000-02-22 00:00:00,49.0,49.85,48.35,48.55,5100.0,247605.0
2000-02-23 00:00:00,50.0,50.75,48.25,48.5,2608.0,126488.0
2000-02-24 00:00:00,48.25,49.5,48.05,48.75,4800.0,234000.0
2000-02-25 00:00:00,47.0,47.85,45.0,47.1,8800.0,414480.0
2000-02-28 00:00:00,48.5,49.2,46.0,48.0,3450.0,165600.0
2000-02-29 00:00:00,49.2,50.0,48.0,48.0,2400.0,115200.0
2000-03-01 00:00:00,45.2,48.0,45.0,48.0,2100.0,100800.0
2000-03-02 00:00:00,47.0,49.0,44.5,44.85,4608.0,206668.80000000002
2000-03-03 00:00:00,42.0,44.95,42.0,43.15,3250.0,140237.5
2000-03-06 00:00:00,41.5,43.25,40.0,42.0,900.0,37800.0
2000-03-07 00:00:00,44.0,44.0,39.3,40.5,3300.0,133650.0
2000-03-08 00:00:00,42.0,42.0,40.0,41.0,1904.0,78064.0
2000-03-09 00:00:00,41.0,41.1,39.0,39.5,3900.0,154050.0
2000-03-10 00:00:00,38.65,42.0,38.65,42.0,4600.0,193200.0
2000-03-13 00:00:00,40.75,41.75,40.75,41.6,900.0,37440.0
2000-03-14 00:00:00,43.7,44.9,42.6,44.0,1500.0,66000.0
2000-03-15 00:00:00,42.15,43.8,42.15,42.15,2250.0,94837.5
2000-03-16 00:00:00,41.1,44.05,41.1,42.5,2200.0,93500.0
2000-03-21 00:00:00,41.55,43.75,41.55,42.5,600.0,25500.0
2000-03-22 00:00:00,42.5,43.0,41.5,41.5,1400.0,58100.0
2000-03-23 00:00:00,41.55,42.0,41.5,41.55,1085.0,45081.75
2000-03-24 00:00:00,41.55,41.75,41.5,41.55,1350.0,56092.49999999999
2000-03-27 00:00:00,41.45,44.0,41.45,43.0,1300.0,55900.0
2000-03-28 00:00:00,41.0,42.0,41.0,41.75,750.0,31312.5
2000-03-29 00:00:00,39.05,41.05,39.0,41.05,1108.0,45483.399999999994
2000-03-30 00:00:00,40.1,40.7,39.5,39.5,1500.0,59250.0
2000-03-31 00:00:00,40.0,41.7,39.1,41.0,2600.0,106600.0
2000-04-03 00:00:00,40.2,43.0,40.1,41.4,700.0,28980.0
2000-04-04 00:00:00,40.5,42.0,40.5,41.6,1000.0,41600.0
