timestamps,open,high,low,close,volume,amount
2011-10-28 00:00:00,44.6,44.6,29.74,36.53,297810.0,10878999.3
2011-10-31 00:00:00,37.17,38.31,34.74,38.31,55180.0,2113945.8000000003
2011-11-01 00:00:00,38.71,40.19,38.71,40.19,65082.0,2615645.58
2011-11-02 00:00:00,40.94,40.94,38.21,38.21,29034.0,1109389.1400000001
2011-11-03 00:00:00,36.38,38.76,36.33,38.56,87599.0,3377817.4400000004
2011-11-04 00:00:00,38.56,40.05,38.56,39.5,31943.0,1261748.5
2011-11-08 00:00:00,39.65,41.23,39.65,40.89,29285.0,1197463.65
2011-11-09 00:00:00,41.43,42.62,38.86,39.45,48688.0,1920741.6
2011-11-11 00:00:00,38.71,40.14,38.16,39.7,20856.0,827983.2000000001
2011-11-14 00:00:00,39.9,41.09,38.71,39.05,32664.0,1275529.2
2011-11-15 00:00:00,41.14,41.14,35.44,35.98,30557.0,1099440.8599999999
2011-11-16 00:00:00,38.66,38.66,34.69,35.68,9018.0,321762.24
2011-11-17 00:00:00,31.97,35.68,31.97,32.76,33103.0,1084454.28
2011-11-18 00:00:00,33.7,33.7,32.07,32.71,17547.0,573962.37
2011-11-21 00:00:00,32.81,34.99,32.71,34.4,6962.0,239492.8
2011-11-22 00:00:00,34.2,34.54,31.77,32.56,10165.0,330972.4
2011-11-23 00:00:00,30.73,33.7,30.03,32.86,10895.0,358009.7
2011-11-24 00:00:00,33.06,33.7,32.71,33.6,86631.0,2910801.6
2011-11-25 00:00:00,33.45,33.9,33.21,33.31,28400.0,946004.0000000001
2011-11-28 00:00:00,33.31,35.63,33.31,35.14,3005.0,105595.7
2011-11-29 00:00:00,33.35,35.44,33.35,33.75,27706.0,935077.5
2011-11-30 00:00:00,33.7,34.54,33.5,34.35,4045.0,138945.75
2011-12-01 00:00:00,34.69,35.68,33.7,34.64,31465.0,1089947.6
2011-12-02 00:00:00,35.39,35.39,34.69,34.74,4994.0,173491.56
2011-12-05 00:00:00,34.69,34.69,33.4,33.7,1119101.0,37713703.7
2011-12-07 00:00:00,33.06,34.15,32.46,32.81,1472952.0,48327555.120000005
2011-12-08 00:00:00,32.96,35.54,32.71,34.74,29131.0,1012010.9400000001
2011-12-09 00:00:00,34.2,35.39,32.86,34.84,7153.0,249210.52000000002
2011-12-12 00:00:00,34.15,34.59,32.71,32.81,4385.0,143871.85
2011-12-13 00:00:00,32.76,34.44,32.71,33.16,17322.0,574397.5199999999
2011-12-14 00:00:00,32.86,34.69,32.86,33.21,1577207.0,52379044.47
2011-12-15 00:00:00,33.7,34.64,32.26,34.49,7623.0,262917.27
2011-12-16 00:00:00,34.49,35.04,33.01,34.49,7031.0,242499.19
2011-12-19 00:00:00,32.91,37.37,32.91,35.68,23151.0,826027.68
2011-12-20 00:00:00,36.18,36.18,32.81,33.21,11657.0,387128.97000000003
2011-12-21 00:00:00,33.7,33.7,32.21,32.71,381661.0,12484131.31
2011-12-22 00:00:00,32.71,33.21,32.71,32.96,8348.0,275150.08
2011-12-23 00:00:00,33.11,34.1,32.91,33.16,3170.0,105117.19999999998
2011-12-26 00:00:00,34.15,34.15,32.71,32.81,33914.0,1112718.34
2011-12-27 00:00:00,32.71,34.89,32.71,33.75,7668.0,258795.0
2011-12-28 00:00:00,33.7,33.75,33.7,33.7,2835.0,95539.50000000001
2011-12-29 00:00:00,33.7,34.3,33.7,33.7,371.0,12502.7
2011-12-30 00:00:00,33.95,34.94,33.7,34.69,1511377.0,52429668.129999995
2012-01-02 00:00:00,34.74,34.79,34.05,34.3,709.0,24318.699999999997
2012-01-03 00:00:00,33.9,34.4,33.8,33.95,3422.0,116176.90000000001
2012-01-04 00:00:00,33.26,34.54,33.26,33.95,1372.0,46579.4
2012-01-05 00:00:00,33.7,34.54,33.7,33.75,1896.0,63990.0
2012-01-06 00:00:00,33.75,34.59,33.75,34.49,5956.0,205422.44
2012-01-07 00:00:00,32.76,34.79,32.76,33.8,3278.0,110796.4
2012-01-09 00:00:00,32.81,36.08,32.81,35.68,9943.0,354766.24
2012-01-10 00:00:00,36.13,39.65,35.68,38.76,25213.0,977255.88
2012-01-11 00:00:00,39.65,41.63,38.66,39.25,12233.0,480145.25
2012-01-12 00:00:00,39.55,40.14,38.66,40.05,5312.0,212745.59999999998
2012-01-13 00:00:00,40.14,43.61,39.15,40.09,82783.0,3318770.47
2012-01-16 00:00:00,41.14,43.12,38.61,39.6,54764.0,2168654.4
