timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,355.58,371.38,354.01,371.38,3303320.0,1226786981.6
2000-01-04 00:00:00,393.19,401.09,371.71,401.09,8349596.0,3348939459.64
2000-01-05 00:00:00,394.92,412.86,369.01,374.15,11132546.0,4165242085.8999996
2000-01-06 00:00:00,376.04,377.61,344.57,348.35,7062440.0,2460200974.0
2000-01-07 00:00:00,347.4,347.4,320.48,320.48,1867532.0,598506655.36
2000-01-10 00:00:00,324.12,346.11,297.37,304.67,6608736.0,2013483597.1200001
2000-01-11 00:00:00,309.96,329.03,283.21,320.97,11727414.0,3764148071.5800004
2000-01-12 00:00:00,319.37,341.42,313.42,333.56,5421662.0,1808449576.72
2000-01-13 00:00:00,335.13,343.94,317.87,319.71,3783340.0,1209571631.3999999
2000-01-14 00:00:00,323.49,324.02,308.38,313.73,6915314.0,2169541461.2200003
2000-01-17 00:00:00,322.54,334.63,322.54,326.95,3986068.0,1303244932.6
2000-01-18 00:00:00,330.41,330.41,317.45,322.23,3708156.0,1194879107.88
2000-01-19 00:00:00,322.54,348.0,322.54,348.0,7503882.0,2611350936.0
2000-01-20 00:00:00,354.01,372.58,351.84,359.94,8110114.0,2919154433.16
2000-01-21 00:00:00,354.01,370.5,352.45,368.8,6739422.0,2485498833.6
2000-01-24 00:00:00,380.76,391.77,380.13,389.6,6934140.0,2701540944.0
2000-01-25 00:00:00,387.05,391.03,377.61,381.55,6293126.0,2401142225.3
2000-01-27 00:00:00,384.46,396.81,379.22,382.65,6188552.0,2368049422.7999997
2000-01-28 00:00:00,384.54,404.64,382.33,401.7,8421060.0,3382739802.0
2000-01-31 00:00:00,396.81,410.65,377.93,381.17,6839528.0,2607022887.76
2000-02-01 00:00:00,385.48,396.18,383.91,389.88,5232530.0,2040058796.4
2000-02-02 00:00:00,391.77,407.13,388.7,390.83,8003106.0,3127853917.98
2000-02-03 00:00:00,391.77,422.09,391.77,422.09,10315700.0,4354153813.0
2000-02-04 00:00:00,432.68,440.86,413.83,417.73,7026144.0,2935031133.1200004
2000-02-07 00:00:00,423.24,427.96,409.44,413.49,5174222.0,2139489054.78
2000-02-08 00:00:00,415.37,438.94,413.8,423.24,10310230.0,4363701745.2
2000-02-09 00:00:00,426.07,432.49,413.49,414.6,5038332.0,2088892447.2
2000-02-10 00:00:00,418.52,429.28,412.23,421.04,4466888.0,1880738523.52
2000-02-11 00:00:00,424.81,438.28,420.09,421.67,9485264.0,3999651270.88
2000-02-14 00:00:00,434.25,449.64,425.19,439.92,10141638.0,4461509388.96
2000-02-15 00:00:00,438.97,449.67,427.96,430.16,6705328.0,2884363892.48
2000-02-16 00:00:00,432.37,440.23,425.13,431.08,4815700.0,2075951956.0
2000-02-17 00:00:00,433.47,442.11,428.28,432.68,5511746.0,2384822259.28
2000-02-18 00:00:00,434.25,442.12,430.49,431.47,7070354.0,3050645640.38
2000-02-21 00:00:00,449.99,465.97,446.89,465.97,8622302.0,4017734062.94
2000-02-22 00:00:00,503.25,503.25,482.16,485.89,7360820.0,3576548829.7999997
2000-02-23 00:00:00,490.27,512.92,450.66,453.1,7085178.0,3210294151.8
2000-02-24 00:00:00,456.91,489.34,456.91,489.34,6366972.0,3115614078.48
2000-02-25 00:00:00,498.76,504.43,450.19,450.19,6697602.0,3015193444.38
2000-02-28 00:00:00,486.19,486.19,429.58,445.9,4393412.0,1959022410.8
2000-02-29 00:00:00,448.38,464.15,410.23,411.36,7791720.0,3205201939.2000003
2000-03-01 00:00:00,411.91,444.26,405.93,444.26,6274796.0,2787640870.96
2000-03-02 00:00:00,454.08,479.79,448.41,479.79,6514664.0,3125670640.56
2000-03-03 00:00:00,494.04,494.04,453.76,464.15,7903408.0,3668366823.2
2000-03-06 00:00:00,481.46,492.78,468.87,486.81,6120494.0,2979517684.14
2000-03-07 00:00:00,490.88,495.3,459.43,464.12,5398568.0,2505583380.16
2000-03-08 00:00:00,462.57,477.68,448.41,450.62,5360024.0,2415334014.88
2000-03-09 00:00:00,459.43,472.33,421.7,424.18,5123464.0,2173270959.52
2000-03-10 00:00:00,432.37,446.84,393.35,395.86,6802972.0,2693024495.92
