timestamps,open,high,low,close,volume,amount
2004-10-25 00:00:00,1.44,1.44,1.44,1.44,1000.0,1440.0
2004-10-26 00:00:00,1.72,1.72,1.72,1.72,4000.0,6880.0
2004-10-27 00:00:00,2.06,2.06,2.06,2.06,62000.0,127720.0
2004-10-28 00:00:00,2.47,2.47,2.47,2.47,40500.0,100035.00000000001
2004-10-29 00:00:00,2.96,2.96,2.96,2.96,69000.0,204240.0
2004-11-01 00:00:00,3.26,3.26,3.26,3.26,92000.0,299920.0
2004-11-02 00:00:00,3.58,3.58,3.58,3.58,94500.0,338310.0
2004-11-03 00:00:00,3.94,3.94,3.94,3.94,89500.0,352630.0
2004-11-04 00:00:00,4.33,4.33,4.23,4.33,1636950.0,7087993.5
2004-11-05 00:00:00,4.54,4.54,4.13,4.54,1951160.0,8858266.4
2004-11-08 00:00:00,4.76,4.76,4.72,4.76,560500.0,2667980.0
2004-11-09 00:00:00,5.0,5.0,4.61,4.7,799640.0,3758308.0
2004-11-10 00:00:00,4.7,4.93,4.53,4.93,1433130.0,7065330.899999999
2004-11-11 00:00:00,5.04,5.14,4.81,5.06,1021940.0,5171016.399999999
2004-11-12 00:00:00,5.24,5.31,5.01,5.31,315660.0,1676154.5999999999
2004-11-16 00:00:00,5.47,5.57,5.42,5.57,468250.0,2608152.5
2004-11-17 00:00:00,5.85,5.85,5.8,5.85,430750.0,2519887.5
2004-11-18 00:00:00,6.14,6.14,6.14,6.14,245450.0,1507063.0
2004-11-19 00:00:00,6.44,6.44,6.44,6.44,251150.0,1617406.0
2004-11-22 00:00:00,6.76,6.76,6.12,6.76,615890.0,4163416.4
2004-11-23 00:00:00,7.1,7.1,6.8,7.03,713980.0,5019279.4
2004-11-24 00:00:00,7.2,7.38,6.8,7.38,1470930.0,10855463.4
2004-11-25 00:00:00,7.63,7.75,7.48,7.75,499480.0,3870970.0
2004-11-29 00:00:00,8.09,8.13,7.96,8.13,631590.0,5134826.7
2004-11-30 00:00:00,8.15,8.29,7.97,7.97,789320.0,6290880.399999999
2004-12-01 00:00:00,7.82,7.82,7.82,7.82,5000.0,39100.0
2004-12-02 00:00:00,7.66,7.66,7.66,7.66,3500.0,26810.0
2004-12-03 00:00:00,7.51,7.51,7.51,7.51,5100.0,38301.0
2004-12-06 00:00:00,7.36,7.36,7.36,7.36,8000.0,58880.0
2004-12-07 00:00:00,7.22,7.22,7.22,7.22,11010.0,79492.2
2004-12-08 00:00:00,7.08,7.08,7.08,7.08,2000.0,14160.0
2004-12-09 00:00:00,6.94,6.94,6.94,6.94,6000.0,41640.0
2004-12-10 00:00:00,6.8,6.8,6.8,6.8,23400.0,159120.0
2004-12-13 00:00:00,6.67,6.67,6.67,6.67,26200.0,174754.0
2004-12-14 00:00:00,6.53,6.53,6.53,6.53,14200.0,92726.0
2004-12-15 00:00:00,6.4,6.4,6.4,6.4,63550.0,406720.0
2004-12-16 00:00:00,6.28,6.28,6.28,6.28,24610.0,154550.80000000002
2004-12-17 00:00:00,6.15,6.15,6.15,6.15,5900.0,36285.0
2004-12-20 00:00:00,6.04,6.04,6.04,6.04,11060.0,66802.4
2004-12-21 00:00:00,5.92,6.15,5.92,6.15,1631010.0,10030711.5
2004-12-22 00:00:00,6.28,6.28,6.04,6.04,738140.0,4458365.6
2004-12-23 00:00:00,5.92,5.92,5.92,5.92,161400.0,955488.0
2004-12-24 00:00:00,5.8,5.8,5.8,5.8,39700.0,230260.0
2004-12-27 00:00:00,5.69,5.69,5.69,5.69,46200.0,262878.0
2004-12-28 00:00:00,5.58,5.8,5.58,5.58,1329330.0,7417661.4
2004-12-29 00:00:00,5.47,5.47,5.47,5.47,34510.0,188769.69999999998
2004-12-30 00:00:00,5.36,5.36,5.36,5.36,16500.0,88440.0
2004-12-31 00:00:00,5.26,5.26,5.26,5.26,67500.0,355050.0
2005-01-03 00:00:00,5.15,5.36,5.15,5.18,682500.0,3535350.0
2005-01-04 00:00:00,5.19,5.28,5.08,5.28,769070.0,4060689.6
2005-01-05 00:00:00,5.39,5.39,5.18,5.2,385830.0,2006316.0
2005-01-06 00:00:00,5.2,5.3,5.1,5.3,466610.0,2473033.0
2005-01-07 00:00:00,5.4,5.4,5.32,5.4,432710.0,2336634.0
2005-01-10 00:00:00,5.51,5.51,5.51,5.51,537750.0,2963002.5
2005-01-11 00:00:00,5.62,5.62,5.5,5.62,1062840.0,5973160.8
2005-01-12 00:00:00,5.73,5.73,5.53,5.72,1240490.0,7095602.8
2005-01-13 00:00:00,5.83,5.83,5.75,5.83,603050.0,3515781.5
2005-01-14 00:00:00,5.95,5.95,5.9,5.95,774150.0,4606192.5
2005-01-17 00:00:00,6.06,6.06,5.83,5.83,607360.0,3540908.8
2005-01-18 00:00:00,5.95,5.95,5.95,5.95,453490.0,2698265.5
2005-01-19 00:00:00,6.06,6.06,6.06,6.06,159500.0,966569.9999999999
2005-01-20 00:00:00,6.18,6.18,6.18,6.18,247950.0,1532331.0
2005-01-24 00:00:00,6.3,6.3,6.3,6.3,20750.0,130725.0
2005-01-25 00:00:00,6.43,6.43,6.43,6.43,29560.0,190070.8
2005-01-27 00:00:00,6.55,6.55,6.55,6.55,23000.0,150650.0
2005-01-28 00:00:00,6.88,6.88,6.88,6.88,46000.0,316480.0
2005-01-31 00:00:00,7.22,7.22,7.22,7.22,135900.0,981198.0
2005-02-01 00:00:00,7.58,7.58,7.58,7.58,157000.0,1190060.0
2005-02-02 00:00:00,7.95,7.95,7.95,7.95,82940.0,659373.0
2005-02-03 00:00:00,8.35,8.35,8.35,8.35,117050.0,977367.5
2005-02-04 00:00:00,8.76,8.76,8.76,8.76,147450.0,1291662.0
2005-02-07 00:00:00,9.2,9.2,9.2,9.2,335020.0,3082183.9999999995
2005-02-08 00:00:00,9.65,9.65,8.75,9.65,2685720.0,25917198.0
2005-02-09 00:00:00,10.13,10.13,9.71,10.13,1162240.0,11773491.200000001
2005-02-10 00:00:00,10.64,10.64,10.24,10.64,778360.0,8281750.4
2005-02-11 00:00:00,11.17,11.17,10.23,11.17,1004940.0,11225179.8
2005-02-14 00:00:00,11.72,11.72,11.1,11.72,703620.0,8246426.4
2005-02-15 00:00:00,12.29,12.31,11.6,12.21,1310760.0,16004379.600000001
2005-02-16 00:00:00,12.68,12.82,12.43,12.8,857860.0,10980608.0
2005-02-17 00:00:00,13.18,13.39,12.16,12.52,1820940.0,22798168.8
2005-02-18 00:00:00,12.81,13.1,11.9,12.34,1018900.0,12573226.0
2005-02-21 00:00:00,12.46,12.88,11.88,12.12,900310.0,10911757.2
2005-02-22 00:00:00,12.4,12.4,11.51,11.68,871760.0,10182156.799999999
2005-02-23 00:00:00,12.17,12.27,11.15,12.27,1024700.0,12573069.0
2005-02-24 00:00:00,12.5,12.88,12.3,12.88,1040330.0,13399450.4
2005-02-25 00:00:00,13.52,13.52,13.3,13.52,1849100.0,24999832.0
2005-02-28 00:00:00,13.68,14.19,12.84,14.19,1044460.0,14820887.4
2005-03-01 00:00:00,14.9,14.9,14.51,14.89,988480.0,14718467.200000001
2005-03-02 00:00:00,15.2,15.63,14.9,15.63,3238490.0,50617598.7
2005-03-03 00:00:00,15.87,16.41,15.83,16.41,357400.0,5864934.0
2005-03-04 00:00:00,17.23,17.23,16.21,17.23,1499520.0,25836729.6
2005-03-07 00:00:00,17.5,18.09,17.5,18.09,1241500.0,22458735.0
2005-03-08 00:00:00,18.44,18.99,18.01,18.6,1165210.0,21672906.0
2005-03-09 00:00:00,18.6,19.52,17.7,18.73,1688480.0,31625230.400000002
2005-03-10 00:00:00,18.9,19.3,17.87,17.92,601980.0,10787481.600000001
2005-03-11 00:00:00,18.27,18.27,17.02,17.02,390980.0,6654479.6
2005-03-14 00:00:00,16.7,17.0,16.18,16.18,504370.0,8160706.6
2005-03-15 00:00:00,16.45,16.59,15.37,16.26,634260.0,10313067.600000001
2005-03-16 00:00:00,16.4,17.07,16.3,17.07,466330.0,7960253.100000001
2005-03-17 00:00:00,17.26,17.48,16.22,16.27,421840.0,6863336.8
2005-03-18 00:00:00,15.9,16.19,15.5,15.86,376160.0,5965897.6
2005-03-21 00:00:00,15.72,16.34,15.5,15.78,436620.0,6889863.6
2005-03-22 00:00:00,15.51,15.51,14.99,15.12,377970.0,5714906.399999999
2005-03-23 00:00:00,14.8,15.29,14.37,14.39,365150.0,5254508.5
2005-03-24 00:00:00,14.3,14.5,13.68,13.75,237700.0,3268375.0
2005-03-28 00:00:00,14.0,14.43,14.0,14.43,340810.0,4917888.3
2005-03-29 00:00:00,14.9,15.16,13.72,13.79,672620.0,9275429.799999999
2005-03-30 00:00:00,14.28,14.48,14.0,14.48,616200.0,8922576.0
2005-03-31 00:00:00,15.0,15.19,14.91,15.19,427500.0,6493725.0
2005-04-01 00:00:00,15.94,15.95,15.4,15.95,359300.0,5730835.0
2005-04-04 00:00:00,16.4,16.6,15.21,16.16,679340.0,10978134.4
2005-04-05 00:00:00,15.72,16.0,15.35,15.47,293560.0,4541373.2
2005-04-06 00:00:00,15.8,15.8,14.75,15.12,384290.0,5810464.8
2005-04-07 00:00:00,15.6,15.88,15.6,15.88,554750.0,8809430.0
2005-04-08 00:00:00,16.2,16.24,15.52,15.75,537290.0,8462317.5
2005-04-11 00:00:00,15.6,15.61,15.0,15.18,230660.0,3501418.8
2005-04-12 00:00:00,15.5,15.8,15.21,15.43,213620.0,3296156.6
2005-04-13 00:00:00,15.5,15.99,14.8,14.95,230380.0,3444181.0
2005-04-15 00:00:00,15.1,15.1,14.45,14.86,304470.0,4524424.2
