timestamps,open,high,low,close,volume,amount
2000-01-03 00:00:00,71.72,71.72,69.9,71.72,479400.0,34382568.0
2000-01-04 00:00:00,72.4,73.0,65.98,65.98,431510.0,28471029.8
2000-01-05 00:00:00,61.5,62.9,60.71,60.71,198430.0,12046685.3
2000-01-06 00:00:00,58.9,60.1,55.85,56.53,275540.0,15576276.200000001
2000-01-07 00:00:00,52.1,53.4,52.01,52.01,204000.0,10610040.0
2000-01-10 00:00:00,55.5,55.99,52.6,52.72,155500.0,8197960.0
2000-01-11 00:00:00,53.9,53.9,48.51,48.66,170100.0,8277065.999999999
2000-01-12 00:00:00,47.8,51.5,47.8,49.87,43250.0,2156877.5
2000-01-13 00:00:00,51.49,52.5,48.79,49.44,89630.0,4431307.2
2000-01-14 00:00:00,49.11,50.2,47.72,48.66,182500.0,8880450.0
2000-01-17 00:00:00,51.9,52.0,47.61,47.98,76250.0,3658474.9999999995
2000-01-18 00:00:00,48.5,48.5,45.0,46.08,162000.0,7464960.0
2000-01-19 00:00:00,46.9,49.76,46.2,49.76,114450.0,5695032.0
2000-01-20 00:00:00,51.0,52.6,49.6,50.76,159750.0,8108910.0
2000-01-21 00:00:00,50.15,52.0,50.0,51.71,144660.0,7480368.600000001
2000-01-24 00:00:00,54.0,54.0,51.1,51.42,161220.0,8289932.4
2000-01-25 00:00:00,50.1,52.49,48.5,51.4,73700.0,3788180.0
2000-01-27 00:00:00,51.5,52.7,49.01,51.0,131250.0,6693750.0
2000-01-28 00:00:00,50.8,55.08,49.31,55.08,190840.0,10511467.2
2000-01-31 00:00:00,56.5,59.48,56.5,56.72,428110.0,24282399.2
2000-02-01 00:00:00,59.4,61.25,57.5,61.25,224940.0,13777575.0
2000-02-02 00:00:00,61.25,66.15,56.36,63.43,892960.0,56640452.8
2000-02-03 00:00:00,62.51,68.5,59.5,68.5,616730.0,42246005.0
2000-02-04 00:00:00,69.47,73.8,65.6,70.79,537390.0,38041838.1
2000-02-07 00:00:00,74.4,76.45,69.2,69.35,777880.0,53945977.99999999
2000-02-08 00:00:00,70.5,70.5,64.1,65.55,226700.0,14860185.0
2000-02-09 00:00:00,66.5,68.0,61.7,62.95,156920.0,9878114.0
2000-02-10 00:00:00,62.01,67.97,60.05,67.97,606870.0,41248953.9
2000-02-11 00:00:00,72.0,73.41,70.2,73.41,710280.0,52141654.8
2000-02-14 00:00:00,77.5,79.28,67.54,74.04,1071980.0,79369399.2
2000-02-15 00:00:00,72.5,75.9,71.13,73.18,408200.0,29872076.000000004
2000-02-16 00:00:00,74.0,76.2,72.65,73.72,523320.0,38579150.4
2000-02-17 00:00:00,73.0,74.79,68.5,72.93,407940.0,29751064.200000003
2000-02-18 00:00:00,74.0,74.9,68.01,70.04,444250.0,31115270.000000004
2000-02-21 00:00:00,75.64,75.64,74.5,75.64,374200.0,28304488.0
2000-02-22 00:00:00,79.47,81.68,77.52,81.68,664980.0,54315566.400000006
2000-02-23 00:00:00,83.0,87.8,78.5,78.94,745370.0,58839507.8
2000-02-24 00:00:00,82.4,85.25,80.5,85.25,313640.0,26737810.0
2000-02-25 00:00:00,92.0,92.07,90.5,92.07,441810.0,40677446.699999996
2000-02-28 00:00:00,95.0,98.0,84.7,87.57,494400.0,43294608.0
2000-02-29 00:00:00,87.5,89.4,80.57,80.57,270050.0,21757928.5
2000-03-01 00:00:00,76.5,86.0,74.12,83.54,374480.0,31284059.200000003
2000-03-02 00:00:00,84.92,87.5,79.4,80.29,245000.0,19671050.0
2000-03-03 00:00:00,77.6,80.0,73.86,73.86,226150.0,16703439.0
2000-03-06 00:00:00,76.1,79.7,76.1,78.66,188420.0,14821117.2
2000-03-07 00:00:00,78.0,84.4,77.51,84.36,436290.0,36805424.4
2000-03-08 00:00:00,84.9,88.9,82.3,84.76,400810.0,33972655.6
2000-03-09 00:00:00,85.4,91.53,84.51,91.53,352140.0,32231374.2
2000-03-10 00:00:00,94.9,98.85,93.8,98.85,282130.0,27888550.5
2000-03-13 00:00:00,106.76,106.76,93.6,94.2,461270.0,43451634.0
2000-03-14 00:00:00,92.5,99.9,90.15,95.5,319730.0,30534215.0
2000-03-15 00:00:00,92.1,93.29,87.87,92.01,149360.0,13742613.600000001
2000-03-16 00:00:00,94.5,96.0,84.65,84.65,109050.0,9231082.5
2000-03-21 00:00:00,80.0,80.0,77.88,77.88,47050.0,3664254.0
2000-03-22 00:00:00,73.0,83.0,71.65,73.5,183290.0,13471815.0
2000-03-23 00:00:00,76.5,76.5,68.1,69.3,44170.0,3060981.0
2000-03-24 00:00:00,70.0,70.0,64.5,65.8,112920.0,7430136.0
2000-03-27 00:00:00,70.9,71.07,69.6,71.0,20220.0,1435620.0
2000-03-28 00:00:00,71.5,76.68,71.5,76.68,85970.0,6592179.600000001
2000-03-29 00:00:00,79.0,82.81,79.0,82.6,44040.0,3637703.9999999995
2000-03-30 00:00:00,79.1,81.0,76.5,80.6,31600.0,2546960.0
2000-03-31 00:00:00,78.0,78.8,74.2,74.2,52660.0,3907372.0
2000-04-03 00:00:00,72.0,72.7,68.27,68.27,15800.0,1078666.0
2000-04-04 00:00:00,62.8,63.1,62.8,62.8,16780.0,1053784.0
2000-04-05 00:00:00,57.79,64.7,57.79,57.79,16550.0,956424.5
2000-04-06 00:00:00,62.4,62.4,53.17,53.2,25800.0,1372560.0
2000-04-07 00:00:00,56.9,57.46,56.9,57.46,8850.0,508521.0
2000-04-10 00:00:00,62.05,62.05,52.86,52.86,364130.0,19247911.8
2000-04-11 00:00:00,48.64,52.0,48.64,51.0,141810.0,7232310.0
2000-04-12 00:00:00,47.5,55.08,47.5,54.77,197230.0,10802287.100000001
2000-04-13 00:00:00,51.0,52.5,50.39,50.39,72040.0,3630095.6
2000-04-17 00:00:00,46.36,46.36,46.36,46.36,8250.0,382470.0
2000-04-18 00:00:00,47.5,47.5,43.1,43.58,71160.0,3101152.8
2000-04-19 00:00:00,45.85,46.5,40.1,40.1,34610.0,1387861.0
2000-04-20 00:00:00,37.2,37.2,36.89,36.89,15460.0,570319.4
2000-04-24 00:00:00,33.94,38.8,33.94,33.94,45380.0,1540197.2
2000-04-25 00:00:00,31.23,31.7,31.23,31.23,38980.0,1217345.4
2000-04-26 00:00:00,32.6,33.72,32.2,33.72,24700.0,832884.0
2000-04-27 00:00:00,34.8,36.0,32.52,34.9,37950.0,1324455.0
2000-04-28 00:00:00,35.0,35.5,34.6,34.74,28240.0,981057.6000000001
2000-05-02 00:00:00,32.6,33.39,30.58,30.58,9480.0,289898.39999999997
2000-05-03 00:00:00,28.13,30.4,27.1,29.0,67180.0,1948220.0
2000-05-04 00:00:00,30.7,31.32,29.0,31.3,38250.0,1197225.0
2000-05-05 00:00:00,32.1,33.8,31.75,32.06,63230.0,2027153.8
2000-05-08 00:00:00,32.8,33.8,28.23,28.23,117740.0,3323800.2
2000-05-09 00:00:00,26.5,28.0,25.03,25.9,82800.0,2144520.0
2000-05-10 00:00:00,26.5,27.5,24.0,24.0,135890.0,3261360.0
2000-05-11 00:00:00,22.51,23.0,21.13,21.13,90230.0,1906559.9
2000-05-12 00:00:00,19.71,20.7,18.6,18.6,56340.0,1047924.0000000001
2000-05-15 00:00:00,17.5,17.7,16.37,16.37,187720.0,3072976.4000000004
2000-05-16 00:00:00,15.85,18.33,15.8,18.33,92050.0,1687276.4999999998
2000-05-17 00:00:00,19.79,20.52,19.79,20.52,77640.0,1593172.8
2000-05-18 00:00:00,20.0,21.99,19.5,19.8,104950.0,2078010.0
2000-05-19 00:00:00,20.3,20.6,19.5,19.8,74310.0,1471338.0
2000-05-22 00:00:00,18.81,19.5,18.6,19.11,20320.0,388315.2
2000-05-23 00:00:00,19.3,19.3,18.15,18.6,43360.0,806496.0000000001
2000-05-24 00:00:00,18.1,19.5,18.0,19.5,22840.0,445380.0
2000-05-25 00:00:00,19.89,20.5,19.5,19.5,55810.0,1088295.0
2000-05-26 00:00:00,19.0,19.8,18.66,19.1,27010.0,515891.00000000006
2000-05-29 00:00:00,19.2,19.2,18.0,19.0,25450.0,483550.0
2000-05-30 00:00:00,18.89,20.1,18.89,20.1,40110.0,806211.0
2000-05-31 00:00:00,21.68,22.51,21.6,22.51,101090.0,2275535.9000000004
2000-06-01 00:00:00,23.5,25.21,22.0,24.5,97470.0,2388015.0
2000-06-02 00:00:00,26.2,27.44,25.51,27.44,95010.0,2607074.4
2000-06-05 00:00:00,29.63,30.73,29.63,30.73,41900.0,1287587.0
2000-06-06 00:00:00,32.3,34.29,30.1,33.99,371550.0,12628984.5
2000-06-07 00:00:00,33.5,38.06,33.5,37.61,332430.0,12502692.299999999
2000-06-08 00:00:00,39.6,41.7,37.5,39.48,207500.0,8192099.999999999
2000-06-09 00:00:00,38.6,38.6,36.5,37.1,77710.0,2883041.0
2000-06-12 00:00:00,37.4,37.49,32.65,32.69,127470.0,4166994.3
2000-06-13 00:00:00,30.51,33.69,29.2,33.19,162730.0,5401008.699999999
2000-06-14 00:00:00,33.5,33.5,29.21,29.21,188090.0,5494108.9
2000-06-15 00:00:00,27.63,27.8,26.2,27.03,464450.0,12554083.5
2000-06-16 00:00:00,27.5,30.26,26.6,29.78,469050.0,13968309.0
2000-06-19 00:00:00,30.99,31.55,28.33,28.7,541850.0,15551095.0
2000-06-20 00:00:00,29.9,30.7,26.6,27.36,1124450.0,30764952.0
2000-06-21 00:00:00,27.3,28.8,26.13,27.06,693480.0,18765568.8
2000-06-22 00:00:00,27.3,28.2,27.0,27.68,470740.0,13030083.2
2000-06-23 00:00:00,26.51,27.48,25.73,26.01,588510.0,15307145.100000001
2000-06-26 00:00:00,24.9,25.69,24.2,25.21,290490.0,7323252.9
2000-06-27 00:00:00,25.47,26.4,24.35,24.58,435400.0,10702132.0
2000-06-28 00:00:00,24.8,25.92,24.23,25.77,231170.0,5957250.899999999
2000-06-29 00:00:00,26.25,26.9,25.51,25.65,258130.0,6621034.5
2000-06-30 00:00:00,24.81,25.6,24.75,24.96,168020.0,4193779.2
2000-07-03 00:00:00,26.0,26.2,25.31,25.57,103730.0,2652376.1
